Phone1	Phone2	PMI
<#_l	<#_l	9.976183853647663
<#_f	<#_f	9.89594885153472
<#_p	<#_p	9.706542285034566
<#_k	<#_k	9.395667931906125
<#_b	<#_v	9.36113792449008
<#_b	<#_b	9.304496257342644
<#_s	<#_s	9.259081423562678
r_i	r_e	9.12905240791554
j	kː_j	8.909395739597556
p_ˈi	p_ˈi	8.871901771350545
lː_a	ʎː_a	8.713924708573074
<#_ɡ	<#_ɡ	8.680064053859397
ˈi_ð	ˈi_t	8.623422386711958
a_l	a_l	8.323949708092304
ʦ_u	ʦː_o	8.323949708092304
ˈo_β_u	ˈɔ_v	8.313902463452322
z_u	z_o	8.290089053378624
a_m	a_m	8.289090586565434
ˈe_rː	ˈɛ_rː	8.289090586565434
m_i_n	m	8.28541812216698
a_#>	a_#>	8.277834373546149
t_e	tː_e	8.267308040944867
r_ˈa	j_ˈa	8.236271572814372
e	b_e	8.165584404438864
ˈu_ʒ	ˈo_ʧ	8.128962207851918
d_u	d_o	8.095101553138239
ˈe_u	ˈi_o	8.095101553138239
ˈu_n	ˈu_n	8.094103086325049
t_ˈe	t_ˈɛ	8.006424951047117
s_#>	j_#>	7.933974707611533
ˈu_r	ˈo_r	7.933974707611533
ˈe_l	ˈɛ_l	7.933974707611533
w_ˈa	w_ˈa	7.933974707611533
ˈa_ɲ	ˈa_ɲː	7.900114052897854
ˈi_k	ˈe_kː	7.900114052897854
m_e_n_e	m_e	7.876390013893489
ˈo_n	ˈo_n	7.86413730615524
ʒ_i	ʧ_e	7.742136990120383
l_u	l_o	7.73242154156721
i_#>	e_#>	7.71848128854378
t_i	t_e	7.698235290687481
ˈa_l	ˈa_l	7.674090084526974
u_#>	o_#>	7.646181676415274
r_ˈi	r_ˈi	7.618020582056591
r_a	r_a	7.572754688896942
ˈe_r	ˈe_r	7.569604906147706
p_u	p_o	7.408803656787049
ˈe_n	ˈɛ_n	7.401712062238885
n_i	n_e	7.394005617000899
n_t	n_t	7.326899158263361
t_ˈa	t_ˈa	7.320127054695928
ˈo	w_ˈɔ	7.251285901390258
t_a	t_a	7.232448919417997
rː	r_n	7.193215966055058
ɣ_u	ɡ_o	7.155734100841036
k_u	k_o	7.09510155313824
ˈe	j_ˈɛ	7.062466848124645
ˈa_r	ˈa_r	7.0199722792129
t_u	t_o	6.91040166612808
ɡ	ɡ	6.53530230327267
n_ʤ	ɲː	6.379709401225466
i_r	e_r	6.3218076183724925
w	w	6.201901911540529
<#_b	<#_ʤ	6.086665428102209
r_e	r_e	6.046189523259221
ˈu	ˈu	5.765270256463264
ˈi	ʤ_ˈi	5.308041626860956
i	i	5.221838634631773
e_#>	e_#>	5.163486535795385
s	s	5.03865782957864
ˈe_z	ˈɛ	4.952077613474908
s	sː	4.772350554943927
ˈe	ˈɛ	4.746460576378945
ˈu	ˈo	4.630711044091831
n_ʤ	n_ʤ	4.602118318935344
ˈi	ˈi	4.555832074361414
b	b	4.545377610734263
ˈo_s	ˈɔ	4.523109280511692
ˈi	ˈe	4.518051583336099
ɣ	ɡ	4.513031033520519
ʒ	ʧ	4.511458238829944
ˈa	ˈa	4.343009562943098
k_a	kː_a	4.33300001158281
s_u	s_o	4.3008199205456945
l_a	l_a	4.299821453732505
s_k	s	4.295454268947481
ˈa	ˈa_r	4.2508909441762786
i_ʒ	i_ʧ	4.162474087452747
ɖː_a	lː_a	4.161475620639556
a_ð	a_t	4.161475620639556
<#_ˈu	<#_ˈu	4.161475620639556
r_k	r_k	4.161475620639556
r_m	r_m	4.127614965925877
r_t	r_t	4.127614965925877
ʃː_i	ʃː_e	4.127614965925877
m	m	4.065778164893171
ˈe_n	ˈe_n	4.0534841588137285
ˈi_ɖː	ˈi_lː	3.9674865872123615
ˈe_#>	ˈe_#>	3.9674865872123615
e_l	e_l	3.9664881203991715
ˈe	ˈe	3.9594088623886217
ˈo	ˈo	3.9573098343481394
ˈo	ˈɔ	3.9507830446916343
ˈe_ɖː	ˈɛ_lː	3.9354516522686773
ɣ_a	ɡ_a	3.9326274656854925
ˈi_r	ˈe_r	3.87980845193443
ˈo_r	ˈo_r	3.8401161405091897
p_ˈa	p_ˈa	3.8281422873062234
ˈi_r	ˈi_r	3.794281632592545
ð_a	t_a	3.707285594177987
s_k	s_k	3.707285594177987
z_ă	e	3.605864524873068
ð_u	t_o	3.5992941323521594
n	n	3.5873065719235044
ˈa_i	ˈa_r	3.579662902667636
<#_ʧ	k_j	3.3874995890104356
β	p	3.358017907430509
ˈa_j	ˈa_r	3.3536389342967574
r_ˈe	j_ˈɛ	3.299821453732504
i_r	ˈi_r	3.2801902240479817
β	p_e	3.2671861738800594
e	i	3.216223822612346
<#_a	<#_r	3.1193797484710917
r	r	3.0769999386841294
ð	t	3.0215979424757227
o_z_ŏ_#>	i	3.0204339483014766
<#_b	<#_ɡ	3.01295580595431
o	o	2.9254348937975756
<#_i	<#	2.8922591088101517
nː	nː	2.7882539372630326
<#_i_s	s	2.762363902519055
i_#>	i_#>	2.7318196420897
a	a	2.6544312036927864
<#	<#_w	2.5188041454139722
ˈo	ˈo_d	2.467292137948897
t	tː	2.356435309420975
u	o	2.3018629091567275
ˈa_ɣ	ˈɔ	2.290725381944055
ˈo	ˈu	2.264629727341256
e	e	2.1914474337973964
e_#>	e	2.148254844689542
lː_u	ʎː_o	13.06158967353741
ˈa_t	ˈa_tː	12.66020943461067
ˈa_ð	ˈa_t	12.52186360151772
ˈi_ŋ	ˈi_ŋ	12.451564674018181
w_a	w_a	12.451564674018181
ˈo_l	ˈo_l	12.338281339723308
a_r	a_r	11.929217809776883
<#_ˈo	<#_ˈɔ	11.82190844481443
ŋ_ɡ	ŋ_ɡ	11.728256340204078
ˈi_n	ˈi_n	11.566337465627676
ɖː_u	lː_o	11.499980349927066
o_l	o_l	11.451564674018181
<#_r	<#_r	11.451564674018181
t_u	tː_o	11.340313497256798
<#_a	<#_a	11.27386598116433
s_t	s_t	11.162815136981123
<#_ˈa	<#_ˈa	11.131046291693938
<#_t	<#_t	10.985116444127272
r_ˈe	r_ˈe	10.856886724743854
<#_m	<#_m	10.839348516022712
n_u	n_o	10.780413495333715
e_r	e_r	10.774982226220164
<#_ʧ	<#_ʧ	10.761434898054382
ˈa_n	ˈa_n	10.745586479226041
n_a	n_a	10.712566922318484
<#_d	<#_d	10.670564294014449
r_u	r_o	10.66279060260291
ˈo_r	ˈɔ_r	10.565605088470985
ɣ_u	k_o	10.53456862034049
<#_n	<#_n	10.023344914556349
ʧ	j	1.9971011387538837
p	p	1.8672670030299818
j_#>	e	1.807050286584479
β	v	1.7927331755040505
k	k	1.740031321838903
rː	n	1.716543616048045
l	l	1.7055720752238
<#	<#_k	1.539270993635353
r	j	1.4336114949998484
j	v	1.340155301291093
j	j	1.2297518157362965
<#_a	<#	0.8569885915112461
u_#>	#>	0.181079777038895
