Phone1	Phone2	Surprisal	OOV_Smoothed
#>	f_#>	0.0	4.805
<#	<#_i	1.0	4.805
<#	<#_ʒ	1.0	4.805
<#_a	<#	0.0	4.805
<#_l	<#_l	0.0	4.805
<#_n	<#_n	0.0	4.805
<#_s	<#_ʃ	0.0	4.805
<#_t	<#_t	0.0	4.805
<#_ʤ	<#_ʒ	0.0	4.805
<#_ˈa	<#_ˈa	0.0	4.805
<#_ˈo	<#_w	0.0	4.805
a	a	0.051	4.805
a_#>	#>	0.0	4.805
a_n	a_n	0.0	4.805
a_z	e	0.0	4.805
ă	s	0.0	4.805
b	v	1.147	4.805
b	b	1.254	4.805
b	-	3.954	4.805
b	ɡ	3.954	4.805
d	d	0.263	4.805
d	r	2.585	4.805
e	e	0.0	4.805
f	f	0.0	4.805
f_ɾ	f	0.0	4.805
i	e	1.241	4.805
i	ˈe	2.7	4.805
i	j	3.115	4.805
i	f	3.7	4.805
i	i	3.7	4.805
i	v	3.7	4.805
i	ˈi	3.7	4.805
i_#>	#>	0.0	4.805
i_n_i_#>	#>	0.0	4.805
j	j	0.0	4.805
k	k	0.766	4.805
k	ʨ	1.28	4.805
k_ɾ	k	0.0	4.805
l	l	0.0	4.805
m	m	0.0	4.805
n	n	0.0	4.805
n_i_#>	#>	0.0	4.805
n_u_#>	n_#>	0.0	4.805
n_ʤ	ɲ	0.0	4.805
nː	n	0.0	4.805
p	p	0.0	4.805
r	r	0.0	4.805
r_u	r_n	0.0	4.805
s	s	0.295	4.805
s	ʃ	3.17	4.805
s	s_ˈe	3.755	4.805
t	t	0.0	4.805
t_a	t_a	0.0	4.805
u	ʦ	1.459	4.805
u	t	1.874	4.805
u	-	2.459	4.805
u	ˈɛ	2.459	4.805
u_#>	#>	0.077	4.805
u_#>	l_#>	4.273	4.805
u_z_ŭ_#>	#>	0.0	4.805
u_ɾ	e_r	0.0	4.805
ŭ	-	0.0	4.805
w	-	1.0	4.805
w	k	1.0	4.805
z	s	0.585	4.805
z	-	1.585	4.805
ð	d	0.893	4.805
ð	j	2.115	4.805
ð	t	2.115	4.805
ŋ	ŋ	0.0	4.805
ŋ_ɡ	ŋ	0.0	4.805
ɔ	o	0.0	4.805
ɖː	l	0.0	4.805
ɛ	e	0.0	4.805
ɡ	ɡ	0.0	4.805
ɣ	d_l	1.585	4.805
ɣ	ˈɛ_k	1.585	4.805
ɣ	-	2.585	4.805
ɣ	ɡ	2.585	4.805
ɭː	l	1.222	4.805
ɭː	-	1.807	4.805
ɭː	j	1.807	4.805
ɾ	r	0.621	4.805
ɾ	l	2.322	4.805
ɾ	-	4.322	4.805
ɾ	e	4.322	4.805
ɾ	w_r	4.322	4.805
ɾ_a	a	0.0	4.805
ɾ_d	r	0.0	4.805
ɾ_i	j	0.0	4.805
ʃ	s	0.0	4.805
ʃ_i	ʃ	0.0	4.805
ʒ	w_ʃ	1.585	4.805
ʒ	ʃ	1.585	4.805
ʒ	ʒ	1.585	4.805
ʦ	ʦ	0.0	4.805
ʧ	ʨ	0.585	4.805
ʧ	ʧ	1.585	4.805
ˈa	ˈa	0.567	4.805
ˈa	ˈɛ	2.0	4.805
ˈa	ˈe	3.737	4.805
ˈa_i_#>	ˈe_#>	0.0	4.805
ˈe	ˈɛ	0.83	4.805
ˈe	ˈe	2.415	4.805
ˈe	j	3.0	4.805
ˈe	j_ˈɛ	3.0	4.805
ˈi	ˈi	0.75	4.805
ˈi	ˈe	1.509	4.805
ˈi	e_d	4.209	4.805
ˈo	ˈɔ	1.0	4.805
ˈo	ˈo	1.848	4.805
ˈo	w	2.17	4.805
ˈu	ˈo	1.17	4.805
ˈu	ˈu	1.295	4.805
ˈu	ˈo_w	3.755	4.805
ˈu	ˈɔ	3.755	4.805
ˈɔ	ˈɔ	1.322	4.805
ˈɔ	ˈo	1.515	4.805
ˈɔ	w_ˈɛ	2.0	4.805
ˈɔ_n	ˈo_n	0.0	4.805
ˈɛ	ˈɛ	0.823	4.805
ˈɛ	j	2.524	4.805
ˈɛ	ˈe	2.524	4.805
ˈɛ	r	3.524	4.805
ˈɛ_n	ˈɛ_n	0.0	4.805
β	-	0.0	4.805
