Phone1	Phone2	PMI
<#_p	<#_p	9.709
<#_f	<#_f	9.669
<#_b	<#_b	9.409
nː	nː	9.277
<#_ʧ	<#_k	9.113
<#_k	<#_k	9.098
ˈi_lː	ˈi_ʣ	8.872
s_t	s_t	8.759
j	k_r	8.609
ˈa_l	ˈa_l	8.562
a_n	a_n	8.482
a_l	a_l	8.482
<#_j	<#_j	8.482
m_u	m_u	8.482
ˈa_k	ˈa_k	8.47
ˈo_ŋ	ˈo_ŋ	8.47
ˈu_r	ˈu_r	8.47
v_u	v_u	8.461
r_b	r_b	8.461
a_m	a_m	8.461
t_ˈa	t_ˈa	8.285
ˈu_n	ˈu_n	8.255
lː_u	ʣ_u	8.218
ˈo_t	ˈo_t	8.092
e_n	e_n	8.08
ˈi_n	ˈi_n	7.979
p_u	p_u	7.942
ð_i	ð_e	7.933
ˈe_#>	ˈe_#>	7.933
ˈa_ɣ	ˈa_ɣ	7.897
β_u	β_u	7.803
i_ʒ	i_ɣ	7.794
i_ɣ	i_ɣ	7.794
i_r	i_r	7.759
ˈo_ɣ	ˈo_ɣ	7.728
k_a	k_a	7.62
ˈa_t	ˈa_t	7.58
i	i_#>	7.514
r_i	r_i	7.133
u	o_#>	6.884
z	z	6.583
ŏ	ŏ_#>	6.571
o	o	6.566
a	a_#>	6.492
i_r	e_r	6.463
ˈu	ˈu	6.06
u	u_#>	5.901
w	w	5.791
β	β	5.662
r_i	r_e	5.634
ˈa	ˈa_r	5.492
i_#>	e_#>	5.358
ˈe	ˈe	5.197
e_#>	e_#>	5.177
ˈo	ˈo	5.03
ˈi	ˈi	5.005
ˈi	ˈi_e	4.898
ɡ	ɡ	4.894
ɡ_w	b	4.834
ˈi_v	ˈi	4.465
ˈo_j_#>	ˈo_e	4.451
r_t	r_t	4.441
ˈo_m	ˈo_m	4.419
l_i	l_e	4.353
ˈa	ˈa	4.33
r_ˈo	r_ˈo	4.296
u_z	u_z	4.287
ˈi_ɣ	ˈi_ɣ	4.246
ˈa_ʃː	ˈa_s	4.246
e_l	e_l	4.246
ɣ	ɣ	4.243
ˈe_t	ˈe_t	4.236
ˈa_rː	ˈa_rː	4.236
ˈi_nː	ˈi_nː	4.236
i_t	i_t	4.224
ˈi_ŋ	ˈi_m	4.224
ˈi_ɖː	ˈi_ɖː	4.224
ð	ð	4.117
n_ʤ	n_ʣ	4.051
ˈi_k	ˈi_k	4.051
j_a	j_a	4.051
n_ʤ	ŋ_ɡ	4.041
ʤ_a	ʣ_a	4.041
<#_ˈu	<#_ˈu	4.041
m_a	m_a	4.029
β_e	β_e	4.029
ˈe_ɖː	ˈe_ɖː	4.01
a_r	a_r	4.0
t_r	t_r	3.991
j_#>	e	3.957
z_u	z_u	3.912
ŏ_#>	ŏ_#>	3.903
s_a	s_a	3.903
r	r	3.807
t_ˈe	t_ˈe	3.805
o_r	o_r	3.784
l_u	l_u	3.77
t	t	3.709
b	b	3.626
k_r	k_r	3.601
m_i	m_i	3.57
i	i	3.555
n_a	n_a	3.533
e	e	3.518
s	s	3.465
n_e	n_e	3.375
n_i	n_i	3.28
ʃː	s_k	3.092
r_e	r_e	3.059
i	k_e	2.679
j	j	2.402
ŋ	ŋ	2.376
d	d	2.295
ˈe_l	ˈe_l	13.291
ʦ_u	ʦ_u	13.291
t_a	t_a	12.901
a_ð	a_ð	12.901
s_#>	s_#>	12.706
e_ɣ	e_ɣ	12.706
ˈa_ɲ	ˈa_ɲ	12.706
ð_u	ð_u	12.582
ˈi_l	ˈi_l	12.511
r_ˈu	r_ˈu	12.511
ˈe_m	ˈe_m	12.511
<#_ɡ	<#_ɡ	12.511
rː_u	rː_u	12.511
<#_r	<#_r	12.48
k_u	k_u	12.455
l_a	l_a	12.373
ˈi_ð	ˈi_ð	12.26
n_u	n_u	12.203
a_z	a_z	12.121
ˈi_r	ˈi_r	12.09
m_i	m_e	12.003
ˈa_ð	ˈa_ð	12.003
s_p	s_p	11.983
<#_ˈi	<#_ˈi	11.876
ɖː_u	ɖː_u	11.862
s_u	s_u	11.72
ˈo_l	ˈo_l	11.706
r_ˈi	r_ˈi	11.687
ˈa_i	ˈa_e	11.651
i_n	i_n	11.648
<#_t	<#_t	11.63
ˈe_r	ˈe_r	11.619
ʒ_i	ɣ_e	11.613
r_ˈe	r_ˈe	11.445
ˈe_n	ˈe_n	11.43
ˈo_n	ˈo_n	11.344
s_k	s_k	11.307
ð_a	ð_a	11.283
<#_ˈo	<#_ˈo	11.281
<#_a	<#_a	11.26
r_a	r_a	11.209
ɣ_u	ɣ_u	11.136
t_i	t_e	11.112
ĕ	ĕ_#>	11.052
t_u	t_u	11.022
ˈo_r	ˈo_r	11.013
t_e	t_e	10.991
<#_ˈa	<#_ˈa	10.865
ă	ă_#>	10.857
<#_i	<#_i	10.852
r_ˈa	r_ˈa	10.7
ˈa_n	ˈa_n	10.615
<#_m	<#_m	10.519
r_u	r_u	10.519
<#_d	<#_d	10.511
<#_s	<#_s	10.273
n_i	n_e	10.271
ˈa_r	ˈa_r	10.217
<#_l	<#_l	10.216
<#_n	<#_n	10.207
ŭ	ŭ_#>	10.027
e_r	e_r	10.023
ʃː	s	1.962
i	e_#>	1.881
ŋ	m	1.571
n	n	1.527
u	u	0.256
