Campidanese	Campidanese	probability
ʧ	-	1.0
ʦ	ʦ	1.0
ʃ	ʃ_t	1.0
ɭː	ʎ	1.0
ɛ	-	1.0
ɔ	u	1.0
ŋ	ŋ	1.0
ð	t	1.0
w	-	1.0
ŭ	-	1.0
u_#>	#>	1.0
r	r	1.0
p_ɾ	p_l	1.0
o	u	1.0
n_u_#>	n_#>	1.0
m	m	1.0
j	e̯ˈa	1.0
ĭ	-	1.0
i_#>	#>	1.0
f_ˈi	ˈi	1.0
f	f	1.0
e	i	1.0
d	d	1.0
ă	-	1.0
a_#>	#>	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈa	<#_ˈa	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
s	s	0.875
a	ə	0.846
p	p	0.818
ˈɔ	o̯ˈa	0.8
ˈu	ˈu	0.786
ˈe	ˈe	0.778
ˈo	ˈo	0.769
n	n	0.75
ɾ	r	0.731
t	t	0.706
ɡ	ɡ	0.667
z	-	0.667
i	i	0.649
ˈa	ˈa	0.609
ɣ	k	0.6
ɖː	l	0.6
nː	-	0.6
k	k	0.6
u	u	0.588
l	l	0.562
β	b	0.5
β	-	0.5
ʒ	k	0.5
ʒ	-	0.5
b	b	0.467
<#	<#_w	0.444
ˈɛ	ˈa	0.412
ʤ	ʒ	0.4
ʤ	z	0.4
ɣ	k_ʎ	0.4
ɖː	-	0.4
nː	n	0.4
k	ʧ	0.4
b	v	0.4
ˈi	e̯ˈa	0.385
ˈɛ	ˈi	0.353
ɡ	-	0.333
z	s	0.333
<#	<#_j	0.333
l	r	0.312
ˈi	ˈi	0.308
ˈi	ˈe	0.308
t	p_t	0.294
ˈa	ˈɔ	0.261
u	ə	0.235
ˈo	ˈu	0.231
ˈe	ˈi	0.222
<#	<#_k	0.222
ˈu	ˈo	0.214
ˈɔ	ˈo	0.2
ʤ	ʤ	0.2
p	kʲ	0.182
u	-	0.176
ɾ	-	0.154
a	-	0.154
n	-	0.15
b	t	0.133
ˈa	-	0.13
s	ʃ	0.125
l	ʎ	0.125
ˈɛ	-	0.118
ɾ	l	0.115
i	ə	0.108
i	-	0.108
n	j_n	0.1
i	ʦ_i	0.081
ˈɛ	ˈɛ	0.059
ˈɛ	ɔ	0.059
i	w_ə	0.054
