Phone1	Phone2	Surprisal	OOV_Smoothed
#>	r_#>	0.782	4.954
#>	ŋ_#>	2.104	4.954
#>	n_#>	4.426	4.954
#>	v_#>	4.426	4.954
#>	ɡ_#>	4.426	4.954
#>	ˈɛ_r_#>	4.426	4.954
<#_d	<#_d	0.0	4.954
<#_r	<#_r	0.0	4.954
<#_t	<#_t	0.0	4.954
<#_ə	<#	0.0	4.954
<#_ɡ	<#_ɡ	0.0	4.954
<#_ʎ	<#_l	0.0	4.954
<#_ˈɔ	<#_ˈɔː	0.0	4.954
b	v	0.72	4.954
b	b	1.348	4.954
d	d	0.0	4.954
f	f	0.0	4.954
i	i	0.678	4.954
i	-	1.415	4.954
j	-	0.0	4.954
j_t	t	0.0	4.954
k	k	0.0	4.954
k_#>	ɡ_#>	0.0	4.954
k_l	ʧ	0.0	4.954
l	l	0.415	4.954
l	j	2.0	4.954
l_#>	l_#>	0.0	4.954
l_ˈa	j_ˈa	0.0	4.954
m	m	0.0	4.954
m_#>	m_#>	0.0	4.954
mː	t_m	0.0	4.954
n	n	0.28	4.954
n	ŋ	2.503	4.954
n_#>	ŋ_t_#>	0.0	4.954
p	p	0.0	4.954
r	r	0.322	4.954
r	r_e	2.322	4.954
r_t	r_t	0.0	4.954
s	s	0.705	4.954
s	θ	1.553	4.954
s	z	4.459	4.954
s_#>	#>	0.0	4.954
s_ə	z	0.0	4.954
t	t	0.0	4.954
t_#>	d_#>	0.585	4.954
t_#>	#>	1.585	4.954
t_ə	t_a	0.0	4.954
u	u	0.322	4.954
u	-	2.322	4.954
w	w	1.138	4.954
w	-	2.459	4.954
w	d	2.459	4.954
w	v	2.459	4.954
w_#>	v_#>	1.263	4.954
w_#>	#>	1.585	4.954
w_#>	z_#>	2.0	4.954
z	-	0.0	4.954
ð	d	0.0	4.954
ŋ	ŋ	0.585	4.954
ŋ	ŋ_k	1.585	4.954
ə	a	0.297	4.954
ə	e	3.841	4.954
ə	-	4.426	4.954
ə	e_r	4.426	4.954
ə_#>	#>	0.0	4.954
ɡ	ɡ	0.0	4.954
ɡ_l	ʤ	0.0	4.954
ɣ	ɡ	0.0	4.954
ɲ	ɲ	0.363	4.954
ɲ	n	2.17	4.954
ɾ	r	0.115	4.954
ɾ	d	3.7	4.954
ɾ_ə	e_r	0.0	4.954
ʃ	s	0.0	4.954
ʎ	l	0.885	4.954
ʎ	ʧ	1.778	4.954
ʎ	j	2.585	4.954
ʎ_ˈa	l_ˈɛ	0.0	4.954
ʎː	j	0.0	4.954
ʒ	ð	0.0	4.954
ʤ_ə	d_i	0.0	4.954
ʧ	-	0.0	4.954
ˈa	ˈɛ	1.119	4.954
ˈa	ˈaː	1.807	4.954
ˈa	ˈa	3.17	4.954
ˈa	ˈa_ŋ	3.17	4.954
ˈa_l	ˈɛ	0.0	4.954
ˈe	ˈɛ	1.379	4.954
ˈe	ˈa	2.7	4.954
ˈe	ˈæ	2.7	4.954
ˈe	ˈaː	3.115	4.954
ˈe	ˈɛː	3.115	4.954
ˈe	ˈe	3.7	4.954
ˈe_s	ˈɛ_s	0.0	4.954
ˈi	ˈe	1.206	4.954
ˈi	ˈiː	1.737	4.954
ˈi	e	3.907	4.954
ˈi	j_ˈɔː	3.907	4.954
ˈi	ˈi	3.907	4.954
ˈi	ˈɛ	3.907	4.954
ˈi_t	ˈɛ_t	0.0	4.954
ˈo	ˈʌu̯	1.363	4.954
ˈo	ˈʌ	1.848	4.954
ˈo	ˈo	2.585	4.954
ˈo	ˈɔ	2.585	4.954
ˈu	ˈo	1.078	4.954
ˈu	ˈuː	1.441	4.954
ˈu	-	2.663	4.954
ˈɔ	ˈɔː	1.054	4.954
ˈɔ	ˈuː	2.755	4.954
ˈɔ	ˈɔ	3.17	4.954
ˈɔ	ˈʌ	3.17	4.954
ˈɔ	ˈo	3.755	4.954
ˈɔ	ˈʌu̯	3.755	4.954
ˈɔ_s	ˈɔ_s	0.0	4.954
ˈɛ	ˈa	1.485	4.954
ˈɛ	ˈa_j	2.222	4.954
ˈɛ	ˈɛ	2.807	4.954
ˈɛ	ˈiː	3.222	4.954
ˈɛ	ˈɛː	3.222	4.954
ˈɛ	ˈæ	3.807	4.954
ˈɛ_w	ˈʌu̯_z	0.0	4.954
β	v	0.415	4.954
β	-	2.0	4.954
