Catalan	Logudorese	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɡ_ˈo	b_ˈu	1.0
<#_ʎ	<#_l	1.0
<#_ʒ	<#_j	1.0
<#_ʒ_ə	b_e	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈe	<#_ˈi	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈu_ʎ	ˈo_k	1.0
<#_ˈɔ	<#_ˈo	1.0
i	-	1.0
j	-	1.0
j_t	t	1.0
k_#>	ɣ_u	1.0
l_ˈa	r_ˈa	1.0
m	m	1.0
n	n	1.0
r	r	1.0
r_#>	r_o	1.0
r_k	r_k	1.0
r_n	rː	1.0
s_i	i	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
t_#>	ð_u	1.0
t_ˈa	t_ˈa	1.0
ð	ð	1.0
ð_ə	ð_a	1.0
ð_ˈɛ	ð_ˈe	1.0
ŋ	m_b	1.0
ə_l	a_l	1.0
ə_m	a_m	1.0
ə_ɣ	e	1.0
ʃ	s	1.0
ˈa	ˈa	1.0
ˈa_l	ˈa_l	1.0
ˈa_t	ˈa_ð	1.0
ˈa_ɲ	ˈa_ɲ	1.0
ˈe_j_#>	ˈe_#>	1.0
ˈe_ʎ	ˈe_ɖː	1.0
ˈi_l	ˈi_ɖː	1.0
ˈi_w	ˈi	1.0
ˈɔ_n	ˈo_n	1.0
ˈɛ_k	ˈi_k	1.0
ˈɛ_l	ˈe_l	1.0
ˈɛ_r	ˈe_rː	1.0
ˈɛ_w	ˈe	1.0
u	ˈo	0.111
w	ð	0.1
w	bː	0.1
w	w	0.1
ə_#>	a_#>	0.911
ɾ	r	0.741
ˈɔ	ˈu	0.071
ˈɔ	ˈo_r	0.071
ˈɔ	ˈo_l	0.071
l	r	0.32
l	l	0.52
t	t	0.882
w	β	0.2
ə	-	0.222
ˈo	ˈo	0.412
ˈu	ˈu	0.722
β	p	0.2
β	b	0.2
#>	u_#>	0.453
<#	<#_b	0.353
s	k	0.143
s	z	0.143
ɾ_ə	r	0.143
ɾ_ə	o_r	0.143
ˈi	ˈe	0.103
β	β	0.3
β	-	0.3
u	o	0.444
w_#>	ɣ_e	0.714
ə	e	0.074
ə	ɣ	0.074
ə	r	0.074
ə	a_z	0.074
ɲ	nː_a	0.4
ɾ	-	0.074
ɾ_ə	e_r	0.714
ʎ	ʣ	0.714
ʒ	ɡ	0.4
ˈɛ	ˈi	0.524
<#_ə	<#_a	0.385
<#_ə	<#_i	0.615
k	k	0.5
k	-	0.5
s_#>	ă_#>	0.25
s_#>	z	0.375
s_#>	o_z	0.375
w	-	0.5
ə	a	0.185
ɣ	ɣ	0.5
ɣ	ɡ	0.5
ɾ	e_r	0.185
ʎ_#>	k_r	0.5
ʎ_#>	ɖː_u	0.5
ˈe	ˈa	0.095
#>	e_#>	0.516
l	-	0.16
s	s	0.286
w_#>	ʦ_u	0.286
ɲ	n_ʣ	0.6
ʎ	s	0.286
ʒ	-	0.6
ˈe	ˈi	0.286
ˈɔ	ˈo	0.786
ˈɛ	ˈe	0.476
u	-	0.167
<#	<#_a	0.118
t	d	0.118
u	u	0.278
ə	i	0.148
ə	i_ɣ	0.148
ˈi	ˈi	0.828
ˈo	ˈu	0.588
ˈu	ˈo	0.278
<#	<#_k	0.529
s	-	0.429
ə_#>	#>	0.089
ˈe	ˈe	0.619
ˈi	-	0.069
