Phone1	Phone2	Surprisal
b	v	0.508
b	b_w	3.249
b	b	3.383
b	v_j	3.383
d	d	0.275
d	ə	2.528
f	f	0.072
f	fː	4.353
i	i	0.528
i	-	1.705
j	-	0.0
j_t	tː	0.0
k	k	0.098
k	k_w	3.932
k_ə	kː_ə	0.0
l	l	1.466
l	j	1.935
l	w	2.701
l	lː	3.104
l	-	3.235
m	m	0.354
m	mː	2.202
n	n	0.469
n	nː	3.116
n	n_ˈo	3.533
n	n_t	3.722
p	p	0.0
p_l	k_j	0.0
r	ɾ	0.673
r	r	2.146
r	rː	2.767
r_n	ɾ_n	0.0
r_t	ɾ_t	0.0
s	ʃ	1.213
s	s	1.517
s	-	3.218
s	ʃː	3.9
s	ə	4.487
s_ə	ʦ_ə	0.0
s_ˈa	s_ˈa	0.0
t	t	0.996
t	tː	1.719
t	-	2.895
t	d_ə	5.005
t	dː	5.099
u	u	0.765
u	-	2.136
u	o	2.443
w	ə	0.954
w	v	2.271
w	ʦː_ə	2.565
w	-	3.215
w_ə	w_ə	0.0
w_ˈa	w_ˈa	0.0
z	-	0.0
z_a	z	0.0
ð	t	0.0
ŋ	ŋ	0.391
ŋ	ŋ_ɡ	2.075
ə	ə	0.339
ə	a	3.127
ə	i	3.757
ə	-	5.588
ə_ð	a_t	0.0
ɡ	ɡ	0.272
ɡ	-	2.542
ɣ	k	1.24
ɣ	-	1.754
ɣ	ɡ	1.836
ɲ	ɲː	0.47
ɲ	nː	2.34
ɲ	ɲ	3.631
ɾ	ɾ	0.732
ɾ	r	2.196
ɾ	-	3.471
ɾ	ə_ɾ	4.479
ɾ	t_ɾ	4.485
ʃ	ʃː	0.0
ʎ	kː_j	0.864
ʎ	ʎː	2.078
ʎ	ʎː_ə	2.225
ʎ_ə	ə	1.0
ʎ_ə	ʎː_ə	1.0
ʒ	ʤ	1.024
ʒ	ʤː	1.692
ʒ	j	2.33
ʤ	-	0.0
ʧ	ʦː	0.0
ˈa	ˈa	0.0
ˈe	ˈɛ	1.426
ˈe	j_ˈɛ	2.354
ˈe	ˈe	2.487
ˈe	ˈi	2.902
ˈe	ˈa	3.059
ˈi	ˈi	0.189
ˈi	ə	3.858
ˈi	ˈi_n	4.21
ˈi_t	ˈɛ_tː	0.0
ˈo	ˈu	0.827
ˈo	ˈɔ	2.541
ˈo	ˈo	2.988
ˈo	ˈo_n	3.852
ˈo	ˈu_n	3.852
ˈu	ˈu	0.427
ˈu	ˈɔ	2.213
ˈu	ˈu_n	4.624
ˈɔ	ˈɔ	0.619
ˈɔ	w_ˈɔ	2.225
ˈɔ	ˈo	2.887
ˈɛ	ˈe	1.514
ˈɛ	ˈɛ	2.286
ˈɛ	ˈi	2.411
ˈɛ	j_ˈɛ	2.84
ˈɛ	-	3.674
ˈɛ	ˈu_ʃ	4.689
β	v	0.939
β	p	1.064
