Phone1	Phone2	PMI
<#_ˈo	<#_œ	9.411
<#_t	<#_t	8.873
<#_r	<#_ʁ	8.55
<#_a	<#_a	8.54
<#_ˈa	<#_a	8.206
n_a_#>	n_#>	7.776
<#_n	<#_n	7.743
ɲ	ɲ	7.741
<#_l	<#_l	7.71
ˈo	<#_œ	7.584
ˈa_r	ɛ_ʁ	7.54
ˈe	j_ɛ	7.404
ˈa_#>	e_#>	7.158
ɡ	ɡ	6.955
v_ˈa	v_a	6.849
s_p	e_p	6.654
k_r	k_ʁ	6.637
ˈo_n	ɔ̃	6.634
ˈɔ_n	ɔ̃	6.634
ˈe_tː	ɛ_t	6.459
ˈɛ_n	ɑ̃	6.44
l	<#_l	6.344
b	b	6.262
ʎ	j	6.2
ˈu_n	w_ɛ̃	6.198
t	<#_t	6.191
p_ˈɛ	p_ɛ	6.165
ˈɔ_j	u	6.144
ˈɛ_lː	o	6.106
ˈa_l	o	6.106
ˈu	y	6.063
ɟ	ʒ	6.049
<#_ˈo	œ	6.017
ˈa_n	ɛ̃	6.009
ˈi_n	ɛ̃	6.009
r_ˈa	ʁ_ɛ	5.97
t_a_#>	t_#>	5.97
<#_o	<#_ɔ	5.968
kː	ʃ	5.885
s_k	ʃ	5.885
kː_a	ʃ	5.885
k_a	ʃ	5.885
d	d	5.867
c	k_l	5.808
<#_t	t	5.726
m_a_#>	m_#>	5.58
ɲ_a	ɲ	5.576
<#	<#_t	5.575
f	f	5.55
<#	<#_a	5.488
n	<#_n	5.483
<#	<#_n	5.479
tː	ɛ_t	5.459
<#	<#_œ	5.455
n_a_#>	n	5.451
<#_n	n	5.451
v	v	5.426
ˈa_#>	e	5.413
o	ɔ	5.413
<#	<#_l	5.382
p	p	5.373
<#	<#_ʁ	5.303
m	m	5.303
o	<#_ɔ	5.301
<#_ˈo	<#_ɔ	5.284
n	n_#>	5.269
d_e	a_ʁ	5.262
c	j	5.143
a_r	a_ʁ	5.14
r	<#_ʁ	5.105
ˈa_t	e	5.079
<#	<#_ɔ	4.994
tː	t	4.952
ˈi	i	4.876
ˈo	œ	4.856
ˈa_r	ɛ	4.847
ˈɛ_rː	ɛ	4.847
rː	ɛ	4.847
ˈe	ɛ_t	4.824
ˈo_k	ø	4.82
<#_l	l	4.789
lː_a	l	4.789
a	n_#>	4.778
lː	o	4.767
<#_a	a	4.734
k	ʃ	4.734
ˈa	e_#>	4.728
ˈo	ɔ̃	4.668
v	v_a	4.635
t	t	4.616
s	s	4.592
ʧ	s_i	4.546
e	i_ʁ	4.544
k	k	4.465
s	e_p	4.45
ˈu	w_ɛ̃	4.436
p	e_p	4.423
ˈe	ɛ	4.411
ˈɔ	u	4.407
<#_ˈa	a	4.401
l	l	4.399
ˈo_r	œ	4.398
n	n	4.353
ʧ	s	4.331
a	<#_a	4.291
ˈo	<#_ɔ	4.276
j	u	4.239
ŋ	ɑ̃	4.2
ˈa	<#_a	4.197
ʎ_a	j	4.184
ˈɔ_c	u	4.167
ˈɔ	ɔ	4.126
ˈɛ	w	4.098
ˈe_lː	o	4.046
n	ɔ̃	4.007
<#_o	ɔ	4.004
ˈe	j	3.997
j	l	3.992
k_r	k	3.986
ˈu_n	ɛ̃	3.951
ˈi	ɛ̃	3.928
k_ˈa	ʃ	3.923
lː	l	3.922
t_a_#>	t	3.841
n	ɛ̃	3.838
<#_r	ʁ	3.836
ˈa_r	ʁ	3.836
k	k_ʁ	3.831
r	ʁ	3.802
#>	n_#>	3.785
v_ˈa	v	3.782
ˈo	ɔ	3.781
ˈa	v_a	3.764
s_p	p	3.761
p	p_ɛ	3.739
ˈe_tː	t	3.738
s_t	t	3.738
v_u	f	3.724
ˈɔ	œ	3.706
ˈɛ	p_ɛ	3.699
p_ˈɛ	p	3.689
ˈu_n	w	3.675
ˈɔ_ʧ	w	3.675
m_a_#>	m	3.62
s_p	e	3.602
ˈa	ɛ_ʁ	3.587
r	ɛ_ʁ	3.549
m	m_#>	3.542
t	t_#>	3.534
ˈa	e	3.534
ˈɛ	ɑ̃	3.533
tː_u	i	3.5
r	k_ʁ	3.467
m_ˈɔ	m_u	3.441
f_j	f_l	3.441
<#_ˈo	ɔ	3.436
p_ˈi	p_i	3.423
ˈo	ɥ	3.415
l	o	3.413
s	<#_e	3.408
<#_ˈɛ	<#_ɛ	3.408
ɲ_a_#>	ɲ_#>	3.408
ˈɔ	ɔ̃	3.354
n	ɑ̃	3.349
ˈɛ	ɛ	3.339
d	a_ʁ	3.333
c	u	3.305
e_#>	ʁ_#>	3.258
ˈe_tː	ɛ	3.255
s_a	s_a	3.246
ʦ	ʁ_s	3.246
j_ˈɛ	l_ɛ̃	3.246
<#_ɡ	<#_ɡ	3.246
ˈu_r	y_ʁ	3.228
p_j	p_l	3.228
ˈo_r	œ_ʁ	3.213
p_ˈɛ	ɛ	3.203
r_ˈa	ɛ	3.203
<#	n	3.187
#>	e_#>	3.161
a	ɲ	3.159
d_e	a	3.147
ˈo	ø	3.146
n	w_ɛ̃	3.126
v_ˈa	a	3.118
a_r	a	3.118
w	a	3.118
w_ˈa	a	3.118
v_ˈɛ	v_ɛ	3.108
ˈɛ	w_a	3.081
<#_ˈa	<#_o	3.075
ɲ	ɲ_#>	3.075
a	m_#>	3.003
r_ˈɛ	ʁ_w	3.0
<#_ˈɔ	<#_ɔ	3.0
ˈa	ʁ_ɛ	2.999
v_i	v_w	2.983
a_#>	m_#>	2.96
ˈɛ	o	2.922
c	k	2.911
ˈi_lː	i_l	2.895
ˈa	ɛ̃	2.881
a_l	a_l	2.88
ɡ	<#_ɡ	2.839
ˈa	ɛ	2.83
<#	<#_e	2.824
<#_d	<#_d	2.821
r	ʁ_ɛ	2.8
ˈa	o	2.783
a	t_#>	2.764
j	p_l	2.7
ɲ_a_#>	ɲ	2.694
j	f_l	2.667
s_ˈa	s_ɛ	2.649
ɟ	ɡ_l	2.634
s	e	2.623
ʧ	w	2.61
tː	i	2.588
k_r	ʁ	2.574
r_ˈa	ʁ	2.574
a_r	ʁ	2.56
ˈɛ_rː	ɛ_ʁ	2.547
rː	ɛ_ʁ	2.547
d_e	ʁ	2.539
r_n	ʁ	2.539
<#_ɡ	ɡ	2.531
d	<#_d	2.523
ˈi	p_i	2.523
ˈɛ_d	w_a	2.508
ˈe	o	2.479
j	l_ɛ̃	2.472
<#	l	2.461
a	n	2.454
e_#>	a_#>	2.446
ˈo	œ_ʁ	2.439
<#	t	2.428
#>	m_#>	2.427
<#_ˈo	<#	2.381
<#_t	<#	2.381
<#_r	<#	2.381
<#_a	<#	2.381
<#_ˈa	<#	2.381
n_a_#>	#>	2.381
<#_n	<#	2.381
<#_l	<#	2.381
ˈa_#>	#>	2.381
<#	<#	2.381
#>	#>	2.381
e_#>	#>	2.381
a_#>	#>	2.381
u_#>	#>	2.381
ˈɔ	o	2.354
k	ø	2.347
ˈu	y_ʁ	2.328
ˈɔ_d	ø	2.321
f	f_l	2.31
ˈɔ_v	œ	2.286
<#_d	d	2.27
tː	ɛ	2.255
ˈu	w	2.247
m	m_u	2.246
s	ʃ	2.233
ˈu_r	y	2.225
ˈɛ	<#_ɛ	2.194
ˈu	ɛ̃	2.189
u_n	ɔ̃	2.183
p	p_i	2.172
d_ˈɔ	d	2.159
c	l	2.158
#>	t_#>	2.147
ˈɛ_d	w	2.127
<#	ɔ	2.123
ˈa	a	2.123
e	a_#>	2.107
ˈe	t	2.102
ʧ	i	2.095
ʧ	z	2.092
n_t	ɑ̃	2.092
ˈa_ŋ	ɑ̃	2.092
a	ʃ	2.077
<#	œ	2.06
j_ˈɛ	ɛ̃	2.06
ˈɔ_l	u	2.058
i	v_w	2.047
ˈɔ	m_u	2.038
a	a	2.01
u	#>	2.001
v	v_ɛ	2.0
ˈi	i_l	1.995
lː	i_l	1.995
tː_e	t	1.988
e	a_ʁ	1.984
p	p_l	1.977
s	s_a	1.977
m_ˈɔ	u	1.977
<#_ˈɔ	ɔ	1.977
c_u	j	1.977
ˈu_tː	u	1.977
ˈɔ_r	ɔ	1.977
k_ˈɔ	k	1.971
ˈɛ	l_ɛ̃	1.944
r	a_ʁ	1.912
ɲ_u	ɛ̃	1.891
<#	<#_ɛ	1.89
<#	<#_o	1.89
ˈa	<#_o	1.89
<#	<#_d	1.885
v_ˈɛ	v	1.885
lː	a_l	1.88
<#	<#_ɡ	1.874
m_ˈe	m	1.87
v_i	w	1.849
v_i	v	1.83
m_ˈɔ	m	1.826
f_j	f	1.826
r_ˈɛ	w	1.826
z	e	1.811
ˈa_z	e	1.811
ˈɛ	v_ɛ	1.805
ˈɛ	a	1.793
p_ˈi	p	1.793
p_j	p	1.793
v	v_w	1.768
p_ˈi	i	1.758
ˈi_lː	i	1.758
ʦː	i	1.758
a_#>	s_#>	1.757
d	a	1.748
s	s_ɛ	1.731
s_a	s	1.726
ʦ	s	1.726
s_ˈa	s	1.726
sː	s	1.726
ˈɛ	ʁ_w	1.698
