Phone1	Phone2	Surprisal	OOV_Smoothed
#>	i_#>	0.948	4.804
#>	u_#>	2.092	4.804
#>	ə_#>	3.34	4.804
#>	r_i_#>	4.018	4.804
#>	n_#>	4.755	4.804
<#	<#_v	1.379	4.804
<#	<#_a	1.7	4.804
<#	<#_j	1.7	4.804
<#_l	<#_l	0.0	4.804
<#_m	<#_m	0.0	4.804
<#_n	<#_n	0.0	4.804
<#_t	<#_t	0.0	4.804
<#_ɡ	<#_ɡ	0.0	4.804
<#_ˈɔ	<#_ˈo	0.0	4.804
a	ə	0.469	4.804
a	-	3.755	4.804
a	i	4.17	4.804
a	a	4.755	4.804
a	ɨ	4.755	4.804
a	ʎ_i	4.755	4.804
a	ˈa	4.755	4.804
b	b	0.0	4.804
d	d	0.83	4.804
d	ʣ	2.0	4.804
d	t	2.415	4.804
e	i	0.459	4.804
e	-	1.874	4.804
e_#>	e_#>	0.0	4.804
e_n	i_n	0.0	4.804
e_r	r_u	0.0	4.804
f	f	0.926	4.804
f	ç	1.926	4.804
f	w	2.248	4.804
i	i	0.0	4.804
j	l	0.0	4.804
j_ˈø	ˈi	0.0	4.804
k	k	0.115	4.804
k	ʦ	3.7	4.804
k_#>	k_#>	0.485	4.804
k_#>	#>	1.807	4.804
k_r	k_r	0.0	4.804
l	l	1.1	4.804
l	ʎ	1.585	4.804
l	r	2.322	4.804
l_#>	#>	1.0	4.804
l_#>	r_#>	1.0	4.804
l_ˈa	l_ˈa	0.0	4.804
m	m	0.322	4.804
m	ɲ	2.322	4.804
n	n	0.0	4.804
n_t	m_t	0.0	4.804
o	u	0.0	4.804
o_r	u_r	0.0	4.804
p	p	0.212	4.804
p	k	2.874	4.804
r	r	0.085	4.804
r	r_ˈi	4.129	4.804
s	s	0.807	4.804
s	ʦ	2.807	4.804
s	ʃ	3.07	4.804
s	ʦ_i	3.392	4.804
s	ʃ_t	3.807	4.804
t	t	0.415	4.804
t	p_t	2.585	4.804
t	d	3.585	4.804
z	ʣ	0.585	4.804
z	ʤ	1.585	4.804
ɡ	k	0.737	4.804
ɡ	ɡ	1.322	4.804
ɲ	n	1.0	4.804
ɲ	ɲ	1.0	4.804
ʧ	k_ʎ	0.363	4.804
ʧ	p_t	2.17	4.804
ˈa	ˈa	1.254	4.804
ˈa	ˈa_r	2.147	4.804
ˈa	ˈɨ_n	2.632	4.804
ˈa	ˈɨ	2.954	4.804
ˈa	e̯ˈa	3.954	4.804
ˈa_d	ˈa_t	0.0	4.804
ˈe	e̯ˈa	2.138	4.804
ˈe	ˈi	2.138	4.804
ˈe	ˈi_n	2.138	4.804
ˈe	ˈa	2.874	4.804
ˈe	ˈe	3.459	4.804
ˈe	ˈu	3.459	4.804
ˈe_l	ˈe_r	0.0	4.804
ˈi	ˈi	1.0	4.804
ˈi	ˈi_r	2.17	4.804
ˈi	i_r	2.585	4.804
ˈi	e̯ˈa_r	3.17	4.804
ˈo	ˈu	0.737	4.804
ˈo	ˈa	1.322	4.804
ˈu	ˈu	1.0	4.804
ˈu	o̯ˈa	1.485	4.804
ˈu	ˈu_n	2.807	4.804
ˈy	ˈu	0.0	4.804
ˈø	ˈo	0.907	4.804
ˈø	ˈu	1.1	4.804
ˈɔ	o̯ˈa	0.737	4.804
ˈɔ	ˈo	1.322	4.804
ˈɛ	ˈe	1.263	4.804
ˈɛ	e̯ˈa	1.415	4.804
ˈɛ	ˈa	3.0	4.804
ˈɛ	ˈi	3.585	4.804
