Eastern Lombard	Aromanian	probability
<#_a	<#	1.0
<#_e	<#_j	1.0
<#_l	<#_l	1.0
<#_n	<#_n	1.0
<#_t	<#_t	1.0
<#_z	<#_ʣ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈø	<#_ˈo	1.0
<#_ˈɔ	<#_ˈo	1.0
a_#>	ə_#>	1.0
b	b	1.0
e_n	i_n	1.0
f	w	1.0
f_#>	w_#>	1.0
f_j	<#_ç_ˈi	1.0
i	i	1.0
i_m	i_m	1.0
j_ˈa	l_e̯ˈa	1.0
k	k	1.0
k_#>	k_#>	1.0
k_a	k_ə	1.0
l_#>	#>	1.0
m	m	1.0
m_#>	m_#>	1.0
n_d	n_i	1.0
o_r	u_r	1.0
p	p	1.0
r_e	r	1.0
s_k	s_k	1.0
w	p	1.0
z	<#_ʤ	1.0
ŋ	-	1.0
ɡ	ɡ	1.0
ʤ	ŋ_ɡ_ʎ	1.0
ˈa_#>	r_i_#>	1.0
ˈa_n	ˈɨ_n	1.0
ˈe_#>	ˈi_#>	1.0
ˈe_l	ˈe_r	1.0
ˈe_r	e̯ˈa_r	1.0
ˈi_#>	r_i_#>	1.0
ˈy	ˈu	1.0
ˈɔ	o̯ˈa	1.0
ˈɔ_r	ˈo_r	1.0
n	m	0.1
t	p_t	0.111
ˈa	ˈa	0.441
ˈe	ˈe	0.1
ˈe	e̯ˈa	0.1
<#_p	<#_p	0.792
l	r	0.2
o	-	0.222
o	ˈu	0.222
ʧ	p_t	0.222
ˈɛ	ˈe	0.292
<#_b	<#	0.333
<#_d	<#_d	0.583
<#_s	<#_s	0.833
a	ˈa	0.133
a	ˈi	0.133
a	ɨ	0.133
a	-	0.333
d	d	0.273
e	i	0.333
j	ʤ	0.333
ɲ	n	0.333
ˈi	ˈi_r	0.333
ˈo	ˈo	0.333
ˈu	ˈu	0.583
ˈø	ˈu	0.583
ˈɛ	-	0.083
ˈɛ	ˈi	0.083
ˈɛ	ˈe_l	0.083
ˈɛ	e̯ˈa	0.333
<#	<#_a	0.714
<#_f	<#_ç	0.214
<#_m	<#_ɲ	0.364
<#_ˈɛ	<#	0.714
e_#>	e_#>	0.4
l	ʎ	0.4
l	l	0.4
s	ʃ	0.074
s	k	0.074
s	ʃ_t	0.074
s	ʃ_t_i	0.074
t	d	0.074
ˈa	ˈa_r	0.294
<#_k	<#	0.125
<#_k	<#_k	0.875
<#_ˈo	<#_ˈa	0.5
<#_ˈo	<#_ˈu	0.5
r	ˈa_r	0.075
r	r	0.925
t	t	0.815
ˈe	ˈa	0.15
ˈe	ˈu	0.15
ˈe	ˈi	0.25
ˈe	ˈi_n	0.25
ˈi	ˈi_k	0.25
ˈi	e̯ˈa	0.25
ˈu	o̯ˈa	0.25
ˈɛ	ʦ	0.125
#>	u_#>	0.276
<#	<#_v	0.286
<#_f	<#_f	0.786
<#_m	<#_m	0.636
<#_ˈɛ	<#_v	0.286
e_#>	i_#>	0.6
o	u	0.556
s	s	0.296
#>	n_#>	0.057
#>	i_#>	0.667
<#_b	<#_b	0.667
<#_d	<#_ʣ	0.417
<#_s	<#	0.167
a	ə	0.267
d	t	0.727
e	-	0.667
j	l	0.667
s	ʦ	0.407
ɲ	ɲ	0.667
ˈa	ˈɨ_n	0.147
ˈi	ˈi	0.167
ˈo	ˈu	0.667
ˈu	-	0.167
ˈø	ˈo	0.417
<#_p	<#	0.208
ʧ	k_ʎ	0.778
ˈa	ˈɨ	0.118
n	n	0.9
