Eastern Lombard	Nuorese	probability
ˈu_r	ˈɔ_ɾ	1.0
ˈa_s	ˈa_s	1.0
ʤ	ɡ	1.0
ʋ	b	1.0
w	b	1.0
u	ɔ	1.0
s_a	ʦ_a	1.0
s_#>	k_ɛ_#>	1.0
r_n	r	1.0
r_a	ɾ_a	1.0
p	p	1.0
l_ˈɛ	l_ˈi	1.0
l_#>	#>	1.0
k	k	1.0
j_ˈa	ɾ_ˈa	1.0
i	i	1.0
f_#>	β_ɛ_ɾ_ɛ_#>	1.0
d_ˈu	d_ˈu	1.0
a_r	a_ɾ	1.0
a_#>	#>	1.0
<#_ˈø	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#	1.0
a	a	0.97
t	t	0.947
b	b	0.882
f	f	0.857
m	m	0.85
r	ɾ	0.84
ˈa	ˈa	0.824
ˈy	ˈu	0.818
s	s	0.692
n	n	0.655
ʧ	k_ɾ	0.636
z	ɡ	0.615
ŋ	m	0.6
l	l	0.6
ˈo	ˈu	0.588
ɲ	nː	0.571
ˈɔ	ˈɔ	0.533
#>	u_#>	0.518
ˈu	ˈɔ	0.5
j	ɾ	0.5
ˈɛ	ˈe	0.486
<#	<#_i	0.478
ˈi	ˈi	0.467
d	t	0.444
<#	<#_b	0.435
ɲ	n_ʣ	0.429
ɡ	ɡ	0.429
ˈø	ˈu	0.409
ŋ	nː	0.4
o	u	0.4
d	d	0.389
e	ɛ	0.37
ˈø	ˈɔ	0.364
ˈɔ	ˈo	0.333
ˈe	ˈɛ	0.333
#>	ɛ_#>	0.307
j	ʣ_u	0.3
ˈu	ˈɔ_n	0.286
ɡ	k	0.286
o	ɔ	0.267
ˈɛ	ˈɛ	0.257
ˈi	ˈi_n	0.233
l	ɖː	0.233
z	ʣ	0.231
ˈø	ˈo	0.227
e	e	0.222
ˈu	ˈu	0.214
n	nː	0.207
s	k	0.205
o	o	0.2
j	i_ð	0.2
ˈe	ˈi	0.185
ˈe	ˈe	0.185
e	i	0.185
ˈy	ˈu_n	0.182
ʧ	t_ɛ	0.182
ʧ	t	0.182
ˈo	ˈɔ	0.176
d	ð	0.167
r	r	0.16
z	z	0.154
m	m_i	0.15
ˈe	ˈɛ_n	0.148
ˈe	b_ˈi	0.148
ˈɛ	ˈi	0.143
ɡ	ɣ	0.143
ɡ	-	0.143
f	β	0.143
n	ŋ	0.138
ˈa	ˈa_n	0.137
ˈɔ	ˈu	0.133
ˈi	ɛ_ɾ	0.133
o	ˈɔ	0.133
ˈo	ˈo	0.118
ˈo	ˈa	0.118
b	β	0.118
#>	ɾ_ɛ_#>	0.109
ˈi	ˈi_ɾ	0.1
l	ɾ	0.1
<#	<#_a	0.087
e	β	0.074
e	ˈɛ	0.074
e	-	0.074
ˈi	ˈɛ	0.067
l	ʣ	0.067
ˈɛ	ˈɛ_ɣ	0.057
ˈɛ	ˈa	0.057
t	-	0.053
s	z_u	0.051
s	t_u	0.051
