Phone1	Phone2	Surprisal	OOV_Smoothed
#>	n_#>	1.424	4.938
#>	ə_#>	1.585	4.938
#>	s_#>	2.865	4.938
#>	r_#>	3.672	4.938
#>	f_#>	4.672	4.938
#>	ˈe_r_#>	4.672	4.938
<#	<#_v	0.363	4.938
<#	<#_l	3.17	4.938
<#	<#_ˈa	3.17	4.938
<#_a	<#_ã	0.0	4.938
<#_d	<#_d	0.0	4.938
<#_l	<#_l	0.0	4.938
<#_n	<#_n	0.0	4.938
<#_o	<#_ɔ	0.0	4.938
<#_r	<#_r	0.0	4.938
<#_t	<#_t	0.0	4.938
<#_ˈo	<#_ˈɔ	0.0	4.938
a	ə	0.485	4.938
a	a	2.807	4.938
a	-	4.807	4.938
a	ã	4.807	4.938
a	ʎ_ə	4.807	4.938
a	ˈa	4.807	4.938
a_#>	#>	0.0	4.938
a_l	a_l	0.0	4.938
b	b	0.0	4.938
d	d	1.415	4.938
d	j	1.415	4.938
d	r	2.0	4.938
d_a	ə	0.0	4.938
e	ə	1.585	4.938
e	j	2.433	4.938
e	-	2.755	4.938
e	e	3.17	4.938
e	ə_v	3.755	4.938
e	ɛ	3.755	4.938
e	ʤ_ə	3.755	4.938
e_d	v_ə	0.0	4.938
e_r	r_ə	0.0	4.938
f	f	0.115	4.938
f	v_r	3.7	4.938
f_#>	f_#>	0.0	4.938
i	-	0.807	4.938
i	i	1.807	4.938
i	ĩ	2.807	4.938
j	l	0.737	4.938
j	j	2.0	4.938
j	ˈi	2.737	4.938
j_a	ʎ_ə	0.0	4.938
k	k	0.834	4.938
k	ʧ	1.188	4.938
k_#>	k_#>	1.0	4.938
k_#>	#>	1.737	4.938
k_#>	j_#>	2.322	4.938
l	l	0.138	4.938
l	ˈi	3.459	4.938
l_a	l_ə	0.0	4.938
m	m	0.0	4.938
m_#>	m_#>	0.0	4.938
n	n	0.305	4.938
n	-	2.392	4.938
n_a	n_ə	0.0	4.938
o	-	1.115	4.938
o	u	1.379	4.938
o	ũ	2.7	4.938
p	p	0.0	4.938
r	r	0.066	4.938
r	-	4.492	4.938
r_t	r_t	0.0	4.938
s	s	1.0	4.938
s	ʦ	2.047	4.938
s	e_s	3.147	4.938
s	j_s	3.632	4.938
s_ˈa	s_ˈa	0.0	4.938
t	t	0.186	4.938
t	-	4.044	4.938
t	r	4.044	4.938
t_#>	#>	0.0	4.938
t_a	t_ə	0.0	4.938
u	u	0.0	4.938
w	w	0.0	4.938
y	y	0.0	4.938
z	ʤ	0.907	4.938
z	z	1.585	4.938
z	-	2.907	4.938
ø	-	0.0	4.938
ŋ	ŋ	0.678	4.938
ŋ	n	1.415	4.938
ɡ	ɡ	0.788	4.938
ɡ	-	1.248	4.938
ɲ	ɲ	0.585	4.938
ɲ	n	1.585	4.938
ʋ	v	0.0	4.938
ʤ	-	0.807	4.938
ʤ	ɡ_l	1.222	4.938
ʧ	j_t	1.737	4.938
ʧ	ʎ	1.737	4.938
ʧ	k_l	2.322	4.938
ʧ	t	2.322	4.938
ˈa	ˈa	1.974	4.938
ˈa	ˈã_j	2.081	4.938
ˈa	ˈã	2.322	4.938
ˈa	ˈe	3.196	4.938
ˈa	ˈɛ	3.196	4.938
ˈa	j	3.459	4.938
ˈa_#>	ˈe_r_#>	0.0	4.938
ˈa_d	ˈɛ	0.0	4.938
ˈa_l	ˈa_l	0.0	4.938
ˈe	ˈi	1.948	4.938
ˈe	j_ˈɛ	2.755	4.938
ˈe	ˈẽ_n	2.755	4.938
ˈe	v	3.17	4.938
ˈe	ˈẽ	3.17	4.938
ˈe	-	3.755	4.938
ˈe	ˈẽ_j	3.755	4.938
ˈe	ˈɔ_j	3.755	4.938
ˈe_s	ˈi_s	0.0	4.938
ˈi	ˈi	2.1	4.938
ˈi	ˈĩ	2.1	4.938
ˈi	ˈɔ_j	2.1	4.938
ˈi	ˈi_r	2.907	4.938
ˈi	ˈɔ	3.322	4.938
ˈi	j	3.907	4.938
ˈo	ˈu	1.737	4.938
ˈo	ˈũ	2.0	4.938
ˈo	ˈɔ	2.322	4.938
ˈo	-	3.322	4.938
ˈo	ˈy	3.322	4.938
ˈo	ˈo	4.322	4.938
ˈu	ˈũ	1.115	4.938
ˈu	ˈu	1.379	4.938
ˈu	ˈɔ	2.7	4.938
ˈy	ˈy	0.0	4.938
ˈø	w_ˈɛ	1.441	4.938
ˈø	ˈu	2.248	4.938
ˈø	ˈỹ	2.248	4.938
ˈø	u	3.248	4.938
ˈø	ˈy	3.248	4.938
ˈø_k	ˈɛ_w	0.0	4.938
ˈø_l	ʎ	0.0	4.938
ˈɔ	ˈũ	1.415	4.938
ˈɔ	ˈɔ	1.415	4.938
ˈɔ	ˈy_j	2.0	4.938
ˈɔ_n	ˈõ	0.0	4.938
ˈɔ_r	ˈɔ_r	0.0	4.938
ˈɔ_s	ˈɔ_s	0.0	4.938
ˈɛ	ˈɛ	0.788	4.938
ˈɛ	ˈẽ	2.663	4.938
ˈɛ	-	3.248	4.938
ˈɛ	ˈɔ	3.248	4.938
ˈɛ	ˈɔ_j	4.248	4.938
