Eastern Lombard	Romansch	probability
<#_a	<#_ə	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_o	<#_u	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_z	<#_ʃ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʋ	<#_v	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈo	<#_ˈa	1.0
<#_ˈø	<#_ˈɛ	1.0
a_#>	ə_#>	1.0
e_r	ə_r	1.0
f	v_ə	1.0
f_#>	f_#>	1.0
i	i	1.0
i_m	m	1.0
j_ˈa	ˈaː	1.0
j_ˈø	l_ˈu	1.0
j_ˈø_l	ʎ	1.0
l	l	1.0
m	m	1.0
m_#>	m_#>	1.0
n	n	1.0
n_t	n_ʨ	1.0
n_ʤ	ŋ_ɡ	1.0
p	p	1.0
p_#>	p_#>	1.0
r_#>	r_#>	1.0
s_t	s_t	1.0
t_#>	t_#>	1.0
t_ˈa	t_ˈaː	1.0
w	w	1.0
ŋ_k	ŋ_#>	1.0
ɡ_w	w	1.0
ɲ_#>	ɲ_#>	1.0
ʤ	ʥ	1.0
ˈa_#>	w_n	1.0
ˈa_ŋ	ˈɔ_n	1.0
ˈi_#>	r_#>	1.0
ˈu_#>	ˈu_n	1.0
ˈu_n	ˈuː_n	1.0
ˈɔ_r	ˈɔː_r	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈɛ_n	ˈɛ_n	1.0
ˈɛ_ʤ	ˈeː	1.0
<#_k	<#_ʨ	0.571
d	-	0.231
ʧ_#>	ʎ_#>	0.571
ˈa	ˈɔ	0.091
ˈi	ˈi_n	0.231
ˈɛ	ˈa_j	0.061
#>	r_#>	0.862
<#_s	<#_ʧ	0.212
<#_s	<#_ʃ	0.242
j	l	0.692
l_#>	#>	0.412
r	r_ˈa	0.132
s	ʧ	0.222
t	d	0.2
ˈa	ˈa	0.432
ˈa	ˈaː	0.432
ˈe	ˈa_j	0.32
ˈɛ	j	0.152
ˈɛ	ˈe	0.212
e	e	0.103
k	ʨ	0.333
s	-	0.333
s_#>	s_#>	0.263
t	ʨ	0.133
ˈi	ˈiː	0.423
ˈo	ˈuː	0.133
ˈo	ˈɔː	0.133
ˈu	ˈu	0.533
ˈɛ	ˈɛ	0.273
ˈɛ	ˈɛː	0.303
j	ʎ	0.154
j	ʎ_#>	0.154
s	s	0.444
s_#>	ʃ_#>	0.474
ɲ	ɲ	0.714
<#	ə	0.105
<#	<#_v	0.895
<#_l	<#_ʎ	0.125
<#_l	<#_l	0.875
<#_s	<#_s	0.545
a	ə	0.545
b	v	0.5
b	b	0.5
k_#>	k_#>	0.25
k_#>	w_#>	0.375
k_#>	ʨ_#>	0.375
o	o	0.375
o	u	0.625
s_#>	ʃ_ə	0.105
z	ʥ	0.25
z	ʧ	0.25
z	ʃ	0.5
ɡ	ʥ	0.25
ɡ	-	0.375
ɡ	ɡ	0.375
ʧ	t	0.5
ʧ	k_l	0.5
ˈe_#>	ˈiː_#>	0.5
ˈe_#>	ˈeː_#>	0.5
ˈy	ˈi	0.5
ˈy	ˈiː	0.5
ˈø	ˈi	0.125
ˈø	ˈɔ	0.25
ˈø	ˈu	0.25
ˈɔ	ˈo	0.5
ˈɔ	ˈu	0.5
a	ə_v	0.136
ɲ	n	0.286
ˈe	ˈiː	0.16
e	ə	0.517
k	k	0.667
t	t	0.667
ˈi	ˈi	0.077
ˈo	ˈa_w	0.267
ˈo	ˈu	0.467
ˈu	ˈuː	0.467
#>	i_#>	0.138
a	-	0.318
l_#>	l_#>	0.588
r	r	0.868
s_#>	ʦ_#>	0.158
ˈe	ˈi	0.08
ˈe	ˈiə̯	0.08
ˈe	ˈeː	0.08
ˈe	ˈɛ	0.28
ˈø	ˈɔː	0.188
ˈø	j_ˈɛ	0.188
<#_k	<#_k	0.429
d	d	0.769
e	-	0.379
ʧ_#>	ʨ_#>	0.429
ˈi	ˈa_j	0.269
