Phone1	Phone2	PMI
p_#>	p_#>	10.718
ˈɛ_t	ˈɛ_t	10.328
ˈaː_s	ˈa_s	10.301
<#_r	<#_r	9.995
r_ˈa	r_ˈa	9.416
t_a	t_e	9.374
m_#>	m_#>	9.365
<#_t	<#_t	9.115
<#_ˈaː	<#_ˈa	9.046
v_#>	f_#>	8.99
r_a	r_e	8.933
k_#>	k_#>	8.8
ɡ_#>	k_#>	8.709
z_#>	s_#>	7.992
z	s_#>	7.5
ɲ	ɲ	7.479
a_l	a_l	7.155
k_r	k_r	7.147
ˈe_l	ˈi_l	7.136
p	p_#>	7.097
ˈɛ_z	ˈaː_s	7.038
m	m_#>	7.017
ð	ʤ	7.013
ˈuː	ˈuː	6.959
a_r	e_r	6.901
v	f_#>	6.86
d_#>	t_#>	6.837
b	b	6.809
ˈaː	<#_ˈa	6.8
a_d	a_d	6.765
j_#>	j_#>	6.757
ˈaː_t	ˈa_t	6.744
ɡ	k_#>	6.676
r_t	r_t	6.627
ˈiː	ˈiː	6.625
s_ˈa	s_ˈa	6.619
ˈɛ_d	ˈa_d	6.58
ˈʌu̯	ˈoː	6.577
ˈo	ˈu	6.575
t	<#_t	6.543
ˈɔ	ˈɔ	6.51
ˈɛ_#>	ˈaː_t_#>	6.49
w	w	6.307
u	o	6.294
u	u	6.153
ɡ	ɡ	6.092
k_ˈɛ	c_ˈa	5.995
ˈʌ	ˈo	5.959
ð_#>	ʧ_#>	5.902
θ	ʧ	5.898
f_j	f_l	5.888
<#_n	<#_n	5.829
ˈe	ˈi	5.793
k_#>	k	5.752
ˈɛ_#>	ˈaː	5.744
f	f	5.712
ɡ_#>	k	5.661
v_#>	f	5.644
r	<#_r	5.624
p_#>	p	5.615
p	p	5.615
k	k_#>	5.608
m	m	5.592
ˈiː	ˈeː	5.568
i	i	5.51
<#_l	<#_l	5.393
m_#>	m	5.392
v	v	5.353
t_e	t_r	5.344
d	d	5.31
ˈɔː	ˈuː	5.29
j_ˈa	l_ˈa	5.235
l_#>	l_#>	5.226
e	i	5.096
ŋ	ŋ	4.996
s	s	4.897
n	n	4.882
n	<#_n	4.867
k	k	4.863
ð	ʧ_#>	4.859
ˈa	ˈe	4.849
ˈɔː	w	4.839
z_#>	s	4.833
z	s	4.833
j	j_#>	4.749
k	c	4.736
ˈɛ	ˈaː	4.705
t	t	4.631
<#_t	t	4.631
ˈaː	ˈa	4.627
d	t_#>	4.627
<#_ˈaː	ˈa	4.627
<#_r	r	4.567
d_#>	t	4.537
l	l	4.424
j	ˈeː	4.423
j	ˈeː_#>	4.365
ʧ	k_l	4.32
l	<#_l	4.262
