Phone1	Phone2	PMI
ˈe_l	ˈɛ_j	9.942202695508437
<#_d	<#_d	9.918939918789484
<#_n	<#_n	9.721609996251107
ˈɛ_l	j_ˈa	9.698146886953976
ˈa_ŋ	ˈɑ̃_#>	9.550085605307856
<#_l	<#_l	9.470245352473173
<#_b	<#_b	9.309471666850005
<#_m	<#_m	8.89554243724431
<#_θ	<#_s	8.819396310481306
<#_p	<#_p	8.755441186506603
<#_f	<#_f	8.634474561192048
<#_s	<#_s	8.51914453731476
<#_v	<#_v	8.482781286725123
ˈʌ_ŋ	ˈɔ̃	8.218734682768238
s_k	ʃ	8.038545222314003
ˈɔː_v	ˈuː	7.9878775244989875
<#_k	<#_ʧ	7.923233418736785
m_ˈɛ	a_m	7.911414777937393
<#_k	<#_k	7.763719938208451
ˈa	w_ˈɛː	7.669706204214433
<#_ˈo_ŋ	<#_ˈɔ̃	7.631077103436893
r_t_#>	ˈa_ʀ	7.436089603196508
a_r	a_ʀ	7.285054783097965
<#_r	<#_ʀ	7.244748111270726
r_#>	ʀ_#>	7.201075629285853
u_r	ɔ_ʀ	7.0301293813458186
u_l	ɔ_l	6.89178354825287
ˈa_ŋ	ˈɛ̃	6.828528425564105
ŋ_#>	ˈẽ_#>	6.756918874866638
n_a	ˈɛ̃_n	6.6537017090308295
s_t	s_t	6.653067482238414
a_ŋ	ɑ̃	6.635174787540504
e_r_#>	t_#>	6.623848288877407
b	p_#>	6.580402802430453
u_z	uː	6.549107953310323
ˈɛː	j_ˈɛ	6.402609584626068
l_#>	ˈa_#>	6.3441562937006015
ˈɛ_r_#>	ˈiː_#>	6.324473162587755
ˈɔː_r	w_ˈa	6.129219810040305
ˈʌu̯_z	w_ˈɛ	6.09006728285758
<#_s	<#_ʃ	6.007785461170584
n_a	n_#>	5.858319441490722
ˈʌ	ˈɔ	5.837257181230226
ˈʌu̯	ˈøː	5.563491775326083
r_ˈiː	ʀ	5.495912350356754
ˈɔ_s	ˈɔ	5.386896841707322
ˈæ_ŋ	ˈɛ̃	5.301841454207171
ˈɛ_r	ˈe	5.254764242837135
ɲ	ɲ	4.938061312492912
ˈaː_ŋ	ˈɛ̃	4.830162287780889
ˈuː_ɡ	ˈøː	4.82915084105086
a_#>	f_#>	4.80496781429964
#>	ˈɛ_#>	4.737065110774235
ˈɛ_v	ˈiː	4.690878116152256
l	l	4.686816458470442
ˈo	ˈɔ	4.596161910515001
ˈe_j	ˈiː	4.495890615911871
<#	<#_a	4.478463525520273
<#	<#_ɛ	4.462828857862439
ˈiː	ˈi	4.354830509848581
t_r	t	4.267277936328865
a_#>	j_#>	4.102442985971727
<#_ˈaː	<#_ˈɔː	4.07005037694009
θ	s	3.9290373479341056
a_#>	t_#>	3.8926459495775703
t	t	3.862525827138524
r	a_ʀ	3.852766600900108
ˈɛ_l_a	ˈɛ_l	3.6550656135765074
t_e	ˈoː_t	3.629407678644303
ˈɛ	ˈɛː	3.611247567862648
r_#>	ˈe_#>	3.6030292274780167
a_#>	#>	3.599768508712101
r	ʀ	3.5772989876363077
r_a_#>	f_#>	3.547756248614053
d_e	ˈɛ_ʀ	3.5220983136818487
ˈiː_r_#>	ˈi_#>	3.447690656286667
m_a_#>	m_#>	3.447690656286667
ˈɔː	ˈuː	3.440464428277083
<#_a	<#_a	3.378955438267766
w_ˈaː	w_ˈa	3.3744822768921563
ˈa_j_r	ˈøː_ʀ	3.340381291324213
n_a_#>	n_#>	3.302101050558651
n_#>	n_#>	3.271646073305312
ˈɛ_s	j_ˈɛ	3.271646073305312
m_a	m_#>	3.2671729119297024
ˈæ_ŋ_t	ˈɛ̃_#>	3.196061488898844
ˈuː_r	ˈøː_ʀ	3.179494776651772
ˈe	ˈiː	3.1790694608336083
ˈe	ˈɛ	3.172750350374772
j	l	3.1632580346208403
ˈɛ_#>	ˈe_#>	3.101086845070584
ˈaː	ˈa	2.9976806878970184
ˈaː_ɲ_a	ɲ	2.944961746229968
ʧ	k_l	2.93201438552976
ˈɛ_r_#>	ˈe_#>	2.922419154372537
k	ʧ_#>	2.86271228929689
ˈɔː	w	2.7984841272321157
ˈe_ŋ	ˈẽ	2.79173413420652
ˈe	ˈɛ_t	2.723479557123593
ˈɛ_ɡ	ˈɔː	2.7126681790743974
ˈa_n	ˈɛ̃	2.667174894169694
ˈaː	ˈɛ	2.661259714120696
s	s	2.6428834363766445
ˈɔː	w_ˈa	2.6345462312062
ˈo_ŋ	ˈɔ̃	2.6075537931969266
e_n	n	2.5919883273646502
ˈa_j	ˈøː	2.553319080139516
<#	<#_ʀ	2.498021030871694
ˈaː_s	ʃ	2.458400800873186
a	a	2.422211832041629
j_ˈɛ_r	ˈiː	2.373638066268435
t_e	t	2.3276283266135995
t_ˈɛ	t	2.3101391866488874
j_ˈɛ	ˈiː	2.2634133006328008
#>	ʧ_#>	2.261189903270022
a	f_#>	2.258041292411272
ˈɛ	ˈɛ	2.230611011409785
l_a	j	2.193012415011661
ɲ	n	2.1567251012837274
a	s_#>	2.08784935858742
u	ɔ	2.0813036135779064
r_#>	#>	2.0376128232475126
<#_ð	<#_ʤ	11.540822456581695
<#_ˈɔː_v	<#_ˈuː	11.28506596441136
<#_t	<#_t	10.400224601582618
<#_ɡ	<#_ɡ	10.252273252122816
j	ˈɔː_j	1.984321051883727
m	m	1.9823054677184009
j_ˈa	l	1.964869826197523
w_ˈaː	w	1.9575673540301248
n	n	1.924602163610049
e_r	ʀ	1.9037680401395896
ˈɛ	ˈe_#>	1.8869137344236284
#>	ˈa_#>	1.8712149027892515
ˈɛ	ˈɔː	1.8430479787183731
s_t	s	1.8265239931045751
a	j_#>	1.8244511402136057
ˈa	w	1.773707361218558
p	p	1.7354425526418549
k	k	1.6718698134619006
w	w	1.509657184299171
t_#>	#>	1.3670342776076037
ˈiː	ˈiː	1.3598866076198126
ʧ	j	1.1916492085894148
ˈɛ	j	1.046233143552617
ˈa	ˈa	1.0204035701277057
ˈa	ˈɛ	0.9803054922218016
j	ˈɛ	0.9026036104382928
l	#>	0.5171854628842749
