Franco-Provençal	Asturian	probability
ˈɛː_ʁ	ˈa_ɾ	1.0
ˈɛ	ˈe	1.0
ˈɔ	ˈo	1.0
ˈo	ˈo	1.0
ˈe_#>	u_#>	1.0
ʒ	ʃ	1.0
ʎ	ʝ	1.0
ʃ_#>	θ_#>	1.0
ʁ_ə	ˈe_ɾ	1.0
ʁ_a	ɾ_a	1.0
ɲ	ɲ	1.0
ɛ	e	1.0
ð_ˈi	ɾ_ˈe	1.0
ð_ˈa	ɾ_ˈa	1.0
ð_ə	ɾ	1.0
z	θ	1.0
w_ˈe	ˈo	1.0
o_#>	#>	1.0
n	n	1.0
m	m	1.0
k	k	1.0
j_ˈe	ˈa	1.0
i	a	1.0
f_#>	β_e_#>	1.0
f	f	1.0
<#_ˈoː	<#_ˈo	1.0
<#_ð	<#_ʃ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
p	p	0.929
ʃ	k	0.824
a	a	0.818
ˈoː	w_ˈe	0.8
ˈɛ̃	ˈe_n	0.778
t	t	0.75
e	e_s	0.75
b	b	0.714
d	d	0.692
l	ʎ	0.65
ʁ	ɾ	0.64
ɡ	ɡ	0.625
ˈɛː	ˈe	0.619
ˈa	ˈa	0.619
s	s	0.618
ə	a	0.609
ˈĩ	ˈi_ŋ	0.6
ˈaː	ˈa	0.6
#>	u_#>	0.584
v	b	0.56
ˈi	ˈi	0.533
ˈɑ̃	ˈa_n	0.5
ˈɑː	ˈa_l	0.5
ˈɑː	ˈa	0.5
ˈø	ˈo	0.5
ˈø	w_ˈe	0.5
ð	ɾ	0.455
w	w	0.455
ˈɔ̃	ˈo_n	0.444
o	o	0.421
ˈu	ˈu	0.4
ˈĩ	ˈi	0.4
ˈaː	ˈa_ð	0.4
ə	e	0.391
ɡ	ɣ	0.375
j	j	0.375
o	u	0.368
v	β	0.36
l	l	0.35
ˈɔ̃	ˈo_ŋ	0.333
ˈi	ˈe	0.333
s	θ	0.324
j	-	0.312
ˈe	ˈe	0.31
ˈɑ̃	ˈa_ŋ	0.3
ˈu	ˈo	0.3
ˈu	w_ˈe	0.3
ˈa	ˈa_ɾ	0.286
b	β	0.286
e	e	0.25
ˈe	ˈi	0.241
w	ˈu	0.227
ˈɛ̃	ˈe	0.222
ˈɔ̃	ŋ	0.222
o	e	0.211
ˈe	j_ˈe	0.207
ˈɑ̃	ˈa_m	0.2
ˈoː	ˈo	0.2
#>	e_#>	0.195
j	ˈa	0.188
ð	θ	0.182
ð	ð	0.182
ð	r	0.182
w	ˈo	0.182
ʃ	k_a	0.176
ʁ	r	0.16
d	ð	0.154
d	-	0.154
t	k	0.15
w	-	0.136
ˈi	ˈi_ɾ	0.133
j	e	0.125
ˈe	ˈa	0.103
t	ʧ	0.1
ˈɛː	ˈe_j	0.095
ˈɛː	j_ˈe	0.095
ˈɛː	j	0.095
ˈɛː	-	0.095
ˈa	ˈe_u	0.095
v	b_j	0.08
p	-	0.071
ˈe	ɾ	0.069
ˈe	u	0.069
#>	ɾ_#>	0.065
ʁ	ɾ_u	0.06
ʁ	ɾ_t	0.06
s	ʃ	0.059
#>	s_#>	0.052
#>	a_#>	0.052
