Phone1	Phone2	PMI
ˈi_#>	ˈi_#>	10.192
ˈɛː_#>	ˈe_#>	10.085
<#_a	<#_a	9.839
ə_n	ə_n	9.644
<#_ð	<#_ʤ	9.606
<#_t	<#_t	9.237
ˈa_#>	ˈa_#>	8.613
<#_n	<#_n	8.607
ˈi	ˈi_#>	8.307
<#_l	<#_l	8.097
ˈɛː	ˈe_#>	7.864
ð	<#_ʤ	7.817
t	<#_t	7.702
ɡ	ɡ	7.404
<#_ð	ʤ	7.282
n_a	n_ə	7.203
b	b	7.199
a_l	a_l	7.138
n	<#_n	7.108
u	u	7.088
ʎ	ʎː	6.904
d	d	6.876
<#_ʁ	<#_r	6.852
p_w	p_ˈu	6.805
ˈa	ˈa_#>	6.762
ʎ_ə	ʎː_ə	6.758
l	<#_l	6.661
<#_w	<#_ˈɔ	6.529
f	f	6.365
ˈɛː_#>	ˈe	6.362
a	<#_a	6.277
m	m	6.145
<#_a	a	6.139
<#_ˈaː	<#_ˈa	5.986
ˈɑː	<#_ˈa	5.967
<#_ˈɑː	<#_ˈa	5.967
ˈɛː	ˈe	5.938
ˈĩ	ŋ	5.668
p	p	5.658
<#_l	l	5.614
ˈu	ˈu	5.496
ð	ʤ	5.493
ˈi_#>	ˈi	5.477
ˈi	ˈi	5.477
s	ʦ	5.429
v	v	5.424
ˈɔ	ˈo	5.421
ɲ	ɲː	5.341
ˈo	ˈu	5.336
ˈø	ˈɔ	5.303
ʃ_i	kː_ə	5.277
l	l	5.114
p_l	k_j	5.079
ˈoː	ˈɔ	5.078
<#_t	t	5.077
ˈɛ̃	ˈɛ_n	5.029
s	s	5.015
ˈɑ̃	ˈa_n	4.964
k	k	4.944
k_ʁ	k_ɾ	4.893
ˈe_ʁ	ˈɛ_ɾ	4.873
j	j	4.86
ˈaː	<#_ˈa	4.855
ʁ_b	ɾ_v	4.83
l	lː	4.827
ˈɔ	ˈɔ	4.768
w	<#_ˈɔ	4.755
t	t	4.743
ˈa_#>	ˈa	4.701
s	ʃː	4.677
w	w	4.675
ˈaː	ˈa	4.674
l_#>	lː	4.671
ˈɑː	ˈa	4.65
n	n	4.648
<#_n	n	4.648
ˈa	ˈa	4.62
ˈɔ̃	ˈu_n	4.602
ˈe	ˈɛ	4.58
ˈɛ̃	ˈɛ	4.562
