French	Emilian	probability
ɲ	ɲ_a	1.0
ɥ_i	ˈɔ_t	1.0
ɥ	-	1.0
ɡ_l	ʤ	1.0
ɡ	ɡ	1.0
ə	-	1.0
ø_#>	#>	1.0
w_a_z	z	1.0
u_#>	#>	1.0
t_#>	t_a_#>	1.0
s_ə	s	1.0
s_#>	#>	1.0
p	p	1.0
m_#>	m_a_#>	1.0
m	m	1.0
l_ɛ	l	1.0
l_i	l_ˈɛ	1.0
k_ʁ	k_r	1.0
k_l	ʧ	1.0
f_l	f_j	1.0
f	f	1.0
b	b	1.0
<#_ʁ	<#_r	1.0
<#_ɛ	<#_a	1.0
<#_ɔ	<#_ˈɔ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_s	1.0
<#_d	<#_d	1.0
<#_a	<#_ˈaː	1.0
v	v	0.92
k	k	0.833
l	l	0.783
ʃ	k	0.765
ʁ	r	0.727
ʒ	ð	0.692
t	t	0.667
j	-	0.667
a_#>	#>	0.667
o	ˈɛ_l	0.615
f_#>	v_#>	0.6
d	-	0.6
s	s	0.567
n	n	0.533
ɔ̃	ˈʌ_ŋ	0.5
y	ˈo	0.5
ɛ	ˈɛ	0.488
ɔ	ˈɔː	0.444
i	ˈiː	0.444
e	ˈɛ_r	0.435
s	θ	0.433
ø	ˈuː_ɡ	0.429
a	a	0.419
œ	ˈʌu̯	0.417
œ	ˈɔː	0.417
f_#>	#>	0.4
d	d	0.4
w	ˈa	0.375
ɛ̃	ˈa_ŋ	0.35
ɑ̃	ˈæ_ŋ	0.333
y	ˈuː	0.333
a_#>	z_#>	0.333
#>	a_#>	0.333
ɛ̃	ŋ	0.3
i	ˈe	0.296
a	ˈaː	0.29
ø	ˈʌu̯	0.286
ø	ˈɔː	0.286
ɔ	u	0.278
ɛ̃	ˈe_ŋ	0.25
ɔ̃	ˈo_ŋ	0.25
ɔ̃	ŋ	0.25
w	-	0.25
u	ˈɔ	0.25
u	u	0.25
j	j	0.238
ʃ	k_a	0.235
o	ˈɔ_s	0.231
ɑ̃	ŋ	0.222
l	j	0.217
e	ˈɛ	0.217
t	t_e	0.2
n	ŋ_n	0.2
#>	t_#>	0.2
e	-	0.174
ɔ	ˈo	0.167
ɑ̃	ˈa_ŋ	0.167
ɑ̃	ˈa_n	0.167
œ	-	0.167
y	-	0.167
k	k_w	0.167
ʒ	θ	0.154
ʒ	-	0.154
o	-	0.154
t	s_e	0.133
n	ŋ	0.133
n	-	0.133
a	e	0.129
w	ˈʌu̯	0.125
w	ˈa_j	0.125
w	ˈa_d	0.125
u	ˈʌu̯	0.125
u	ˈʌ_s	0.125
u	ˈʌ	0.125
u	-	0.125
ɛ	ˈa	0.122
ɔ	-	0.111
ɑ̃	a_ŋ	0.111
i	i	0.111
ɛ̃	-	0.1
ɛ	ˈɛː	0.098
ɛ	ˈaː	0.098
a	j	0.097
j	ʧ_a	0.095
e	ˈɛ_d	0.087
e	r	0.087
v	-	0.08
ʁ	e_r	0.078
i	ˈi	0.074
i	j_ˈɔː	0.074
ɛ	a	0.073
ɛ	-	0.073
#>	d_#>	0.067
ʁ	r_a	0.065
a	ɡ_e	0.065
#>	ʧ_#>	0.053
#>	m_#>	0.053
ʁ	r_e	0.052
ʁ	-	0.052
