Phone1	Phone2	PMI
e_#>	ˈaː_#>	9.977
<#_b	<#_b	9.931
w_ɛ̃	ˈo_n	9.901
o_#>	ˈɛ_l	9.853
<#_d	<#_d	9.847
n_#>	n_e	9.694
<#_l	<#_l	9.499
<#_ʃ	<#_c	9.492
ɑ̃_#>	n_t	9.38
l_#>	l_e	9.25
ɛ_ʁ	ˈɛ_r	9.127
<#_k	<#_k	9.08
<#_p	<#_p	8.981
<#_m	<#_m	8.903
<#_v	<#_v	8.894
<#_f	<#_f	8.708
ɔ̃	ˈo_n	8.652
ʁ_#>	r_t	8.608
l_#>	l_#>	8.574
o	ˈa_l	8.492
<#_s	<#_s	8.383
y_#>	ˈuː_l	8.277
<#_s	<#_ʧ	8.188
l_a	l_a	8.139
<#_l	<#_j	8.1
ɥ_i_#>	ˈɔ_t	8.049
i_l	ˈi_l	8.029
ɛ̃	ˈa_n	7.923
t	s_t	7.888
ɔ	w_ˈa	7.888
j_ɛ̃	ˈɛ_ŋ	7.772
w_a_#>	ˈe_#>	7.769
b_#>	b_e	7.749
ø_#>	ˈuː_k	7.692
ʁ_#>	r_#>	7.608
ɛ_n	ˈe_n	7.52
ʁ_#>	i_#>	7.515
ʃ_#>	c_e	7.492
w_a_#>	ˈoː_s	7.392
ʁ_#>	r_e	7.208
t_ʁ	t_r	7.113
<#_n	<#_ɲ	6.988
ɛ_ʁ	e_r	6.884
w_a	ˈe	6.868
ɛ_n	ˈa_n	6.83
ɛ_ʁ	ˈaː_r	6.768
ɛ̃_#>	ˈi_ŋ	6.736
w_ɛ̃	ˈu_ɲ	6.712
<#_a	<#_ˈa	6.698
ɡ	ɡ	6.657
s_#>	ʧ_e	6.651
ʁ	r_ˈa	6.557
s_#>	s_e	6.16
ɑ̃	a_n	6.113
œ	ˈuː	5.907
y	ˈuː	5.866
ɛ	j_ˈɛ	5.783
s_#>	s_#>	5.724
j_ɛ	ˈiː	5.676
o	w_ˈɛ	5.297
m	m	5.279
ɑ̃	ˈi_n	5.231
u	ˈo	4.939
<#	<#_s	4.899
#>	e_#>	4.817
ɛ̃	ˈa_ŋ	4.805
#>	t_#>	4.74
j	j	4.673
œ	ˈo	4.619
j_ø	j	4.599
i	ˈi	4.589
i_v	ˈi	4.532
#>	s_#>	4.472
ɔ	w	4.298
<#_ɔ	<#_o	4.283
a	a	4.249
ɲ_#>	ɲ_e	4.209
u_#>	ˈoː_#>	4.155
ʁ_i	r_ˈi	4.153
<#	<#_ʧ	4.127
a_s	a_ʧ	4.034
<#_t_u	d_ˈu	4.028
#>	i_#>	3.989
v_ʁ	r	3.968
ɔ	o	3.918
ʁ_b	r_b	3.896
i_#>	t	3.892
l_œ	l_ˈoː	3.876
l	l	3.808
n_#>	ŋ	3.802
ə	a	3.8
i_#>	ˈiː_s	3.769
i_ʁ	ˈiː_#>	3.757
ə_v	a_v	3.738
d	d	3.695
i_ʁ_#>	ˈiː_#>	3.664
<#_o	<#_ˈa	3.65
ɛ	ˈe	3.636
t_ʁ	s_i	3.626
v	v	3.608
j_#>	l_i	3.585
t	t	3.57
y	ˈu	3.566
i	ˈɛ	3.551
j_#>	e	3.548
ʁ	r	3.499
#>	ʧ_#>	3.473
w	ˈi	3.438
u	u	3.388
<#	<#_d	3.37
w_a	ˈe_r	3.333
w_a	j_ˈo	3.333
ɑ̃	ˈɛ_n	3.318
w_a	ˈo_d	3.311
u_#>	ˈoː	3.293
ɑ̃_#>	ŋ_k	3.206
ɛ	ˈaː	3.197
s	s	3.166
<#	<#_v	3.145
i	ˈiː	3.116
e_#>	ˈaː_t	3.099
w_a_ʁ	ˈeː	2.997
<#_ʒ	<#_j	2.977
ə	e	2.966
ɛ_ʁ	ˈa_r	2.898
ɔ	o_r	2.883
i_ʁ	ˈiː	2.867
t_u	ˈu	2.867
#>	k_#>	2.846
ɛ̃	ˈi_ŋ	2.828
e	ˈaː	2.822
u	ˈu_t	2.604
z	z	2.598
t	t_r	2.577
w_a	ˈeː	2.502
<#	<#_i	2.448
ɛ̃_#>	ŋ_#>	2.423
ʒ_#>	i	2.406
a_z	ʧ	2.313
ɥ	ˈu	2.293
<#	<#_ˈo	2.253
a	ˈa	2.21
l	l_ˈa	2.18
o	ˈa	2.168
#>	ŋ_#>	2.159
ɑ̃_d	ˈi	2.151
i_#>	ˈi	2.135
ʃ	c	2.11
#>	l_#>	2.074
b	a	2.067
ʁ	a_r	2.047
i_#>	j	2.036
œ_ʁ	ˈoː_r	11.927
<#_a	<#_a	11.876
ʁ_w	r_ˈeː	11.752
m_#>	m_e	11.457
<#_ɛ	<#_j	11.009
<#_ʁ	<#_r	10.985
<#_ʒ	<#_ʤ	10.96
ʁ_ɛ	r_ˈa	10.935
ɛ_#>	ˈaː_s	10.87
f_#>	f_#>	10.783
ɔ̃_#>	ˈo_ŋ	10.771
<#_n	<#_n	10.659
<#_t	<#_t	10.509
<#_ɡ	<#_ɡ	10.283
ɛ̃_#>	ɲ_#>	10.211
l_ɛ	l_ˈa	10.096
t_#>	t_e	10.019
#>	p_#>	1.999
ʁ	r_i	1.96
ɥ	j	1.862
ɛ_t	s	1.847
ɔ̃_#>	ŋ	1.823
u	o	1.798
k	k	1.797
s_#>	s	1.737
ɛ	ˈa_r	1.647
i	ˈe	1.517
ɑ̃	n	1.495
a_#>	#>	1.38
y	ˈo	1.343
u	w	1.33
ɔ	ˈo	1.288
ɛ	ˈa	1.156
#>	r_#>	0.999
i	i	0.912
ɛ	ˈɛ	0.88
n_#>	#>	0.782
ɛ	e	0.338
