Phone1	Phone2	PMI
e_p	s_p	11.168
w_ɛ̃	ˈu_n	10.583
ø	ˈɔ_k	10.307
ʁ_i	r_ˈi	9.954
n_#>	n_a_#>	9.756
<#_ʁ	<#_r	9.566
<#_t	<#_t	9.23
<#_d	<#_d	8.958
ɔ̃	ˈo_n	8.88
<#_n	<#_n	8.72
d	<#_d	8.524
<#_l	<#_l	8.518
ɑ̃	ˈɛ_n	8.389
œ	ˈo_r	8.328
o	ˈɛ_lː	8.133
n	n_a_#>	8.127
e	s_p	8.086
w	ˈo_ʧ	8.061
w	e_d	8.061
t	<#_t	7.672
n	<#_n	7.635
p	s_p	7.609
ɛ̃	ˈu_n	7.518
m_#>	m_a_#>	7.502
e	ˈa_r	7.494
w	ˈu_n	7.476
ʃ	k_ˈa	7.444
i_l	ˈi_lː	7.417
ʃ	k_a	7.323
ɛ	ˈɛ_s	7.251
k	k_w	7.144
ɛ̃	ˈi_n	6.921
k_ʁ	k_r	6.889
j_ɛ	j_ˈɛ	6.889
ɛ	ˈa_d	6.861
f	ˈɔ_v	6.851
ɔ_l	ˈo_l	6.81
ɡ	ɡ	6.807
ɛ̃	ˈa_n	6.795
ʒ	ʤ	6.787
<#_ɔ	<#_o	6.72
i_ʁ	ˈi_r	6.72
l	lː_a	6.7
a	w_ˈa	6.687
<#_œ	<#_ˈɔ	6.643
b	b	6.598
l	<#_l	6.585
j	ʎː	6.581
t_#>	t_a_#>	6.535
y	ˈu	6.513
w_ɛ̃	ˈu	6.513
s_ɛ	s_ˈa	6.507
œ_ʁ	ˈo_r	6.482
i	r_ˈi	6.455
<#_o	<#_ˈa	6.42
<#	<#_n	6.4
s	s_ˈa	6.343
s_a	s_ˈa	6.271
u_ʁ	ˈo_r	6.238
<#	<#_r	6.188
<#	<#_t	6.185
<#_s	<#_ʧ	6.174
l	j_ˈa	6.121
<#	<#_d	6.118
<#_d	d	6.115
f	f	6.091
<#_a	<#_a	6.064
<#	<#_l	6.016
<#	<#_ˈa	5.959
m	m	5.956
d	d	5.897
w_a	ˈe	5.884
v	v	5.854
ʁ	<#_r	5.849
ɛ̃	ɲː	5.833
ʁ_i	ˈi	5.769
j	ʎː_a	5.761
s	ʦ	5.75
o	lː	5.722
s_a	s	5.709
e_p	s	5.709
m	m_a_#>	5.704
<#_a	<#_ˈa	5.674
ʃ	kː_a	5.646
j	kː_j	5.629
o	ˈɔ_s	5.605
b	b_w	5.571
e_p	p	5.555
p	p	5.555
j_ɛ	ˈɛ	5.552
u	ˈu_tː	5.519
ɲ	ɲː	5.489
<#_l	l	5.472
ɔ̃	ˈɔ_n	5.386
i	ˈi	5.358
ɔ̃	ˈo	5.342
u	ˈo	5.317
w	ˈe	5.313
j	j_ˈɛ	5.295
<#	<#_ˈɔ	5.293
<#_t	t	5.274
ɔ	<#_o	5.273
ʁ	ˈo_r	5.246
#>	n_a_#>	5.24
k	k	5.223
i	ˈi_k	5.159
s	s	5.153
t	t_a_#>	5.151
œ	<#_ˈɔ	5.146
ø	ˈɔ	5.146
i	ˈi_lː	5.072
ʃ	k	5.067
ɑ̃	ˈɛ	5.058
œ	ˈo	5.022
ɔ	ˈɔ	4.979
ɔ	ˈɔ_r	4.965
ɔ	ˈo_l	4.933
a	a_r	4.895
t	t	4.895
k	k_r	4.891
ʁ	r_ˈi	4.846
i	tː_o	4.832
u	ˈo_r	4.809
a	ˈe	4.782
l	l	4.781
o	<#_ˈa	4.743
l	ˈi_lː	4.715
t	tː	4.709
t	tː_e	4.666
i_l	lː	4.631
i	ˈi_r	4.631
s	<#_ʧ	4.63
<#_n	n	4.573
w_ɛ̃	n	4.573
n_#>	n	4.573
n	n	4.573
ø	k	4.557
j	j	4.543
#>	e_#>	4.498
#>	o_#>	4.43
<#_s	ʧ	4.374
n_#>	a	4.366
ɑ̃	n	4.338
ɛ	j_ˈɛ	4.334
ɔ̃	n	4.331
s	ʧ	4.261
l	j	4.261
ɛ	ˈɛ	4.21
o	ˈɔ	4.187
