Friulian	Gallurese	probability
ˈɛ_s	sː	1.0
ˈɛ_r	rː	1.0
ˈɛ_l	ɖː	1.0
ˈuː_k	ˈɔ_k	1.0
ˈu	ˈu	1.0
ˈoː_#>	ˈɔ_j_#>	1.0
ˈo_l	ˈu_l	1.0
ˈi_l	ˈi_ɖː	1.0
ˈeː_#>	ˈe_#>	1.0
ˈeː	ˈi	1.0
ˈaː_t	ˈa_i	1.0
ˈaː_#>	ˈa_#>	1.0
ˈaː	ˈa	1.0
ˈa	ˈa	1.0
ʤ	ɟ	1.0
ɡ	ɡ	1.0
w_ˈɛ	ˈɔ	1.0
w_ˈi	ˈɔ	1.0
v_ˈɔ	ˈo	1.0
u_l	u_l	1.0
t_r	t	1.0
r_ˈa	r_ˈa	1.0
r_t	t_i	1.0
r_#>	r_u_#>	1.0
p	p	1.0
l_ˈe	l_ˈi	1.0
l_i	cː	1.0
k_w	k	1.0
k_l	c	1.0
j_ˈɛ	ˈe	1.0
f_#>	i_#>	1.0
f	f	1.0
d_ˈu	t_ˈu	1.0
c	k	1.0
b	b	1.0
a_v	a_p	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#_i	1.0
e	a	0.952
n	n	0.943
k	k	0.895
m	m	0.893
o	u	0.8
i	i	0.8
#>	u_#>	0.798
v	v	0.783
d	d	0.769
ˈe	ˈɛ	0.733
ˈɔ	ˈɔ	0.714
ˈi	ˈi	0.704
r	r	0.684
ɲ	ɲː	0.667
ʧ	ʧ	0.647
s	s	0.636
w_ˈa	ˈɔ	0.6
u	u	0.6
s_#>	#>	0.6
l	l	0.6
<#	<#_a	0.6
ˈuː	ˈu	0.571
ˈiː	ˈe	0.556
t	t	0.553
ˈoː	ˈɔ	0.5
ˈoː	ˈu	0.5
z	ʒ	0.5
z	z	0.5
w	ˈɔ	0.5
w	-	0.5
ˈiː	ˈi	0.444
i_#>	#>	0.444
ˈuː	ˈɔ	0.429
w_ˈa	ˈɔ_l	0.4
u	-	0.4
s_#>	i_#>	0.4
<#	<#_l	0.4
ˈo	ˈu	0.37
ŋ	n	0.37
j	ˈɛ	0.368
t	tː	0.34
ɲ	n	0.333
i_#>	ˈi_#>	0.333
j	ˈe	0.316
ˈo	ˈɔ	0.296
ˈɛ	ˈɛ	0.286
ˈɛ	ˈe	0.286
ˈɔ	ˈo	0.286
ˈe	ˈi	0.267
ŋ	ŋ	0.259
ŋ	n_i	0.259
l	j	0.233
d	t	0.231
ˈi	ˈɛ	0.222
i_#>	ˈe_#>	0.222
ˈɛ	ɖː	0.214
ˈɛ	-	0.214
r	l	0.211
#>	i_#>	0.202
o	o_j	0.2
i	u	0.2
l	ɖː	0.167
j	ˈa	0.158
j	-	0.158
v	-	0.13
ʧ	ʧː	0.118
ʧ	ʦː	0.118
ʧ	-	0.118
s	ʧ_i	0.114
ˈo	ˈo	0.111
ˈo	u	0.111
ˈo	i	0.111
ŋ	u	0.111
m	mː	0.107
t	d	0.106
k	ɡ	0.105
s	ʃː	0.091
v	b	0.087
ˈi	-	0.074
s	sː	0.068
n	nː	0.057
r	u	0.053
r	rː	0.053
