Friulian	Spanish	probability
ˈɛ_t	ˈe_ʧ	1.0
ˈɔ_t	ˈo_ʧ	1.0
ˈuː_r	ˈu_ɾ	1.0
ˈoː	ˈo	1.0
ˈiː_#>	ˈi_ɾ_#>	1.0
ˈi_n	ˈe_n	1.0
ˈa_w	ˈo_ɾ	1.0
ˈa_v	ˈa_β	1.0
ɟ	-	1.0
ŋ_#>	n_#>	1.0
v_i	b_e	1.0
t_e	t_a	1.0
s_ˈe	s_ˈe	1.0
s_#>	θ_#>	1.0
r_i	ɾ_o	1.0
r_b	ɾ_β	1.0
r_#>	o_#>	1.0
p_l	ɟ͡ʝ	1.0
p	p	1.0
o_ˈa	o_s	1.0
m	m	1.0
l_t	ˈo_t	1.0
l_i	x_o	1.0
l_#>	l_#>	1.0
k_r	k_ɾ	1.0
k_l	ɟ͡ʝ	1.0
i_s	a_s	1.0
f_ˈi	ˈi_x	1.0
e_n	e_n	1.0
d_ˈu	t_ˈo	1.0
c	k	1.0
a_d	a_ð	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_θ	1.0
<#_ʤ	<#_x	1.0
<#_ɡ	<#	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f	<#	1.0
<#	<#_a	1.0
s	s	0.88
b	b	0.857
#>	o_#>	0.853
e	a	0.841
o	o	0.833
ˈa	ˈa	0.83
ˈɛ	ˈe	0.826
n	n	0.812
k	k	0.808
ˈu	ˈu	0.8
ˈe	ˈe	0.789
ˈi	ˈi	0.76
l	l	0.731
r	ɾ	0.714
ˈɔ	ˈo	0.667
ˈeː	ˈe	0.667
w	w	0.652
ˈuː	w	0.6
ʤ	θ	0.6
v	b	0.6
l_e	ʝ_a	0.6
t	t	0.587
d	d	0.583
ˈo	ˈo	0.581
ˈiː	j_ˈe	0.571
u	-	0.571
ʧ	θ	0.556
a	a	0.55
ɲ	ɲ	0.545
ɡ	ɡ	0.538
ŋ	n_o	0.526
j	j	0.524
ˈaː	ˈa_ɾ	0.5
<#_a	<#_a	0.5
<#_a	<#	0.5
ɡ	ɣ	0.462
ɲ	n	0.455
a	-	0.45
ʧ	-	0.444
ˈiː	ˈi	0.429
ˈaː	ˈa	0.429
z	θ	0.429
u	o	0.429
ˈuː	ˈu	0.4
ʤ	ɟ͡ʝ	0.4
l_e	a	0.4
ŋ	ŋ	0.368
f	β	0.364
f	f	0.364
ˈɔ	w	0.333
ˈeː	ˈe_ɾ	0.333
i	e	0.333
d	ð	0.292
z	s	0.286
z	-	0.286
j	-	0.286
f	ˈe_β	0.273
l	ʝ	0.269
i	ˈe_ɾ	0.25
i	i	0.25
v	β	0.24
t	ð	0.217
ˈu	ˈo	0.2
ˈo	ˈu	0.194
w	o	0.174
o	-	0.167
i	ɾ	0.167
ˈi	ˈe	0.16
b	β	0.143
ˈo	w_ˈe	0.129
ˈa	ˈe	0.128
d	-	0.125
k	ˈe_ɣ	0.115
ˈe	ˈe_j	0.105
ˈe	-	0.105
ŋ	ɲ_o	0.105
ˈo	o	0.097
j	ɟ͡ʝ	0.095
j	x	0.095
n	ɲ	0.094
n	-	0.094
ˈɛ	ˈi	0.087
ˈɛ	j_ˈe	0.087
w	ˈo	0.087
w	ɾ	0.087
e	e	0.087
r	-	0.082
ˈi	j	0.08
v	b_j	0.08
v	-	0.08
k	ɡ	0.077
ˈaː	a_ɾ_ˈi	0.071
t	ʧ	0.065
t	d	0.065
t	-	0.065
r	ɾ_n	0.061
r	ð_ɾ	0.061
#>	s_#>	0.053
#>	b_ɾ_e_#>	0.053
