Phone1	Phone2	Surprisal	OOV_Smoothed
#>	o_#>	0.385	4.701
#>	e_#>	2.555	4.701
<#	<#_t	1.585	4.701
<#	<#_z	1.585	4.701
<#	<#_ɡ	1.585	4.701
<#_i	<#_i	0.0	4.701
<#_l	<#_ɰ	0.541	4.701
<#_l	<#	1.678	4.701
<#_n	<#_n	0.0	4.701
<#_r	<#_r	0.0	4.701
<#_t	<#_t	0.415	4.701
<#_t	<#	2.0	4.701
<#_ˈa	<#_ˈa	0.0	4.701
a	a	0.241	4.701
a	-	2.7	4.701
a_d	a	0.0	4.701
a_r	a_r	0.0	4.701
b	b	0.0	4.701
c	k	0.0	4.701
d	d	0.0	4.701
d_e	a	0.0	4.701
d_ˈu	ˈu	0.0	4.701
e	a	0.093	4.701
e	e	4.0	4.701
e_m	e_m	0.0	4.701
e_n	e_ŋ	0.0	4.701
e_r	e_r	0.0	4.701
f	f	0.396	4.701
f	v	3.059	4.701
f	v_e	3.059	4.701
f_r	f_r	0.0	4.701
i	e	1.0	4.701
i	e_r	1.585	4.701
i	i	2.585	4.701
j	j	0.918	4.701
j	z	3.087	4.701
j	ɡ	3.087	4.701
j	ʤ	3.087	4.701
j	ˈɛ	3.087	4.701
j_ˈɛ	ˈɛ	0.0	4.701
k	k	0.415	4.701
k	k_o	2.737	4.701
k	ɡ	3.322	4.701
k_l	ʧ	0.0	4.701
k_o	k_o	0.0	4.701
k_r	k_r	0.0	4.701
l	ɰ	1.451	4.701
l	o	2.036	4.701
l	l	2.188	4.701
l	j	3.036	4.701
l	e	4.358	4.701
l_e	a	0.0	4.701
l_i	ʧ_o	0.0	4.701
l_t	l_t	0.0	4.701
l_ˈa	j_ˈa	0.0	4.701
m	m	0.147	4.701
m	ŋ	3.369	4.701
m_#>	m_e_#>	0.0	4.701
n	n	0.766	4.701
n	ŋ	1.28	4.701
o	o	0.0	4.701
o_d	o_d	0.0	4.701
p	p	0.0	4.701
r	r	0.085	4.701
r	r_n	4.129	4.701
r_e	r_a	0.0	4.701
r_i	r_o	0.0	4.701
r_t	r_t	0.0	4.701
s	s	0.162	4.701
s	z	3.97	4.701
s	i	4.555	4.701
s_#>	z_e_#>	0.415	4.701
s_#>	#>	2.0	4.701
s_a	s_a	0.0	4.701
t	t	0.228	4.701
t	d	2.773	4.701
t_#>	#>	0.0	4.701
u	o	0.415	4.701
u	-	2.0	4.701
v	v	0.0	4.701
v_ˈɔ	ˈɔ	0.0	4.701
w	w	0.737	4.701
w	-	1.322	4.701
w_ˈa	ˈɔ	0.0	4.701
w_ˈi	ˈo	0.0	4.701
w_ˈɛ	ˈɔ	0.0	4.701
z	z	0.0	4.701
ŋ	ŋ	0.334	4.701
ŋ	n	2.858	4.701
ŋ	ɲ	3.858	4.701
ɡ	ɡ	0.0	4.701
ɲ	ɲ	0.7	4.701
ɲ	n	1.379	4.701
ʤ	z	0.0	4.701
ʧ	s	0.628	4.701
ʧ	z	1.503	4.701
ʧ_ˈi	s_ˈi	0.0	4.701
ˈa	ˈa	0.0	4.701
ˈa_t	ˈa_t	0.0	4.701
ˈa_w	ˈɔ	0.0	4.701
ˈaː	ˈa_r	0.794	4.701
ˈaː	ˈa	1.241	4.701
ˈe	ˈe	0.212	4.701
ˈe	ˈɛ	2.874	4.701
ˈeː	ˈe	1.0	4.701
ˈeː	ˈe_r	2.0	4.701
ˈeː	ˈɛ	2.0	4.701
ˈi	ˈi	0.144	4.701
ˈi	ˈɛ	3.392	4.701
ˈi_e	ˈi_a	0.0	4.701
ˈi_n	ˈe_ŋ	0.0	4.701
ˈiː	ˈi	0.585	4.701
ˈiː	j_ˈe	1.585	4.701
ˈiː_#>	ˈi_r_#>	0.0	4.701
ˈo	ˈo	0.206	4.701
ˈo	ˈe	3.907	4.701
ˈo	ˈɔ	3.907	4.701
ˈoː	ˈo	0.0	4.701
ˈoː_#>	ˈu_#>	0.0	4.701
ˈoː_r	ˈo_r	0.0	4.701
ˈu	ˈu	0.0	4.701
ˈuː	ˈu	0.485	4.701
ˈuː	ˈo	1.807	4.701
ˈuː_k	ˈo_ɡ	0.0	4.701
ˈɔ	ˈɔ	0.0	4.701
ˈɛ	ˈe	0.907	4.701
ˈɛ	ˈɛ	1.1	4.701
