Galician	Brazilian Portuguese	probability
ˈɑ_ŋ	ˈɐ̃	1.0
ˈo_n	ˈõ	1.0
ˈo_j	ˈu	1.0
ˈi_ɾ	ˈe_h	1.0
ˈi_ŋ	ˈĩ	1.0
ˈi_n	ˈĩ	1.0
ˈe_n	ˈẽ	1.0
ˈa_n	ˈɐ̃	1.0
ʃ_ʊ	ʃ_u	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_ʊ	ɾ_u	1.0
ɾ_ɪ	ɾ_i	1.0
ɾ_ɐ	ɾ_ɐ	1.0
ɾ_t	h_ʧ	1.0
ɾ_m	ɦ_m	1.0
ɾ_k	h_k	1.0
ɲ	j̃	1.0
ɡ	ɡ	1.0
ɟ	ʎ	1.0
ɔ	o	1.0
ɑ	ɐ̃	1.0
ɐ_s	ɐ_ʃ	1.0
v	v	1.0
s_ˈa	s_ˈa	1.0
s_ʊ	s_u	1.0
s_p	ʃ_p	1.0
s_k	ʃ_k	1.0
p_ɾ	p_ɾ	1.0
p	p	1.0
m_b	b	1.0
m	m	1.0
k_ɾ	k_ɾ	1.0
k	k	1.0
j_t	t	1.0
f	f	1.0
e_n	ẽ	1.0
e_m	ũ	1.0
ʊ	u	0.972
ɐ	ɐ	0.967
j	j	0.94
e	e	0.927
ɣ	ɡ	0.911
w	w	0.904
ɪ	i	0.903
l	l	0.852
ˈɛ	ˈɛ	0.839
n	n	0.836
ˈɑ	ˈɐ̃	0.811
ð	d	0.8
ˈa	ˈa	0.799
a	a	0.782
i	i	0.764
t	t	0.759
ˈe	ˈe	0.752
d	d	0.732
o	o	0.669
θ	s	0.649
ˈi	ˈi	0.641
b	v	0.629
s	s	0.586
ʃ	ʒ	0.585
ˈo	ˈo	0.58
β	v	0.55
ˈɔ	ˈɔ	0.55
r	h	0.528
ˈu	ˈu	0.524
ŋ	w̃	0.52
u	u	0.5
u	o	0.5
ˈu	ˈũ	0.476
r	-	0.472
ɾ	h	0.456
β	b	0.45
b	b	0.371
ˈi	ˈĩ	0.359
ɾ	ɾ	0.359
s	ʃ	0.357
ˈɔ	ˈo	0.32
ŋ	j̃	0.294
d	ʤ	0.268
θ	z	0.258
t	ʧ	0.241
i	-	0.236
ʃ	-	0.215
ˈo	ˈõ	0.207
ˈa	ˈɐ̃	0.201
ʃ	ʃ	0.2
ð	ʤ	0.2
ˈɑ	-	0.189
ŋ	-	0.186
ɾ	ɦ	0.185
ˈe	ˈẽ	0.18
o	u	0.177
n	-	0.164
ˈɛ	-	0.161
o	-	0.154
l	w	0.148
a	ɐ	0.136
ˈɔ	-	0.13
ɪ	ẽ_j̃	0.097
w	j	0.096
θ	ʃ	0.093
ɣ	-	0.089
a	-	0.082
ˈo	-	0.077
e	-	0.073
j	-	0.06
s	z	0.058
ˈo	ˈɐ̃	0.057
