Phone1	Phone2	Surprisal	OOV_Smoothed
#>	i_#>	0.8744691179161412	4.780922421547414
#>	ə_#>	1.8744691179161412	4.780922421547414
#>	u_#>	2.9740047914670558	4.780922421547414
#>	r_#>	4.196397212803504	4.780922421547414
<#	<#_j	-0.0	4.780922421547414
<#_a	<#	-0.0	4.780922421547414
<#_b	<#_v	0.45943161863729726	4.780922421547414
<#_b	<#_b	1.8744691179161412	4.780922421547414
<#_d	<#_d	-0.0	4.780922421547414
<#_e	<#	-0.0	4.780922421547414
<#_h	<#_f	0.6780719051126377	4.780922421547414
<#_h	<#	1.4150374992788437	4.780922421547414
<#_k	<#_k	-0.0	4.780922421547414
<#_l	<#_l	-0.0	4.780922421547414
<#_m	<#_m	-0.0	4.780922421547414
<#_n	<#_n	-0.0	4.780922421547414
<#_p	<#_p	-0.0	4.780922421547414
<#_s	<#_s	0.9068905956085187	4.780922421547414
<#_s	<#_ʦ	2.321928094887362	4.780922421547414
<#_s	<#_ʃ	2.9068905956085187	4.780922421547414
<#_s	<#_ʧ	2.9068905956085187	4.780922421547414
<#_t	<#_t	-0.0	4.780922421547414
<#_w	<#_w	-0.0	4.780922421547414
<#_ɡ	<#_ɡ	-0.0	4.780922421547414
<#_ʒ	<#_z	0.7369655941662062	4.780922421547414
<#_ʒ	<#_ʒ	1.3219280948873622	4.780922421547414
<#_ˈa	<#_ˈa	-0.0	4.780922421547414
<#_ˈy	<#_ˈu	-0.0	4.780922421547414
<#_ˈɔ	<#_w	-0.0	4.780922421547414
a	-	-0.0	4.780922421547414
e	i	0.8073549220576043	4.780922421547414
e	u	1.222392421336448	4.780922421547414
e_#>	u_#>	-0.0	4.780922421547414
i	-	-0.0	4.780922421547414
j	-	1.3219280948873622	4.780922421547414
j	p	2.321928094887362	4.780922421547414
j	t	2.321928094887362	4.780922421547414
j	ʃ	2.321928094887362	4.780922421547414
j_t	p_t	-0.0	4.780922421547414
k	k	-0.0	4.780922421547414
k_#>	k_#>	-0.0	4.780922421547414
l	l	1.7369655941662063	4.780922421547414
l	ʎ	1.7369655941662063	4.780922421547414
l	-	2.321928094887362	4.780922421547414
l	r	2.321928094887362	4.780922421547414
l_ˈa	ʎ_ˈe	-0.0	4.780922421547414
m	m	-0.0	4.780922421547414
m_i	m	-0.0	4.780922421547414
n	n	-0.0	4.780922421547414
n_#>	n_t	-0.0	4.780922421547414
p	p	-0.0	4.780922421547414
p_#>	p_#>	-0.0	4.780922421547414
r	r	0.2630344058337938	4.780922421547414
r	r_n	2.584962500721156	4.780922421547414
s	s	-0.0	4.780922421547414
s_#>	s_#>	0.5849625007211563	4.780922421547414
s_#>	j_#>	1.5849625007211563	4.780922421547414
t	t	0.5305147166987799	4.780922421547414
t	d	2.700439718141092	4.780922421547414
t	ʦ	2.700439718141092	4.780922421547414
t_#>	l_#>	0.6780719051126377	4.780922421547414
t_#>	t_#>	1.4150374992788437	4.780922421547414
u	u	-0.0	4.780922421547414
w	-	1.4594316186372973	4.780922421547414
w	l	1.8744691179161412	4.780922421547414
w	r	2.4594316186372973	4.780922421547414
w	w	2.4594316186372973	4.780922421547414
w_#>	r_#>	-0.0	4.780922421547414
ð	t	-0.0	4.780922421547414
ŋ	j_n	1.5849625007211563	4.780922421547414
ŋ	n	1.5849625007211563	4.780922421547414
ŋ	ŋ	1.5849625007211563	4.780922421547414
ŋ_#>	n_#>	-0.0	4.780922421547414
ɔ_#>	ə_#>	0.17687776208407935	4.780922421547414
ɔ_#>	#>	3.1154772174199357	4.780922421547414
ɾ	r	-0.0	4.780922421547414
ʎ	ʎ	-0.0	4.780922421547414
ʦ	ʦ	-0.0	4.780922421547414
ˈa	ˈa	0.39231742277876036	4.780922421547414
ˈa	ˈɔ	2.070389327891398	4.780922421547414
ˈa_w	w	-0.0	4.780922421547414
ˈa_ŋ	ˈɔ_n	-0.0	4.780922421547414
ˈe	ˈe	1.7004397181410922	4.780922421547414
ˈe	ˈi	1.7004397181410922	4.780922421547414
ˈe	e̯ˈa	2.115477217419936	4.780922421547414
ˈe	ˈo	3.700439718141092	4.780922421547414
ˈe	ˈu_n	3.700439718141092	4.780922421547414
ˈi	ˈi	-0.0	4.780922421547414
ˈu	ˈu	0.7104933828050151	4.780922421547414
ˈu	o̯ˈa	2.584962500721156	4.780922421547414
ˈu	ˈo	3.1699250014423126	4.780922421547414
ˈu	ˈu_k	3.1699250014423126	4.780922421547414
ˈy	ˈo	1.0	4.780922421547414
ˈy	ˈu	1.0	4.780922421547414
ˈɔ	ˈo	0.4150374992788438	4.780922421547414
ˈɔ	o̯ˈa	2.0	4.780922421547414
ˈɛ	ˈa	0.9175378398080271	4.780922421547414
ˈɛ	ˈe	1.5025003405291832	4.780922421547414
ˈɛ	ˈo	3.0874628412503395	4.780922421547414
β	b	1.222392421336448	4.780922421547414
β	-	1.8073549220576042	4.780922421547414
β	r	1.8073549220576042	4.780922421547414
