Phone1	Phone2	Surprisal	OOV_Smoothed
#>	s_#>	1.115	5.239
#>	ɛ̃ː_#>	1.893	5.239
#>	ãː_#>	2.7	5.239
#>	a_#>	3.115	5.239
<#	<#_h	0.778	5.239
<#	<#_a	2.0	5.239
<#	<#_n	2.585	5.239
<#_a	<#_a	0.0	5.239
<#_l	<#_ɫ	0.0	5.239
<#_n	<#_n	0.0	5.239
<#_o	<#_ɔ	0.0	5.239
<#_r	<#_r	0.0	5.239
<#_t	<#_t	0.0	5.239
<#_ˈa	<#_ˈa	0.0	5.239
<#_ˈɔ	<#_ˈɔ	0.0	5.239
a	ãː	0.401	5.239
a	a	2.929	5.239
a	aː	4.044	5.239
a	t	5.044	5.239
a_#>	#>	0.0	5.239
a_p	k_ˈiː	0.0	5.239
b	b	0.0	5.239
bː	b_ʊ	0.0	5.239
d	d	0.156	5.239
d	d_ˈu	4.285	5.239
d	t	4.285	5.239
e	ɛ	0.753	5.239
e	ɛ̃ː	1.657	5.239
e	ɛ̃	4.943	5.239
e	ɪ	4.943	5.239
f	f	0.0	5.239
fː	fː	0.0	5.239
i	ɪ	1.433	5.239
i	iː	1.755	5.239
i	ɛ	2.755	5.239
i	eː	3.17	5.239
i	oː	3.755	5.239
j	ɫ	0.383	5.239
j	i	2.585	5.239
j	e	3.907	5.239
j_#>	s_#>	0.0	5.239
j_ˈɛ	ˈɛ	0.0	5.239
k	k	0.061	5.239
k	kʷ	4.585	5.239
k_a	k_a	0.0	5.239
k_r	k_r	0.0	5.239
k_w	kʷ	0.0	5.239
kː	kː	1.263	5.239
kː	k_ʊ	1.585	5.239
kː	ʊ	2.0	5.239
l	ɫ	0.322	5.239
l	lʲ	2.322	5.239
l_e	ɫ_ɛ̃ː	0.0	5.239
lː	lʲː	0.0	5.239
m	m	0.0	5.239
n	n	0.203	5.239
n	ŋ	4.346	5.239
n	ŋ_k	4.346	5.239
n	ˈɪ_n	4.931	5.239
n_e	n_ɛ̃ː	0.363	5.239
n_e	n	2.17	5.239
n_o	n_a	0.0	5.239
n_ˈe	ˈɛ	0.0	5.239
nː	nː	0.0	5.239
o	ʊ̃ː	0.429	5.239
o	ʊ	3.544	5.239
o	oː	3.807	5.239
o	ɔ	4.544	5.239
o	e_ʊ̃ː	5.129	5.239
o_#>	#>	0.0	5.239
o_l	ɫ	0.0	5.239
o_r	ɔ_r	0.0	5.239
p	p	0.0	5.239
p_o	p_ʊ̃ː	0.0	5.239
r	r	0.208	5.239
r	ɛ_r	3.773	5.239
r	ɔ_r	4.773	5.239
r_a	r_ãː	0.0	5.239
r_k	r_k	0.0	5.239
r_n	r_n	0.0	5.239
r_o	r_ʊ̃ː	0.263	5.239
r_o	r	2.585	5.239
r_ˈa	r_ˈaː	0.0	5.239
rː	rː	0.0	5.239
s	s	0.0	5.239
s_e	s_ɛ	0.0	5.239
sː	sː	0.29	5.239
sː	k	2.459	5.239
t	t	0.0	5.239
t_r	t_r	0.0	5.239
tː	k_t	1.17	5.239
tː	tː	1.848	5.239
tː	t	2.585	5.239
tː	p_t	3.17	5.239
u	-	0.0	5.239
v	w	0.183	5.239
v	b	3.07	5.239
w	-	1.0	5.239
w	kʷ	1.0	5.239
w_ˈɔ	ˈɔ	0.0	5.239
z	s	0.0	5.239
ŋ	ŋ	0.0	5.239
ɡ	ɡ	0.778	5.239
ɡ	k	1.263	5.239
ɡ_w	ɡʷ	0.0	5.239
ɲː	n	0.874	5.239
ɲː	n_i	1.874	5.239
ɲː	ŋ_n	2.459	5.239
ʃː	s_k	0.0	5.239
ʎː	lʲ_i	0.0	5.239
ʤ	ɡ	0.621	5.239
ʤ	j	2.0	5.239
ʤ	i	3.322	5.239
ʤː	i	1.0	5.239
ʤː	ɡ	1.0	5.239
ʦ	t_i	0.0	5.239
ʦː	t_i	0.0	5.239
ʧ	k	0.585	5.239
ʧ	k_ɛ̃ː	2.585	5.239
ʧ	kʷ	2.585	5.239
ʧ_e	k_ɛ̃ː	0.29	5.239
ʧ_e	k	2.459	5.239
ʧː	k_i	1.0	5.239
ʧː	i	2.0	5.239
ʧː	k	2.0	5.239
ˈa	ˈa	0.832	5.239
ˈa	ˈaː	1.266	5.239
ˈe	ˈeː	1.234	5.239
ˈe	ˈɪ	1.322	5.239
ˈe	ˈɪ_ɡ	3.737	5.239
ˈe	ɡ	4.322	5.239
ˈe	ˈɛ	4.322	5.239
ˈi	ˈiː	0.175	5.239
ˈi	ˈi	3.129	5.239
ˈi_r	ˈiː_r	0.0	5.239
ˈo	ˈʊ	1.034	5.239
ˈo	ˈoː	1.178	5.239
ˈo	ˈɔ	3.841	5.239
ˈo_l	ˈɔ_ɫ	0.0	5.239
ˈu	ˈuː	0.415	5.239
ˈu	ˈoː	3.0	5.239
ˈu	ˈʊ	3.0	5.239
ˈɔ	ˈɔ	0.585	5.239
ˈɔ	ˈau̯	2.585	5.239
ˈɔ	ˈʊ	3.322	5.239
ˈɔ	ˈoː	3.907	5.239
ˈɛ	ˈɛ	0.0	5.239
