Phone1	Phone2	Surprisal	OOV_Smoothed
#>	r_#>	0.0	4.961
<#_a	<#_ɐ	0.0	4.961
<#_n	<#_n	0.0	4.961
<#_r	<#_r	0.0	4.961
<#_t	<#_t	0.0	4.961
<#_w	<#	0.0	4.961
a	ɐ	0.104	4.961
a	a	4.426	4.961
a_#>	#>	0.0	4.961
a_l	ɐ_l	0.0	4.961
a_p	ɐ_v	0.0	4.961
b	b	0.0	4.961
bː	b	0.0	4.961
d	d	0.0	4.961
e	-	0.327	4.961
e	ɐ	2.649	4.961
e	i	4.524	4.961
e_r	ɐ_r	0.263	4.961
e_r	r	2.585	4.961
f	f	0.0	4.961
i	i	0.585	4.961
i	-	1.585	4.961
i_#>	#>	0.0	4.961
j	j	0.585	4.961
j	-	2.17	4.961
j	ˈeː_t	3.17	4.961
k	k	0.072	4.961
k	ɡ	4.358	4.961
k_a	ɡ_ɐ	0.0	4.961
k_j	ʧ	0.0	4.961
k_o	ɡ	0.0	4.961
k_o_#>	k_#>	0.0	4.961
kː	k	0.0	4.961
kː_j	ʧ	0.0	4.961
l	l	0.0	4.961
lː	l	0.0	4.961
lː_o_#>	l_#>	0.0	4.961
m	m	0.0	4.961
n	n	0.074	4.961
n	ˈõũ̯	4.322	4.961
n_e	j̃	0.0	4.961
n_o	ɐ_n	0.0	4.961
nː	n	0.0	4.961
o	u	1.263	4.961
o	r	2.0	4.961
o	-	2.585	4.961
o	o	2.585	4.961
o_#>	#>	0.0	4.961
o_l	u_l	0.0	4.961
o_r	u_r	0.0	4.961
p	p	0.248	4.961
p	v	3.248	4.961
p	-	4.248	4.961
p_o_#>	p_#>	0.0	4.961
r	r	0.113	4.961
r	ɐ	3.728	4.961
s	s	0.0	4.961
sː_o_#>	s_#>	0.0	4.961
t	t	0.399	4.961
t	d	2.051	4.961
t_e	t_ɐ	0.807	4.961
t_e	t	1.222	4.961
tː	t	0.0	4.961
u	u	0.0	4.961
v	v	0.0	4.961
v_e	v	0.737	4.961
v_e	v_ɐ	1.322	4.961
w	-	0.893	4.961
w	v	1.115	4.961
w_e_#>	v_#>	0.0	4.961
w_ˈɔ	ˈu	0.0	4.961
z	z	0.0	4.961
ŋ	ŋ	0.0	4.961
ɡ	ɡ	0.0	4.961
ɡ_j	ʤ	0.0	4.961
ɡ_o_#>	ɡ_#>	0.0	4.961
ɲː	ɲ	0.0	4.961
ʃː	s	0.0	4.961
ʎː	j	0.0	4.961
ʤ	ð	0.637	4.961
ʤ	ʤ	2.222	4.961
ʤ	z	2.807	4.961
ʤː	ð	0.0	4.961
ʦ	θ	0.0	4.961
ʦː	θ	0.0	4.961
ʧ	θ	0.415	4.961
ʧ	z	2.0	4.961
ʧ_e	z	0.0	4.961
ʧː	θ	0.0	4.961
ˈa	ˈeə̯	1.309	4.961
ˈa	ˈʌ̃	1.585	4.961
ˈa	ˈa	1.926	4.961
ˈa_n	ˈʌ̃	0.0	4.961
ˈa_r	ˈeə̯	0.0	4.961
ˈe	ˈɛ	0.885	4.961
ˈe	ˈeː	2.0	4.961
ˈe	ˈẽ	3.0	4.961
ˈe	ˈi	3.585	4.961
ˈe_#>	ˈɛ_#>	0.0	4.961
ˈe_kː	ˈɛ_k	0.0	4.961
ˈe_r_e_#>	ˈeː_#>	0.0	4.961
ˈi	ˈi	0.893	4.961
ˈi	ˈɛ	1.893	4.961
ˈi	ˈẽ	2.379	4.961
ˈi_r	ˈi	0.0	4.961
ˈi_ʎː	j_ˈɔə̯	0.0	4.961
ˈo	ˈou̯	0.837	4.961
ˈo	ˈo	1.474	4.961
ˈo	u_j	3.644	4.961
ˈo_n	ˈõũ̯	0.0	4.961
ˈu	ˈo	0.874	4.961
ˈu	ˈou̯	2.138	4.961
ˈu	ˈu	2.138	4.961
ˈɔ	ˈɔə̯	1.144	4.961
ˈɔ	ˈɔ	1.807	4.961
ˈɔ	ˈo	3.07	4.961
ˈɔ	-	4.392	4.961
ˈɔ	ˈou̯	4.392	4.961
ˈɔ	ˈu	4.392	4.961
ˈɛ	ˈɛə̯	1.082	4.961
ˈɛ	ˈɛ	2.585	4.961
ˈɛ	ˈeː	2.848	4.961
ˈɛ	ˈi	2.848	4.961
ˈɛ	ˈẽ	3.585	4.961
ˈɛ_j	ˈi	0.0	4.961
ˈɛ_rː	ˈɛə̯_r	0.0	4.961
