Phone1	Phone2	Surprisal	OOV_Smoothed
#>	o_#>	0.682	4.734
#>	e_#>	2.682	4.734
#>	a_#>	3.945	4.734
#>	s_#>	3.945	4.734
#>	ɾ_#>	3.945	4.734
<#	<#_a	1.0	4.734
<#	<#_b	1.0	4.734
<#_a	<#_a	0.0	4.734
<#_l	<#_l	0.28	4.734
<#_l	<#	2.503	4.734
<#_n	<#_n	0.0	4.734
<#_t	<#_t	0.0	4.734
<#_w	<#_w	0.0	4.734
<#_ʒ	<#	0.0	4.734
<#_ˈa	<#_ˈa	0.0	4.734
a	a	0.0	4.734
b	b	0.348	4.734
b	β	2.222	4.734
d	d	1.064	4.734
d	ð	1.354	4.734
d	-	2.939	4.734
d_l	ʎ	0.0	4.734
e	e	1.078	4.734
e	ɾ	1.926	4.734
e	ˈe	2.663	4.734
e	j	3.248	4.734
e_n	b_ɾ	0.0	4.734
e_r	ɾ_o	0.0	4.734
f	f	0.263	4.734
f	o	3.585	4.734
f	β_o	3.585	4.734
f_#>	w_#>	0.0	4.734
i	i	0.0	4.734
j	j	1.807	4.734
j	ʎ	1.807	4.734
j	ʝ	1.807	4.734
j	ɾ	2.807	4.734
j_#>	s_#>	0.0	4.734
j_ˈɛ	ˈe	1.0	4.734
j_ˈɛ	ˈe_j	1.0	4.734
k	k	0.184	4.734
k	ɡ	3.059	4.734
k_r	k_ɾ	0.0	4.734
l	l	0.1	4.734
l	ʎ	3.907	4.734
l_#>	ʎ_o_#>	0.0	4.734
m	m	0.193	4.734
m	m_b	3.0	4.734
n	n	0.0	4.734
n_t	ˈe_n	0.0	4.734
o	o	0.0	4.734
p	p	0.0	4.734
p_ˈɛ	p_ˈa	0.0	4.734
r	ɾ	0.369	4.734
r	r	2.147	4.734
r_#>	ɾ_o_#>	0.0	4.734
r_e_#>	j_#>	0.0	4.734
r_n	ɾ_n	0.0	4.734
s	s	0.254	4.734
s	ʃ	3.369	4.734
s	s_ˈa	3.954	4.734
t	t	0.369	4.734
t	ð	2.954	4.734
t	j_t	3.369	4.734
v	b	0.939	4.734
v	β	1.354	4.734
v	ˈe	3.524	4.734
w	w	1.222	4.734
w	ˈo	2.392	4.734
w	-	3.392	4.734
w	l	3.392	4.734
w	β	3.392	4.734
w	θ	3.392	4.734
w_r	ɾ	0.0	4.734
ŋ	ŋ	0.0	4.734
ɡ	ɡ	1.138	4.734
ɡ	ɣ	1.459	4.734
ɡ	b	2.459	4.734
ɲ	ɲ	0.0	4.734
ʃ	e_s	0.363	4.734
ʃ	ˈe	2.17	4.734
ʃ_#>	#>	1.0	4.734
ʃ_#>	θ_#>	1.0	4.734
ʒ	ʧ	0.585	4.734
ʒ	-	1.585	4.734
ʧ	θ	0.0	4.734
ʨ	k	0.387	4.734
ʨ	θ	2.087	4.734
ʨ_ˈɛ	k_ˈa	0.0	4.734
ˈa	ˈa	0.093	4.734
ˈa	w_ˈa	4.0	4.734
ˈe	ˈe	0.276	4.734
ˈe	ɾ	3.524	4.734
ˈe	ˈu	3.524	4.734
ˈe_#>	ˈa_ɾ_#>	0.0	4.734
ˈe_j	ˈe	0.0	4.734
ˈi	ˈi	0.0	4.734
ˈi_n	n	0.0	4.734
ˈo	ˈo	0.613	4.734
ˈo	ˈu	2.379	4.734
ˈo	u	3.7	4.734
ˈo	w	3.7	4.734
ˈu	ˈu	0.0	4.734
ˈɔ	w_ˈe	0.3	4.734
ˈɔ	ˈo	2.415	4.734
ˈɛ	j_ˈe	1.358	4.734
ˈɛ	ˈe	1.657	4.734
ˈɛ	ˈa	2.773	4.734
ˈɛ	-	4.358	4.734
ˈɛ	j	4.358	4.734
ˈɛ	β	4.358	4.734
ˈɛ_k	ˈe_ɣ	0.0	4.734
