Ladin	Sicilian	probability
ˈɛ_r	ˈa_ʈ	1.0
ˈɛ_n	ˈɛ_n	1.0
ˈɛ_f	v_ʊ	1.0
ˈu_m	nː	1.0
ˈu	ˈu	1.0
ˈo_w	ˈu	1.0
ˈo_d	ˈu_ɾ	1.0
ˈe_j	ˈi	1.0
ˈe_#>	ˈa_ɾ_ɪ_#>	1.0
ˈa_w	ˈa_w	1.0
ˈa	ˈa	1.0
ʨ_ˈɛ	k_ˈa	1.0
ʧ	ɕ	1.0
ɲ	ɲː	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
w_ˈɛ	ˈɔ	1.0
w_ʃ	ɕ	1.0
w	ˈɔ	1.0
r_n	ɾ_n	1.0
r_#>	ɾ_ʊ_#>	1.0
p_l	c	1.0
p	p	1.0
n_d	nː	1.0
l_#>	ʊ_#>	1.0
j_ˈɛ	ˈɛ	1.0
i_n	n	1.0
f_l	ç	1.0
e_r	ɾ_ʊ	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#	<#_a	1.0
n	n	0.919
f	f	0.9
ˈi	ˈi	0.895
ˈɔ	ˈɔ	0.882
m	m	0.88
b	b	0.867
ˈo	ˈu	0.857
s	s	0.84
v	v	0.826
k	k	0.808
ˈɛ	ˈɛ	0.697
l	l	0.633
t	t	0.611
ˈe	ˈi	0.607
r	ɾ	0.605
ʦ	ʦː	0.6
s_#>	j_#>	0.6
ʨ	k	0.556
#>	ʊ_#>	0.55
ʒ	ʤ	0.5
i	ɪ	0.5
i	i	0.5
e	ɪ	0.481
d	t	0.435
#>	ɪ_#>	0.405
ʦ	ɕ	0.4
ʃ	ʃ	0.4
s_#>	#>	0.4
o	ʊ	0.375
o	u	0.375
j	ɾ	0.333
j	ɟː	0.333
ʒ	j	0.3
l	ɖː	0.286
ʨ	ɕ	0.278
t	tː	0.278
d	d	0.261
o	a	0.25
d	cː	0.217
ˈɛ	ˈa	0.212
ʒ	z	0.2
ʃ	ʃː	0.2
ʃ	ɕ	0.2
ʃ	s	0.2
e	i	0.185
v	p	0.174
ʨ	kː	0.167
j	ˈi	0.167
j	-	0.167
ˈo	ˈo	0.143
ˈe	ˈa_r	0.143
b	v	0.133
m	mː	0.12
ˈɔ	ˈa_w	0.118
r	ʐ	0.116
r	r	0.116
k	k_w	0.115
e	ɪ_ɾ	0.111
ˈe	ˈa	0.107
ˈi	ˈi_ɟː	0.105
f	p_ʊ	0.1
ˈɛ	ˈi	0.091
d	-	0.087
n	nː	0.081
s	ʃː	0.08
s	sː	0.08
k	ɡ	0.077
e	ɽ_ɪ	0.074
e	ɽ	0.074
e	ɪ_r	0.074
ˈe	ˈu	0.071
ˈe	ɪ	0.071
r	r_ʊ	0.07
t	ʈ	0.056
t	d	0.056
