Latin	Eastern Lombard	probability
#>	e_#>	1.0
<#_ae̯	<#_e	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_h	<#	1.0
<#_j	<#_z	1.0
<#_kʷ	<#_k	1.0
<#_lʲ	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_ɫ	<#_l	1.0
<#_ˈʊ	<#_ˈo	1.0
a	a	1.0
a_#>	#>	1.0
a_p	a	1.0
ae̯	-	1.0
b_ɛ	f_#>	1.0
b_ʊ	b_j	1.0
d_i	j	1.0
d_ʊ̃ː	t_#>	1.0
iː	s_i	1.0
iː_#>	#>	1.0
k_t	ʧ	1.0
k_ɫ	<#_ʧ	1.0
k_ʊ̃ː	k_#>	1.0
kː	k	1.0
lʲ_i	j	1.0
lʲː	l	1.0
n_i	ɲ	1.0
n_ɛ	n_d	1.0
oː	o	1.0
oː_#>	#>	1.0
r_#>	r_#>	1.0
r_k	r_k	1.0
r_ɛ	ˈi_#>	1.0
r_ˈeː	r_ˈɛ	1.0
r_ˈiː	r	1.0
r_ˈɛ	r_ˈe	1.0
s_#>	#>	1.0
s_i	z	1.0
s_k	s_k	1.0
s_t	s_t	1.0
sː	s	1.0
t_r	d	1.0
t_ɛ̃	t_#>	1.0
t_ˈaː	t_ˈa	1.0
tː	t	1.0
u	-	1.0
uː_#>	#>	1.0
w_ʊ̃ː	f_#>	1.0
ŋ_k	n	1.0
ŋ_n	ɲ	1.0
ɛ_#>	#>	1.0
ɛ_n	e_n	1.0
ɛ_r	e_r	1.0
ɛ̃	-	1.0
ɛ̃ː_#>	#>	1.0
ɡ_n	ɲ	1.0
ɡ_ɛ	s_#>	1.0
ɪ_m	i_m	1.0
ɪ_n	n_a	1.0
ʊ̃ː_#>	#>	1.0
ˈa_k	ˈa	1.0
ˈa_n	ˈa	1.0
ˈa_r	ˈa	1.0
ˈa_s	ˈa	1.0
ˈa_sː	ˈa_s	1.0
ˈau̯	ˈo	1.0
ˈaː	ˈa	1.0
ˈaː_n	ˈa	1.0
ˈaː_r	ˈa	1.0
ˈeː_r	ˈe_r	1.0
ˈi	ˈe	1.0
ˈiː_k	ˈi	1.0
ˈiː_lʲ	j_ˈø	1.0
ˈiː_lʲː	ˈe_l	1.0
ˈiː_n	ˈi	1.0
ˈiː_w	ˈi	1.0
ˈoː_r	ˈu_r	1.0
ˈu	ˈu	1.0
ˈɛ_k	ˈe_s	1.0
ˈɛ_lʲː	ˈɛ_l	1.0
ˈɛ_n	ˈe	1.0
ˈɛ_rː	ˈɛ_r	1.0
ˈɛ_ɫ	ˈe_l	1.0
ˈʊ_k	ˈu_s	1.0
k	k	0.051
k	z	0.051
k_ʊ	ʧ	0.571
n	ŋ	0.051
n	n	0.641
ˈuː	-	0.1
ˈɔ	ˈø	0.381
ˈɛ	ˈe	0.261
ˈʊ	ˈu	0.1
ˈʊ	ˈø	0.1
ˈʊ	ˈy	0.1
<#_k	<#	0.2
<#_w	<#_ʋ	0.182
k	s	0.462
ɔ	-	0.222
ɡ	ɡ	0.2
ɫ	-	0.2
ɫ	l	0.52
ˈa	ˈa	0.842
ˈiː	ˈi	0.882
b	-	0.333
d	d	0.353
m	m	0.913
n	ɲ	0.103
s	s	0.583
t	-	0.13
t	t	0.593
ˈoː	ˈu	0.583
<#_ˈa	<#_ˈa	0.714
<#_ˈɔ	<#_ˈɔ	0.4
e	-	0.714
i	-	0.714
kʷ	ɡ_w	0.4
p	p	0.474
r	-	0.294
t_i	s	0.714
ɡ	ʤ	0.4
ɡ	-	0.4
ɪ	e	0.294
ɫ	j	0.24
ʊ	o	0.4
ˈuː	ˈø	0.4
ˈɔ	ˈɔ	0.524
ˈɔ_n	ˈu	0.4
ˈɔ_r	ˈo_r	0.444
ˈɪ	ˈɛ	0.524
<#_a	<#_a	0.5
<#_a	<#	0.5
<#_ɡ	<#_z	0.5
<#_ɡ	<#_ɡ	0.5
aː	-	0.375
aː	a	0.625
ãː_#>	#>	0.095
ãː_#>	a_#>	0.905
eː	-	0.5
eː	i	0.5
n	-	0.205
p	ʋ	0.105
p	f	0.105
s	-	0.25
w	f	0.25
w	-	0.75
ŋ	n	0.455
ŋ	ŋ	0.545
ˈeː	ˈe	0.375
ˈeː	ˈɛ	0.625
ˈoː	ˈø	0.25
ˈuː	ˈy	0.5
ˈɔ	ˈu	0.095
ˈʊ	ˈɔ	0.15
ˈʊ	ˈo	0.55
<#_ˈa	<#_ˈɛ	0.286
<#_ˈɔ	<#_ˈø	0.6
e	e	0.286
i	l	0.286
k	ɡ	0.256
kʷ	k_w	0.6
p	-	0.316
t	s_a	0.056
t	t_e	0.056
t_i	z	0.286
ɛ	e	0.36
ɛ	-	0.56
ʊ	-	0.6
ˈɔ_n	ˈu_n	0.6
ˈɔ_r	ˈɔ_r	0.556
b	b	0.667
m	-	0.087
s	z	0.167
t	d	0.167
ˈoː	ˈɔ	0.167
<#_k	<#_k	0.8
<#_w	<#	0.818
d	t	0.118
r	e_r	0.088
r	r	0.618
ɔ	o	0.778
ɛ	i	0.08
ɪ	o	0.118
ɪ	-	0.588
ˈiː	ˈe	0.118
ˈɪ	ˈe	0.238
ˈɪ	ˈi	0.238
d	-	0.529
k	-	0.179
k_ʊ	ʤ	0.429
ˈa	ˈo	0.079
ˈa	-	0.079
ˈɛ	ˈɛ	0.739
