Phone1	Phone2	Surprisal	OOV_Smoothed
<#	<#_e	0.8744691179161412	4.9392695385958945
<#	<#_k	2.137503523749935	4.9392695385958945
<#	<#_a	2.8744691179161412	4.9392695385958945
<#	<#_s	3.4594316186372978	4.9392695385958945
<#_a	<#_a	-0.0	4.9392695385958945
<#_ae̯	<#_e	-0.0	4.9392695385958945
<#_b	<#_b	-0.0	4.9392695385958945
<#_d	<#_d	-0.0	4.9392695385958945
<#_f	<#_f	-0.0	4.9392695385958945
<#_j	<#_ʤ	-0.0	4.9392695385958945
<#_k	<#_k	0.2895066171949848	4.9392695385958945
<#_k	<#_s	2.4594316186372973	4.9392695385958945
<#_l	<#_l	-0.0	4.9392695385958945
<#_m	<#_m	-0.0	4.9392695385958945
<#_n	<#_n	-0.0	4.9392695385958945
<#_p	<#_p	-0.0	4.9392695385958945
<#_r	<#_ʀ	-0.0	4.9392695385958945
<#_s	<#_s	-0.0	4.9392695385958945
<#_t	<#_t	-0.0	4.9392695385958945
<#_w	<#_b	-0.0	4.9392695385958945
<#_ɔ	<#_u	-0.0	4.9392695385958945
<#_ɡ	<#_ɡ	0.6280312226130421	4.9392695385958945
<#_ɡ	<#_ʤ	1.5025003405291832	4.9392695385958945
<#_ɫ	<#_l	-0.0	4.9392695385958945
<#_ˈa	<#_ˈa	-0.0	4.9392695385958945
<#_ˈɔ	<#_ɥ	0.7369655941662062	4.9392695385958945
<#_ˈɔ	<#_ˈɔ	1.3219280948873622	4.9392695385958945
<#_ˈɪ	<#_ˈe	-0.0	4.9392695385958945
a	a	0.2895066171949848	4.9392695385958945
a	-	2.4594316186372973	4.9392695385958945
a_#>	ɔ	-0.0	4.9392695385958945
ae̯	s	-0.0	4.9392695385958945
aː	a	1.0	4.9392695385958945
aː	-	1.5849625007211563	4.9392695385958945
aː	ɔ	2.584962500721156	4.9392695385958945
ãː	-	0.7369655941662062	4.9392695385958945
ãː	k	1.3219280948873622	4.9392695385958945
ãː_#>	ɔ_#>	-0.0	4.9392695385958945
b	β	-0.0	4.9392695385958945
b_ɛ_r	w_ɾ	-0.0	4.9392695385958945
d	-	0.23446525363702297	4.9392695385958945
d	t	2.736965594166206	4.9392695385958945
d_ɛ	j	-0.0	4.9392695385958945
e	e	-0.0	4.9392695385958945
eː	e	0.7369655941662062	4.9392695385958945
eː	-	1.3219280948873622	4.9392695385958945
h	<#	-0.0	4.9392695385958945
i	-	1.9385994553358568	4.9392695385958945
i	j	2.523561956057013	4.9392695385958945
i	s	2.523561956057013	4.9392695385958945
i	ʤ	2.938599455335857	4.9392695385958945
i	y	3.523561956057013	4.9392695385958945
i	ɲ	3.523561956057013	4.9392695385958945
i	ʧ	3.523561956057013	4.9392695385958945
iː	i	0.8073549220576043	4.9392695385958945
iː	-	1.222392421336448	4.9392695385958945
k	ɣ	1.5849625007211563	4.9392695385958945
k	-	1.7369655941662063	4.9392695385958945
k	k	3.321928094887362	4.9392695385958945
k	z	3.321928094887362	4.9392695385958945
k	ˈɛ	3.321928094887362	4.9392695385958945
k	s	3.9068905956085187	4.9392695385958945
k_t	ʧ	-0.0	4.9392695385958945
k_ɛ̃ː	ʦ_#>	0.5145731728297583	4.9392695385958945
k_ɛ̃ː	s	1.7369655941662063	4.9392695385958945
k_ʊ_ɫ	ʎ	-0.0	4.9392695385958945
k_ʊ̃ː_#>	k_#>	-0.0	4.9392695385958945
kʷ	-	0.4150374992788438	4.9392695385958945
kʷ	ɣ	2.0	4.9392695385958945
kː_ãː	k_ɔ	-0.0	4.9392695385958945
l	l	-0.0	4.9392695385958945
lʲ	l	-0.0	4.9392695385958945
lʲ_i	ʎ	-0.0	4.9392695385958945
lʲː	l	-0.0	4.9392695385958945
m	m	0.2016338611696506	4.9392695385958945
m	-	2.938599455335857	4.9392695385958945
m_b	m_b	-0.0	4.9392695385958945
n	n	0.561878887608115	4.9392695385958945
n	-	1.632268215499513	4.9392695385958945
n_e	ɲ	-0.0	4.9392695385958945
n_i	ɲ	-0.0	4.9392695385958945
n_t_ɛ̃ː	n_#>	-0.0	4.9392695385958945
n_t_ʊ̃ː_#>	n_#>	-0.0	4.9392695385958945
n_ɛ	n_d	-0.0	4.9392695385958945
n_ʊ̃ː_#>	#>	-0.0	4.9392695385958945
o	u	-0.0	4.9392695385958945
oː	u	0.84799690655495	4.9392695385958945
oː	-	1.1699250014423124	4.9392695385958945
oː_#>	#>	0.8073549220576043	4.9392695385958945
oː_#>	i_#>	1.222392421336448	4.9392695385958945
p	p	1.137503523749935	4.9392695385958945
p	-	1.8744691179161412	4.9392695385958945
p	β	1.8744691179161412	4.9392695385958945
p_ʊ_s	s	-0.0	4.9392695385958945
r	ɾ	1.0458036896131246	4.9392695385958945
r	ʀ	1.2451124978365316	4.9392695385958945
r	-	3.415037499278844	4.9392695385958945
r_#>	e	-0.0	4.9392695385958945
r_k	ʀ_k	-0.0	4.9392695385958945
r_ɛ	ˈe_#>	-0.0	4.9392695385958945
r_ɛ_#>	e_#>	-0.0	4.9392695385958945
r_ˈa	ɾ_ˈa	-0.0	4.9392695385958945
r_ˈaː	ɾ_ˈa	-0.0	4.9392695385958945
s	s	0.6214883767462701	4.9392695385958945
s	-	2.321928094887362	4.9392695385958945
s	z	2.736965594166206	4.9392695385958945
s_#>	s_#>	-0.0	4.9392695385958945
s_k	s_k	0.8073549220576043	4.9392695385958945
s_k	j_s	1.222392421336448	4.9392695385958945
s_t	s_t	-0.0	4.9392695385958945
sː	s	-0.0	4.9392695385958945
t	t	1.4150374992788437	4.9392695385958945
t	ð	1.5145731728297585	4.9392695385958945
t	-	1.8624964762500649	4.9392695385958945
t_i	ʦ	-0.0	4.9392695385958945
t_r	j_ɾ	-0.0	4.9392695385958945
