Latin	Portuguese	probability
ˈʊ_p	ˈo_β	1.0
ˈɪ_k	ˈɐ	1.0
ˈɛ_n	ˈẽ	1.0
ˈɛ_k	ˈɐ_j	1.0
ˈɔ_r	ˈo_ɾ	1.0
ˈuː_n	ˈũ	1.0
ˈuː	ˈu	1.0
ˈu	-	1.0
ˈoː_d	ˈɔ	1.0
ˈiː_r	ˈe	1.0
ˈiː	ˈi	1.0
ˈi	ˈi	1.0
ˈa_ŋ	ˈɐ̃	1.0
ʊ̃ː_#>	#>	1.0
ʊ̃ː	u	1.0
ʊ_ɫ	w	1.0
ɫ_ʊ̃ː	u	1.0
ɫ_ɛ̃ː_#>	ɫ_#>	1.0
ɫ_s	ɫ_s	1.0
ɫ_ãː	ɐ	1.0
ɪ_t	ð	1.0
ɪ_k	ɨ_ɣ	1.0
ɡʷ	-	1.0
ɡ_ɛ	ʒ	1.0
ɛ_k	ɨ	1.0
ɛ_#>	#>	1.0
ɔ_r	u_ɾ	1.0
ŋ	-	1.0
w_ʊ̃ː	u	1.0
uː	u	1.0
u	-	1.0
tː	t	1.0
t_i	s	1.0
sː_ʊ̃ː	ʃ_u	1.0
sː	s	1.0
s_t	ʃ_t	1.0
s_#>	ʃ_#>	1.0
rː	ʁ	1.0
r_ˈaː	ɾ_ˈɐ	1.0
r_ʊ̃ː	ɾ_u	1.0
r_t	ɾ_t	1.0
r_n	ɾ_n	1.0
r_k	ɾ_k	1.0
r_i	j_ɾ	1.0
r_ãː	ɾ_ɐ	1.0
p_ɛ	β	1.0
o	-	1.0
nː	-	1.0
n_ʊ̃ː	w̃	1.0
n_ɛ̃ː	w̃	1.0
n_t	t	1.0
n_i	ɲ	1.0
n_e	ɲ	1.0
n_ãː_#>	#>	1.0
lʲː	l	1.0
lʲ_i	ʎ	1.0
kː	k	1.0
kʷ	ɣ_w	1.0
k_ˈa	k_ˈɐ̃	1.0
k_ʊ	ʎ	1.0
k_ɫ	ʃ	1.0
k_ɛ̃ː	ʃ	1.0
k_r	k_ɾ	1.0
j	ʒ	1.0
iː	i	1.0
fː	-	1.0
f_ɫ	ʃ	1.0
f	f	1.0
e	-	1.0
ãː	ɐ	1.0
au̯	-	1.0
ae̯	i	1.0
a_t	ɐ	1.0
a_r	ɐ_ɾ	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɫ	<#_l	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɔ	<#_ɔ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʁ	1.0
<#_p_ɫ	<#_ʃ	1.0
<#_n	<#_n	1.0
<#_lʲ	<#_l	1.0
<#_k	<#_k	1.0
<#_h	<#	1.0
<#_a	<#_ɐ	1.0
w	v	0.938
ɛ̃ː	ɨ	0.903
r	ɾ	0.889
m	m	0.889
aː	ɐ	0.833
<#	<#_i	0.8
oː	u	0.786
p	p	0.771
a	ɐ	0.765
ˈa	ˈa	0.73
ˈɛ	ˈɛ	0.71
ɪ	-	0.706
ɛ̃ː_#>	#>	0.7
ˈeː	ˈe	0.692
ˈaː	ˈa	0.692
d	d	0.606
ˈɔ_n	ˈõ	0.6
ˈau̯	ˈo_w	0.6
ɛ̃	ɨ	0.6
i	-	0.6
d_i	j	0.6
b	b	0.6
ˈɪ	ˈe	0.556
k_t	t	0.556
ˈɔ	ˈo	0.519
ˈoː_n	ˈõ	0.5
ˈoː_n	ˈo	0.5
ɡ	-	0.5
ɛ_r	ˈe	0.5
ɔ	-	0.5
eː	ɨ	0.5
eː	-	0.5
ˈɔ	ˈɔ	0.481
ˈoː	ˈo	0.467
t	ð	0.452
s	ʃ	0.444
k_t	j_t	0.444
k	ɣ	0.438
ʊ	j	0.429
t	t	0.429
ˈɔ_n	ˈo	0.4
ˈau̯	ˈo	0.4
ɛ̃	-	0.4
d_i	ʒ	0.4
b	v	0.4
ˈʊ	ˈu	0.381
ˈʊ	ˈo	0.381
ɡ	ʒ	0.375
ɛ	ɾ	0.375
ɛ	-	0.375
ɫ	-	0.36
ˈoː	ˈɔ	0.333
n	ɲ	0.333
k	s	0.312
ˈeː	ˈɐ	0.308
ɛ̃ː_#>	j_#>	0.3
ɛ_r	ɾ	0.3
ʊ	u	0.286
ʊ	-	0.286
s	s	0.278
d	-	0.273
ɛ	ɨ	0.25
ɔ	ɾ	0.25
ɔ	u	0.25
n	-	0.25
ɫ	ʎ	0.24
ˈʊ	-	0.238
ˈaː	ˈɐ̃	0.231
ˈɪ	-	0.222
oː	-	0.214
n	n	0.208
n	j	0.208
ˈoː	ˈɐ̃	0.2
ɛ_r	ɾ_ɨ	0.2
i	ɲ	0.2
i	j	0.2
<#	<#_ɔ	0.2
ɪ	ɨ	0.176
s	z	0.167
aː	-	0.167
ˈa	ˈɐ	0.162
ˈɛ	-	0.161
ɫ	ɫ	0.16
ɫ	l	0.16
k	k	0.156
p	β	0.146
ˈɛ	ˈɐ	0.129
ɡ	j	0.125
d	ð	0.121
t	-	0.119
ɪ	i	0.118
a	ɐ̃	0.118
a	-	0.118
ˈɪ	ˈɐ	0.111
ˈɪ	ˈĩ	0.111
s	j	0.111
m	-	0.111
ˈa	-	0.108
ɛ̃ː	j̃	0.097
k	-	0.094
p	-	0.083
ɫ	w	0.08
ˈaː	ˈɐ	0.077
w	-	0.062
