Lengadocian	Friulian	probability
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_t	<#_t	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʀ	<#_r	1.0
<#_ˈa	<#_ˈa	1.0
a_n	a_n	1.0
a_β	a_v	1.0
b	z_v	1.0
d	-	1.0
e_n	e_n	1.0
e_ʀ	e_r	1.0
k_#>	k_#>	1.0
k_ɔ	c_e	1.0
l_ˈa	l_ˈa	1.0
m	m	1.0
m_#>	m_#>	1.0
m_b	m	1.0
p_#>	f_#>	1.0
s_#>	s_#>	1.0
s_p	p	1.0
s_t	s_t	1.0
t	t	1.0
t_#>	t_#>	1.0
t_ˈa	t_ˈaː	1.0
t_ˈu	<#_d_ˈu	1.0
w_#>	f_#>	1.0
w_t	l_t	1.0
w_ɾ	v	1.0
y	u	1.0
ð	d	1.0
ŋ	ŋ	1.0
ɔ	-	1.0
ɔ_#>	e_#>	1.0
ɡ	ɡ	1.0
ɥ_ˈɔ	ˈuː	1.0
ɥ_ˈɛ	v_ˈɔ	1.0
ɲ	ɲ	1.0
ɲ_#>	ɲ_#>	1.0
ɾ_e	r_i	1.0
ɾ_ˈa	r_ˈa	1.0
ʀ	r	1.0
ʀ_#>	r_#>	1.0
ʧ_#>	t_#>	1.0
ˈa_j	ˈa	1.0
ˈa_l	ˈa_l	1.0
ˈa_n	ˈa_n	1.0
ˈa_ɲ	ˈa_ɲ	1.0
ˈa_β	ˈa_v	1.0
ˈe_#>	ˈeː_#>	1.0
ˈe_j	ˈe	1.0
ˈe_n	ˈe_n	1.0
ˈi_l	ˈi_l	1.0
ˈi_n	ˈi_n	1.0
ˈu_l	ˈɔ_l_i	1.0
ˈy_#>	ˈuː_r_#>	1.0
ˈɛ_n	ˈi_n	1.0
β_ɔ	b_e	1.0
<#_s	<#_ʧ	0.281
e	u	0.1
j	ˈo	0.111
s	s	0.471
ˈɛ	j_ˈɛ	0.381
<#_ʤ	<#_j	0.222
n_#>	ŋ	0.222
u	u	0.2
w	ˈɔ	0.222
z	-	0.222
z	s	0.222
z	z	0.222
ˈi_#>	i_#>	0.222
ˈy	ˈo	0.2
<#_k	<#_k	0.543
<#_l	<#	0.13
e	-	0.3
e_#>	i_#>	0.773
w	-	0.333
z	d	0.333
ɥ	w	0.333
ɾ	-	0.093
ʎ	-	0.333
ʎ	ˈɛ_l	0.333
ʎ	j	0.333
ˈa	w_ˈa	0.093
ˈa_#>	ˈa_ŋ_#>	0.273
ˈe	-	0.143
ˈi_#>	ˈi_ŋ_#>	0.333
<#_b	<#_b	0.4
a	e	0.154
k	ɡ	0.4
w	w	0.444
ɾ	r	0.674
ʦ_#>	s_#>	0.714
ˈi_#>	ˈiː_#>	0.444
ˈu_n	w_ˈi_n	0.4
ˈɔ	w_ˈa	0.294
ˈɔ	w_ˈɛ	0.294
β	v	0.444
#>	ʧ_#>	0.385
#>	ŋ_#>	0.615
<#_a	<#_a	0.375
<#_a	<#	0.625
<#_e	<#_s	0.455
<#_e	<#	0.545
e	e	0.25
e	i	0.35
i	-	0.25
i	i	0.75
j	-	0.5
l	-	0.15
l	l	0.85
l_#>	l_i_#>	0.125
l_#>	l_#>	0.875
n	ɲ	0.385
n	n	0.615
ɣ	-	0.25
ɣ	ɡ	0.75
ɾ_ˈe	r	0.5
ɾ_ˈe	r_ˈeː	0.5
ʤ	-	0.5
ʤ	j	0.5
ˈa	ˈa	0.465
ˈe	ˈeː	0.095
ˈe	ˈɛ	0.095
ˈi	ˈiː	0.15
ˈi	ˈi	0.85
ˈu	ˈu	0.095
ˈu_#>	ˈo_ŋ_#>	0.5
ˈu_#>	ˈoː_r_#>	0.5
ˈy	ˈuː	0.15
ˈy	ˈu	0.65
ˈɔ	ˈuː	0.235
ˈɛ	ˈi	0.095
<#_b	<#_v	0.6
a	a	0.846
k	k	0.6
s	ʧ	0.176
ʦ_#>	ʧ_#>	0.286
ˈu_n	ˈo_n	0.6
ˈɔ	ˈɔ	0.176
β	-	0.556
<#_k	<#_c	0.457
<#_l	<#_l	0.87
e_#>	r_#>	0.227
ɥ	-	0.667
ɾ	a_r	0.07
ɾ	d	0.07
ˈa_#>	ˈaː_#>	0.727
ˈe	ˈe	0.667
ˈu	ˈo	0.667
ˈɛ	ˈɛ	0.357
<#_ʤ	<#_ʤ	0.778
n_#>	n_t_#>	0.778
s	-	0.118
s	j	0.118
s	p	0.118
u	o	0.8
ˈu	ˈoː	0.238
<#_s	<#_s	0.719
j	j	0.389
ˈa	ˈaː	0.349
ˈɛ	ˈiː	0.119
