Phone1	Phone2	PMI
ɾ_ˈa	ɾ_ˈa	10.237
e_n	e_n	10.237
<#_u	<#_o	10.02
<#_a	<#_a	9.816
ˈɔ_k	ˈe_ɣ	9.735
<#_t	<#_t	9.709
<#_ʤ	<#_x	9.452
<#_ˈa	<#_ˈa	9.409
ɾ_ɔ	ɾ_a	9.224
s_#>	s_#>	9.085
ʦ_#>	θ_#>	8.952
<#_ɥ	<#_ˈo	8.925
<#_ʀ	<#_r	8.917
ʤ	<#_x	8.604
<#_e	<#_e	8.592
<#_n	<#_n	8.476
ʦ	θ_#>	8.461
<#_l	<#_l	8.224
ŋ	ŋ	8.128
<#_s	<#_θ	8.118
u	<#_o	7.652
a	<#_a	7.625
ʧ	ʧ	7.609
ɲ_#>	ɲ	7.518
ɲ	ɲ	7.518
t	<#_t	7.471
a_s	a_s	7.468
ɲ_#>	ɲ_o_#>	7.443
ɡ	ɡ	7.416
i	i	7.411
β_ɔ	β_a	7.337
ʀ	<#_r	7.323
s_e	s_e	7.277
k_ɾ	k_ɾ	7.277
u_n	o_n	7.26
ˈu_l	ˈo_l	7.259
k_#>	k_o_#>	7.11
l_e	l_e	7.083
b_ˈa	b_ˈa	7.083
a_ð	a_ð	7.083
a_β	a_β	7.078
ɥ	<#_ˈo	7.071
<#_ʀ	r	7.068
t_ɔ	t_a	6.946
u_l	o_l	6.927
ʀ_k	ɾ_k	6.866
f	f	6.856
w_#>	β_e_#>	6.826
u_ɾ	o_ɾ	6.818
n	<#_n	6.805
l_ˈe	l_ˈe	6.805
s_ˈe	s_ˈe	6.802
p_ˈe	p_ˈe	6.802
ɣ	ɣ	6.795
ˈi_w	ˈi_o	6.716
β_ˈe	β_ˈe	6.698
ɾ_ˈe	ɾ_ˈe	6.694
d	d	6.52
s_a	s_a	6.503
e_ʀ	e_ɾ	6.42
ˈe_j	ˈe_j	6.364
ð	ð	6.341
t_#>	ð_#>	6.29
ɾ_j	ɾ_ˈe	6.268
e	<#_e	6.249
z_ɔ	s_a	6.226
s	<#_θ	6.21
l	<#_l	6.16
l_#>	l_o_#>	6.154
u	u	6.15
ˈy	ˈu	6.144
s	s_#>	6.131
ɲ	ɲ_o_#>	6.053
β	β	5.892
l_#>	l_#>	5.837
ʀ	r	5.827
ʧ	ʧ_o	5.752
<#_t	t	5.709
p	p	5.677
b	b	5.669
m	m	5.647
ˈi	ˈi	5.604
l_ɔ	ʝ_a	5.553
ˈa_#>	ˈa_ɾ_#>	5.444
ˈa	<#_ˈa	5.411
t	t	5.362
k_#>	k	5.353
ˈu_#>	ˈo	5.332
<#_ʤ	x	5.263
ʦ_#>	θ	5.261
ʦ	θ	5.261
<#_l	l	5.257
k	k	5.139
s_#>	s	5.053
ˈɔ	w	5.034
j_ɾ	ð_ɾ	5.01
ˈu	ˈo	4.958
l_#>	l	4.881
z	θ	4.844
<#_ɥ	ˈo	4.797
e_#>	ɾ_#>	4.796
<#_s	θ	4.775
<#_e	e	4.752
<#_s	<#_s	4.738
<#_n	n	4.728
ˈy	ˈu_ɾ	4.721
ˈa_#>	ˈa	4.704
<#_ˈa	ˈa	4.704
n	n	4.614
s	s	4.589
l	l	4.585
ˈa	ˈa	4.549
ʎ	x	4.542
w	β_e_#>	4.541
j	j	4.514
t	ð_#>	4.442
ʤ	x	4.415
ˈu_#>	ˈo_n_#>	4.394
ˈɛ	j	4.368
w	<#_ˈo	4.323
ˈe	ˈe	4.304
ˈu_#>	ˈo_ɾ_#>	4.255
ˈi_#>	ˈi_ɾ_#>	4.239
a	a	4.177
<#_a	a	4.177
ɥ	w	4.172
e	e	4.154
w_#>	e	4.148
l	l_#>	4.127
ɾ	ɾ	4.028
<#_u	o	4.028
n_#>	t	3.999
ɔ	a	3.955
ɥ	ˈo	3.855
w	ˈo	3.842
ˈɛ	ˈe	3.816
j	ð_ɾ	3.74
β_l	β_l	3.738
ˈe_k	ˈe_k	3.738
<#_ˈe	<#_ˈe	3.738
ɣ_ɾ	ɣ_ɾ	3.735
j_#>	j_#>	3.735
u	o	3.717
ˈi_#>	ˈi	3.706
s	<#_s	3.692
ˈɔ	ˈe_ɣ	3.688
ɾ	ð_ɾ	3.643
k	k_o_#>	3.584
s	θ	3.573
ð_ˈe	ð_ˈe	3.54
<#_ˈy	<#_ˈu	3.518
ˈɔ	ˈe	3.508
l	l_o_#>	3.498
<#_ˈa_w	<#_ˈo	3.463
ˈɛ	j_ˈe	3.455
ˈi_ɔ	ˈi_a	3.446
s_t	s_t	3.4
s_k	s_k	3.4
ʀ_a	r_a	3.375
a_ʤ	a_ʝ	3.348
t	ð	3.345
ˈa	ˈa_ɾ_#>	3.327
t_#>	ð	3.3
ɡ	<#_ɡ	3.297
<#_ɡ	<#_ɡ	3.297
p	ɟ͡ʝ	3.291
a_z	a_θ	3.291
b_ˈu	b_w	3.282
k_ɥ	k_ˈu	3.253
ʀ_t	ɾ_t	3.249
ʤ_ˈɛ	ɟ͡ʝ_ˈe	3.245
<#_ˈɔ	<#_w	3.244
b_j	b_j	3.21
ˈe_l	ˈe_l	3.205
s_ˈa	s_ˈa	3.205
ɾ	ɾ_ˈa	3.202
ˈa_#>	ˈa_n_#>	3.179
ˈa	<#_ˈo	3.143
n_#>	n	3.122
ˈu	w	3.097
ʦ	ˈe_θ	2.964
β	β_a	2.917
j	ˈe	2.847
ð	a_ð	2.836
ˈɔ	w_ˈe	2.835
ɾ	ɾ_a	2.835
<#_m	<#_m	2.835
ˈu	ˈo_n_#>	2.822
j	j_#>	2.799
ʀ	ɾ	2.783
t	ð_o	2.78
<#	<#	2.757
#>	#>	2.757
ˈu	ˈo_ɾ_#>	2.703
<#_s	s	2.701
ˈe	<#_ˈe	2.655
a	a_s	2.625
β	a_β	2.597
ˈɔ_k	ɣ	2.586
ˈy	<#_ˈu	2.583
<#_ɡ	ɡ	2.546
e	ɾ_#>	2.542
u	o_n	2.522
ˈi	ˈi_ɾ_#>	2.516
z	s	2.501
m	<#_m	2.48
p_l	ɟ͡ʝ	2.443
z	s_a	2.431
n	e_n	2.431
ˈe_l	ˈe_ʝ	2.406
<#_e	<#_o	2.386
ˈa_#>	ɾ	2.378
ʀ_#>	ɾ	2.347
a	a_ð	2.318
ɥ	ˈu	2.284
ˈɔ	<#_w	2.244
e	i	2.24
a	a_β	2.235
u	o_ɾ	2.23
l	ɟ͡ʝ	2.222
ˈa	ɾ_ˈa	2.199
u	o_l	2.189
t	t_a	2.188
e	e_n	2.181
k	ɣ	2.163
k	ɡ	2.131
β	β_ˈe	2.1
j	ˈe_j	2.094
ˈu	ˈo_l	2.09
l	ʝ	2.088
<#	<#_x	2.045
<#	<#_t	2.045
<#_ˈy	ˈu	2.035
j_#>	j	2.034
w	ˈi_o	2.016
b	b_ˈa	1.98
k	ˈe_ɣ	1.974
ˈe	l_ˈe	1.964
<#	<#_θ	1.925
ʀ_#>	ɾ_n_o_#>	1.924
<#_m	m	1.922
ˈi	ˈi_o	1.892
ɾ	ɾ_ˈe	1.866
w	e	1.863
ˈa	ˈa_n_#>	1.861
<#	<#_r	1.85
<#	<#_n	1.85
i_#>	o_#>	1.849
ˈi	ˈi_n	1.842
ɾ	k_ɾ	1.831
ʀ_#>	n	1.824
ʀ_#>	o	1.786
ʀ	ɾ_k	1.782
j	ɾ_ˈe	1.758
j	θ_ˈe	1.753
ˈe	s_ˈe	1.741
ˈe	p_ˈe	1.741
