Ligurian	Friulian	probability
ˈɛː_#>	i_#>	1.0
ˈɛ	j_ˈɛ	1.0
ˈɔː_u	ˈa_w	1.0
ˈø	ˈɔ	1.0
ˈy	ˈu	1.0
ˈi_ʤ	ˈi	1.0
ˈe_j	ˈeː	1.0
ˈaː_t	l_t	1.0
ˈaː_r	ˈa_l	1.0
ˈaː_#>	ˈaː_#>	1.0
ˈa_t	ˈa_t	1.0
ˈa_m	ˈa_m	1.0
ʒ_e	s	1.0
ʃ_e	s_i	1.0
ɡ_w	ɡ	1.0
ɡ_u	k	1.0
ŋ_#>	ŋ_#>	1.0
w_ˈiː_#>	ˈoː_#>	1.0
w_e_#>	#>	1.0
v_u	f	1.0
v_e_#>	f_#>	1.0
t_a	t_e	1.0
r_u	r_i	1.0
r_t	r_t	1.0
r	r	1.0
p	p	1.0
n_u_#>	#>	1.0
m	m	1.0
l_u	ˈɛ_l	1.0
l_a	l_e	1.0
k_r	k_r	1.0
i_#>	i_s_#>	1.0
i	i	1.0
f	f	1.0
e_r	e_r	1.0
e_n	e_n	1.0
e_#>	#>	1.0
d_u	t	1.0
d_e	t	1.0
d	d	1.0
b	b	1.0
a_ŋ	a_n	1.0
a_v	a_v	1.0
<#_ˈɛː	<#_ˈa	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_l	<#_l	1.0
ˈa	ˈa	0.929
v	v	0.903
u_#>	#>	0.889
t	t	0.882
ˈi	ˈi	0.875
a	e	0.803
ˈøː	ˈuː	0.778
ɲ	ɲ	0.778
ˈu	ˈo	0.762
n	n	0.76
ʒ	z	0.75
s	s	0.737
e	i	0.737
ˈɔː	w_ˈa	0.714
ˈyː	ˈuː	0.714
ŋ	n	0.711
l	l	0.7
ʤ_u	l_i	0.667
ɡ	ɡ	0.647
z	ʤ	0.6
ˈuː	ˈoː	0.583
k	c	0.524
ˈiː	ˈiː	0.5
ˈiː	ˈi	0.5
ˈe	ˈe	0.5
ʧ	p_l	0.5
ʧ	k_l	0.5
ʤ	l	0.5
ʤ	j	0.5
ʃ	s	0.5
ʃ	f_l	0.5
#>	r_#>	0.5
k	k	0.476
ˈɛː	j_ˈɛ	0.444
ˈɔ	w_ˈɛ	0.429
ˈaː	ˈaː	0.421
ˈaː	ˈa	0.421
ˈuː	ˈo	0.417
w	w	0.364
ˈɛː	ˈaː_t	0.333
ʤ_u	j	0.333
u	u	0.333
u	o	0.333
ˈeː	ˈɛ	0.316
l	j	0.3
ˈɔː	ˈɔ	0.286
ˈɔ	ˈo	0.286
ˈɔ	w	0.286
ˈyː	ˈu	0.286
#>	l_#>	0.286
w	o	0.273
j	-	0.273
ˈeː	j_ˈɛ	0.263
s	ʧ	0.263
e	e	0.263
ʒ	ʧ	0.25
ˈɛː	ˈa	0.222
ˈøː	ˈɔ	0.222
ɲ	ŋ	0.222
ˈe	ˈɛ	0.219
#>	s_#>	0.214
z	ʧ	0.2
z	s	0.2
u	i	0.2
ŋ	ŋ	0.184
w	ˈa_r	0.182
w	r	0.182
n	ɲ	0.16
ˈeː	ˈiː	0.158
ˈeː	j	0.158
ˈaː	ˈa_l	0.158
ˈe	j	0.156
ˈu	w_ˈi	0.143
j	r	0.136
j	l	0.136
j	a_r	0.136
j	a	0.136
u	ŋ	0.133
ˈi	l	0.125
ˈe	ˈi	0.125
ɡ	j	0.118
ɡ	d	0.118
ɡ	-	0.118
t	d	0.118
u_#>	r_#>	0.111
ˈeː	ˈiː_l	0.105
a	a	0.099
v	-	0.097
ˈu	ˈɔ	0.095
j	o_ˈa	0.091
j	j	0.091
n	-	0.08
ˈa	ˈaː	0.071
a	-	0.07
ŋ	ˈi_n	0.053
ŋ	m	0.053
