Phone1	Phone2	Surprisal
a	a	0.126
a	ɛ	4.121
a	t_a	5.239
b	b	0.0
d	d	0.942
d	-	1.951
d	ð	2.179
e	ɛ	0.535
e	i	2.783
e	-	3.516
e	k_ɛ	4.699
e	u	4.699
f	f	0.0
i	i	0.598
i	ɔ̆	2.197
i	-	3.045
j	ɾ	1.867
j	-	1.995
j	ɛ	2.251
j	ɛ_ɾ	2.259
j	e	4.16
j_ˈaː	ˈɔ_j	0.0
k	k	0.0
l	ɖː	0.719
l	l	1.35
l_ˈeː	ˈi_s	0.0
m	m	0.0
n	n	0.958
n	nː	1.043
o	u	0.0
p	p	0.081
p	b	4.188
r	ɾ	0.142
r	r	3.419
r_n	r	0.0
r_t	ɾ_t	0.0
s	s	0.656
s	k	2.53
s	i_s	3.116
s	t	3.697
s_a	ʦ_a	0.0
s_ˈi	k_ˈi	0.0
sː	β_j	0.0
t	t	0.0
t_r	z	0.0
t_ˈe	t_ˈe	0.0
u	u	0.159
u	ɔ	3.698
u	o	5.467
u	β_u	7.672
v	b	1.486
v	β	1.744
v	p	2.143
v	-	3.081
w	-	0.711
w	ˈɔ	2.097
w	b	2.684
y	u_z	0.0
z	ɡ	0.794
z	-	1.24
z_u	z_u	0.0
ŋ	n	0.531
ŋ	ˈi_n	3.858
ŋ	m	3.945
ŋ	nː	4.009
ŋ	ˈɛ_n	4.23
ŋ	-	4.945
ŋ	ŋ	5.257
ŋ_k	m	0.0
ɔː	-	0.0
ɡ	k	0.488
ɡ	-	2.343
ɡ	ɣ	3.478
ɥ	a_ð	0.0
ɲ	n_ʣ	1.13
ɲ	-	1.585
ɲ	ɲ	2.253
ʃ	s	0.38
ʃ	f_ɾ	2.111
ʒ	-	0.0
ʒ_e	k_ɛ	0.0
ʤ	ʣ	1.147
ʤ	k_ɾ	1.854
ʤ	-	2.386
ʤ	ɡ	3.637
ʧ	p_ɾ	0.737
ʧ	k_ɾ	1.322
ˈa	ˈa	0.0
ˈaː	ˈa	0.992
ˈaː	ˈa_ɾ	1.008
ˈe	ˈɛ	1.476
ˈe	ˈi	1.599
ˈe	ˈe	2.109
ˈe	ɾ	3.67
ˈeː	ˈe	1.489
ˈeː	ˈɛ	1.51
ˈeː	ˈi	2.565
ˈeː	ˈe_l	3.018
ˈi	ˈi	0.0
ˈiː	ˈi	1.189
ˈiː	ˈi_ɾ	1.734
ˈiː	ɾ	1.939
ˈu	ˈɔ	1.102
ˈu	ˈu	1.495
ˈu	ˈo	2.479
ˈu_s	ˈu_t	0.0
ˈuː	ˈu	0.493
ˈuː	ˈɔ	1.79
ˈy	ˈu	0.176
ˈy	-	3.123
ˈyː	ˈu	0.365
ˈyː	ˈu_ɾ	2.162
ˈø	ˈɔ	0.647
ˈø	-	1.468
ˈøː	ˈo	0.889
ˈøː	ˈɔ	1.121
ˈɔ	ˈo	0.691
ˈɔ	ˈɔ	1.393
ˈɔː	ˈo	1.112
ˈɔː	ˈɔ	1.368
ˈɔː	-	2.737
ˈɛ	ˈɛ	0.947
ˈɛ	a_ɾ	1.055
ˈɛː	ˈa	1.377
ˈɛː	ˈe	2.005
ˈɛː	ˈɛ	2.054
ˈɛː	-	2.999
