Ligurian	Romanian	probability
<#	<#_a	1.0
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_f	<#_f	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʃ	f_l	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈø	<#_ˈo	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈɛː	<#_ˈa	1.0
a_ɡ_ˈu	ˈa_k	1.0
d	d	1.0
e_#>	e_#>	1.0
e_m	ə_m	1.0
j_#>	e	1.0
k	k	1.0
l	-	1.0
m	m	1.0
n	n	1.0
p	p	1.0
p_u_#>	p_#>	1.0
r_m	r_m	1.0
r_n	r_n	1.0
r_t	r_t	1.0
s	s	1.0
s_a	ʦ_ə	1.0
z	ʤ	1.0
ŋ_k_w	n_ʧʲ	1.0
ŋ_t	n_t	1.0
ɲ	n	1.0
ʃ	ʃ_t	1.0
ˈa_ŋ	ˈɨ_n	1.0
ˈaː_#>	ˈa_r	1.0
ˈaː_z	ˈa_s	1.0
ˈe_d	e_d	1.0
ˈe_j	e̯ˈa_r	1.0
ˈe_l	ˈe_l	1.0
ˈe_ŋ	ˈi_m	1.0
ˈeː_#>	ˈe_r	1.0
ˈiː	ˈi	1.0
ˈu	ˈu	1.0
ˈu_ŋ	ˈu_n	1.0
ˈuː_#>	o̯ˈa_r	1.0
ˈy	ˈu	1.0
ˈy_ŋ	ˈu_n	1.0
ˈyː	ˈu	1.0
ˈø	o̯ˈa	1.0
ˈø_ʤ	ˈu	1.0
ˈøː	ˈo	1.0
ˈøː_v	ˈo_w	1.0
ˈɛː_#>	ˈa_t	1.0
<#_k	<#	0.091
<#_s	<#_s	0.581
r	r	0.941
ˈe	-	0.091
ˈe	ˈɨ	0.091
<#_d	<#_d	0.692
v	u	0.182
v	j	0.182
w	t	0.2
w	p	0.2
ʒ	z	0.222
ʒ	ʦ	0.222
ˈa	ˈɨ	0.312
ˈa	ˈa	0.562
ˈe	e̯ˈa	0.182
ˈɔː	ˈau̯	0.222
#>	ə_#>	0.583
<#_z	<#_ʒ	0.333
a	-	0.333
a	ə	0.333
a	ɨ	0.333
a_#>	#>	0.173
e	w	0.143
j	e_r	0.333
v	-	0.273
w	ˈo	0.3
w	u_r	0.3
ʤ	kʲ	0.333
ˈaː	ˈa_l	0.3
ˈi	ˈi	0.833
ˈɔː	ˈo	0.333
<#_l	<#_l	0.824
e	i	0.214
t	p_t	0.364
v	r	0.364
ˈuː	ˈu	0.714
ˈɔː	o̯ˈa	0.444
ˈɛː	j_ˈe	0.444
<#_t	<#_ʦ	0.25
<#_t	<#_t	0.75
i	-	0.375
i	i	0.625
u	u_#>	0.455
u	u	0.545
u_#>	r_#>	0.065
u_#>	#>	0.935
ŋ_#>	n_e	0.455
ŋ_#>	n_#>	0.545
ʤ	ʒ	0.25
ʤ	j	0.25
ʧ	p_l	0.5
ʧ	k	0.5
ˈa	ˈɨ_j	0.125
ˈiː_#>	j_#>	0.375
ˈiː_#>	ˈi_r	0.625
ˈɔ	ˈo	0.5
ˈɔ	o̯ˈa	0.5
<#_l	<#_j	0.176
e	e	0.286
t	t	0.636
ŋ	-	0.286
ŋ	ŋ	0.286
ɡ	-	0.176
ɡ	ɡ	0.176
ʒ	ʧ	0.556
ˈuː	ˈu_p	0.286
ˈɛː	ˈa	0.556
#>	r_#>	0.417
<#_z	<#_ʤ	0.667
e	-	0.357
j	-	0.667
ɡ	k	0.647
ʤ	e	0.167
ˈaː	ˈa	0.7
ˈe	ˈi	0.227
ˈeː	i	0.167
ˈeː	j_ˈe	0.167
ˈeː	ˈe	0.667
ˈi	ˈu	0.167
<#_d	<#_z	0.308
a_#>	a_#>	0.058
<#_k	<#_k	0.909
<#_s	<#_ʃ	0.129
<#_s	<#_ʧ	0.29
a_#>	ə_#>	0.769
r	-	0.059
ŋ	n	0.429
ˈe	ˈe	0.409
