Phone1	Phone2	PMI
t_a	t_ɜ	10.936
s_ˈi	s_ˈi	10.433
s_e	s_e	10.238
ˈɔ_s	ˈɒ_s	10.215
<#_a	<#_a	9.747
r_ˈe	ɾ_ˈæ	9.399
<#_ˈa	<#_ˈa	9.39
<#_r	<#_r	9.39
<#_ɡ	<#_ɡ	9.107
<#_t	<#_t	9.09
ˈaː_r	ˈa_l	9.087
ŋ_a	n_ɜ	9.069
<#_z	<#_ʤ	8.823
<#_n	<#_n	8.302
z	<#_ʤ	8.111
ˈi	ˈi_#>	7.987
n	<#_n	7.598
ʃ	ʃ	7.542
<#_ʃ	<#_f_l	7.391
ɡ	<#_ɡ	7.375
m_u	m_u	7.319
a_l	a_l	7.311
<#_ʒ	<#_v	7.304
s_k	s_k	7.116
ɲ	ɲ	7.101
r_n	r_n	7.098
m	m_#>	7.054
ˈy_t	ˈo_t	7.045
<#_ɡ	ɡ	6.99
ˈa	ˈa_#>	6.967
ˈi_l	ˈi_l	6.929
ˈa_m	ˈa_m	6.929
v_ˈa	v_ˈa	6.929
r_t	r_t	6.929
b	b	6.929
ˈu	ˈo_#>	6.865
ˈe_ŋ	ˈe_n	6.855
ˈa_t	ˈa_t	6.783
l_ˈa	ʎ_ˈa	6.747
r	<#_r	6.718
t	<#_t	6.714
ˈi_ŋ_#>	ˈi_#>	6.695
ɡ	k_#>	6.622
s_ˈe	s_ˈæ	6.499
<#_z	ʤ	6.455
<#_a	a	6.374
ʃ	<#_f_l	6.283
d	d	6.273
m_e_#>	m_#>	6.254
f	f	6.241
ˈu_ŋ_#>	ˈo_#>	6.232
ˈɛː_r	ˈæ_r	6.228
z	ʧ	6.226
<#_l	<#_ˈe	6.097
ˈa	<#_ˈa	5.957
l	ʎ_#>	5.956
ˈɛ	j	5.944
ˈø	ˈu	5.843
ˈyː	ˈu	5.842
ˈɔ	ˈɒ_s	5.841
ʒ	<#_v	5.806
z	ʤ	5.743
ɡ	ɡ	5.695
ˈa_ŋ_#>	ˈa_#>	5.651
ˈi	ˈi	5.604
ˈɛ	ˈe	5.597
m	m	5.594
ˈiː	ˈi	5.579
<#_ʃ	f	5.579
ŋ_a	n_ɐ	5.54
p	p	5.527
ɡ	ɣ	5.467
v	v	5.465
ˈuː	ˈo	5.431
ˈy	ˈu	5.404
ˈɛ	ˈe_j	5.399
<#_ʒ	v	5.358
ˈɔ	ˈɒ	5.347
a	<#_a	5.341
ˈɔː	ˈɒ	5.323
ˈøː	ˈɒ	5.255
ʤ	ʤ	5.229
u_#>	e_#>	5.202
<#_n	n	5.111
t	t	5.031
<#_t	t	5.031
k	k	4.939
<#_r	r	4.938
w	w	4.929
t	t_#>	4.909
ŋ	ŋ	4.904
ɡ_u_#>	k_#>	4.903
n	n	4.861
z_u	ʧ	4.823
ˈu	ˈo	4.79
v	β	4.734
ʤ_a	ʎ_ɐ	4.722
s	s	4.707
l	ʎ	4.653
ˈe	ˈe	4.617
ˈɛː	ˈæ	4.542
ˈa	ˈa	4.514
<#_ˈa	ˈa	4.514
l_u_#>	ʎ_#>	4.51
ˈe	ˈæ	4.497
ˈeː	ˈæ	4.472
ʃ	f	4.472
ˈiː_#>	ˈi_r_#>	4.441
ˈaː	ˈa	4.409
u	ʎ_#>	4.339
u	e_#>	4.303
j	e_l	4.219
ˈy	ˈo	4.205
n	ɲ	4.172
ˈi	s_ˈi	4.135
i	i	4.123
a	ɐ	4.122
w	o	4.086
ˈu	ˈɒ	4.068
ʤ	ʎ_#>	4.037
t_e_#>	t_#>	4.018
e	w_#>	4.017
z	z	3.977
j_#>	r_#>	3.906
r	ɾ	3.862
ʒ	v	3.861
a	ɞ	3.804
ˈiː_#>	ˈi	3.737
ŋ	n	3.716
a	ɜ	3.715
ˈuː	ˈo_l	3.709
a	a	3.701
r	r	3.697
w_ˈa	w_ˈa	3.65
s_a	s_a	3.65
r_s	r_s	3.642
ŋ	ˈa_#>	3.636
ˈaː	ˈa_r	3.635
ŋ	ˈi_#>	3.609
ˈaː	ˈa_l	3.574
e	e	3.571
ˈiː	ˈi_r_#>	3.562
ˈa_s	ˈa_s	3.474
r_k	r_k	3.447
r_u	r_o	3.435
p_ˈeː	p_ˈæ	3.432
l	<#_ˈe	3.43
<#_ʃ	l	3.43
ʤ_u_#>	ʎ_#>	3.393
m_u	u	3.35
ˈu	ˈu	3.333
<#_ˈɔː	<#_ˈɒ	3.283
ɔː	<#_o	3.282
<#_ɔː	<#_o	3.282
<#_ˈø	<#_ˈu	3.28
t	t_ɜ	3.262
<#_ˈɔ	<#_ˈɒ	3.197
k	k_#>	3.194
<#_ˈaː	<#_a	3.18
<#_ˈøː	<#_ˈɒ	3.146
ʧ	l	3.141
ɡ_a	ɣ_ɐ	3.124
ʧ	k_l	3.064
e	s_e	3.052
ˈy	ˈo_t	3.04
s	s_e	3.032
<#_ˈɛː	<#_ˈa	3.024
