Phone1	Phone2	Surprisal	OOV_Smoothed
<#	<#_ɡ	0.415	4.791
<#	<#_k	2.0	4.791
<#_a	<#_a	-0.0	4.791
<#_b	<#_b	0.322	4.791
<#_b	<#	2.322	4.791
<#_d	<#_d	-0.0	4.791
<#_f	<#_f	-0.0	4.791
<#_i	<#_e	-0.0	4.791
<#_k	<#_k	0.485	4.791
<#_k	<#	1.807	4.791
<#_l	<#_ʎ	-0.0	4.791
<#_m	<#_m	-0.0	4.791
<#_n	<#_n	-0.0	4.791
<#_p	<#_p	-0.0	4.791
<#_s	<#_s	-0.0	4.791
<#_t	<#_t	-0.0	4.791
<#_ɾ	<#_r	-0.0	4.791
<#_ʣ	<#_ʃ	-0.0	4.791
<#_ˈa	<#_ˈa	0.415	4.791
<#_ˈa	<#_a	2.0	4.791
<#_ˈi	<#_ˈe	-0.0	4.791
<#_ˈu	<#	-0.0	4.791
a	a	0.348	4.791
a	e	2.222	4.791
a_#>	a_#>	0.149	4.791
a_#>	#>	3.346	4.791
a_ð	a_ð	-0.0	4.791
a_ɾ	a_ɾ	-0.0	4.791
b	b	-0.0	4.791
d	ð	-0.0	4.791
e	-	-0.0	4.791
e_ɾ	ɾ	-0.0	4.791
i	-	1.766	4.791
i	i	2.087	4.791
i	e	2.503	4.791
i	θ_e	2.503	4.791
i	ˈi	3.087	4.791
j	-	1.0	4.791
j	ʝ	1.737	4.791
j	j	2.322	4.791
j_ˈa	ˈa	-0.0	4.791
k	k	0.459	4.791
k	θ	1.874	4.791
l	l	-0.0	4.791
m	m	0.193	4.791
m	ɡ	3.0	4.791
m_b	ŋ_k	-0.0	4.791
m_i	m	-0.0	4.791
n	n	0.263	4.791
n	-	2.585	4.791
n_t	n_t	-0.0	4.791
n_ɛ	ŋ_#>	-0.0	4.791
n_ʣ	ɲ	-0.0	4.791
nː	n	-0.0	4.791
o	s_ˈo	-0.0	4.791
o_ɾ	o_ɾ	-0.0	4.791
p	-	-0.0	4.791
r	r	1.0	4.791
r	ɾ_n	1.0	4.791
s	s	0.29	4.791
s	-	2.459	4.791
s_p	s_p	-0.0	4.791
s_t	s_t	-0.0	4.791
t	t	0.862	4.791
t	ʧ	2.0	4.791
t	-	2.322	4.791
u	u	-0.0	4.791
u_#>	u_#>	0.216	4.791
u_#>	#>	2.844	4.791
u_z	p_u	-0.0	4.791
ŭ_#>	#>	-0.0	4.791
z	-	0.7	4.791
z	s	1.379	4.791
ð	ð	0.848	4.791
ð	-	1.17	4.791
ɔ	o	0.585	4.791
ɔ	-	1.585	4.791
ɔ_z	o	-0.0	4.791
ɔ̆_#>	s_#>	-0.0	4.791
ɖː	l	-0.0	4.791
ɖː_u	ʎ_u	-0.0	4.791
ɛ	-	1.0	4.791
ɛ	β	1.737	4.791
ɛ	e	2.322	4.791
ɛ_#>	#>	0.434	4.791
ɛ_#>	e_#>	1.945	4.791
ɛ_n	e	-0.0	4.791
ɛ_ɾ	ˈe_ɾ	-0.0	4.791
ɛ̆_#>	s_#>	-0.0	4.791
ɡ_ɾ	ɾ	-0.0	4.791
ɣ	ɣ	1.17	4.791
ɣ	-	1.848	4.791
ɣ	θ	2.585	4.791
ɣ	ˈe_θ	3.17	4.791
ɣ_ɛ	θ_#>	-0.0	4.791
ɾ	ɾ	0.282	4.791
ɾ	-	3.954	4.791
ɾ	ɾ_e	4.369	4.791
ɾ_b	ɾ_β	-0.0	4.791
ɾ_u	e	-0.0	4.791
ɾ_ʦ	l_s	-0.0	4.791
ɾ_ˈa	ʎ_ˈa	-0.0	4.791
ʣ	ʝ	-0.0	4.791
ʦ	θ	-0.0	4.791
ˈa	ˈa	0.228	4.791
ˈa	-	4.358	4.791
ˈa	a	4.358	4.791
ˈa	ˈe	4.358	4.791
ˈa_l	ˈa_l	-0.0	4.791
ˈa_n	ˈa_n	-0.0	4.791
ˈa_t	t	-0.0	4.791
ˈa_ð	ˈa_ð	-0.0	4.791
ˈe	j_ˈe	0.766	4.791
ˈe	ˈe	1.766	4.791
ˈe	ʃ_ˈe	3.087	4.791
ˈi	ˈi	0.695	4.791
ˈi	ˈe	1.628	4.791
ˈi	j_ˈe	4.087	4.791
ˈi_k	ˈe_k	-0.0	4.791
ˈi_nː	ˈe_ɲ	-0.0	4.791
ˈi_ɾ	ˈi_ɾ	-0.0	4.791
ˈi_ʣ	ˈi	-0.0	4.791
ˈo	w_ˈe	0.788	4.791
ˈo	ˈo	1.248	4.791
ˈo_ɣ	w_ˈe	-0.0	4.791
ˈu	ˈu	1.0	4.791
ˈu	ˈo	1.348	4.791
ˈu	w	3.222	4.791
ˈu_n	ˈu_n	-0.0	4.791
ˈɔ	ˈo	1.222	4.791
ˈɔ	w_ˈe	1.348	4.791
ˈɔ	o	2.485	4.791
ˈɔ_n	ˈo_n	-0.0	4.791
ˈɛ	j_ˈe	0.663	4.791
ˈɛ	ˈe	2.248	4.791
ˈɛ	ˈe_j	2.663	4.791
ˈɛ_n	ˈe_n	-0.0	4.791
ˈɛ_ɾ	ˈe_ɾ	-0.0	4.791
β	β	-0.0	4.791
