Phone1	Phone2	Surprisal	OOV_Smoothed
#>	ə_#>	0.0	4.764
<#_a	<#_ə	0.0	4.764
<#_i	<#_ə	0.0	4.764
<#_l	<#_ʎ	0.0	4.764
<#_m	<#_m	0.0	4.764
<#_n	<#_n	0.0	4.764
<#_o	<#_u	0.0	4.764
<#_s	<#_s	0.0	4.764
<#_t	<#_t	0.0	4.764
<#_ɾ	<#_r	0.0	4.764
<#_ˈa	<#_ˈa	0.363	4.764
<#_ˈa	<#_ə	2.17	4.764
a	ə	0.0	4.764
a_l	ə_l	0.0	4.764
b	b	0.358	4.764
b	ʒ	3.036	4.764
b	k_w	4.358	4.764
b	ɡ	4.358	4.764
b_ˈu	ɡ_ˈo	0.0	4.764
d	d	0.206	4.764
d	-	2.907	4.764
e	ə	0.678	4.764
e	-	1.415	4.764
f	f	0.0	4.764
i	-	1.222	4.764
i	i	1.807	4.764
i	ə	1.807	4.764
i_ð	t	0.0	4.764
i_ɣ	ʤ	0.0	4.764
i_ɾ	ə_r	0.0	4.764
j	-	1.222	4.764
j	l	1.807	4.764
j	ʎ	1.807	4.764
j_u	ʎ	0.0	4.764
j_z	z	0.0	4.764
k	k	0.238	4.764
k	s	2.716	4.764
k_i	s_i	0.0	4.764
l	l	0.585	4.764
l	ʎ	1.585	4.764
l_u_#>	l_#>	0.0	4.764
l_ɛ_#>	l_#>	0.0	4.764
m	m	0.222	4.764
m	ŋ	2.807	4.764
m_b	ŋ	0.0	4.764
m_ɛ_n_ɛ_#>	m_#>	0.0	4.764
n	n	0.459	4.764
n	-	1.874	4.764
n_a	n_ə	0.0	4.764
n_t_u_#>	n_#>	0.0	4.764
n_t_ɛ_#>	n_#>	0.0	4.764
n_u_#>	#>	0.0	4.764
n_ʣ	ɲ	0.0	4.764
nː	n	0.807	4.764
nː	ɲ	1.222	4.764
o	u	0.0	4.764
p	p	0.0	4.764
p_u	s	0.0	4.764
r	r	0.0	4.764
s	s	0.0	4.764
s_i	s_ə	0.0	4.764
s_k	ʃ	0.0	4.764
t	t	0.0	4.764
t_u	w	0.0	4.764
u	u	1.874	4.764
u	w	2.138	4.764
u	ʎ	2.459	4.764
u	-	2.874	4.764
u	n	3.459	4.764
u	ə	3.459	4.764
u_#>	#>	0.0	4.764
ŭ	-	0.0	4.764
z	-	0.0	4.764
z_ă_#>	s_#>	0.0	4.764
z_u_#>	s_#>	0.0	4.764
z_ɔ̆_#>	s_#>	0.0	4.764
z_ɛ̆_#>	s_#>	0.0	4.764
ð	ð	0.737	4.764
ð	t	1.322	4.764
ɔ	-	1.1	4.764
ɔ	u	1.322	4.764
ɔ	ə	2.907	4.764
ɖː	ʎ	0.0	4.764
ɖː_a	l_ə	0.0	4.764
ɛ	-	1.046	4.764
ɛ	w	2.093	4.764
ɛ	ə	2.193	4.764
ɛ_ɾ	ɾ	0.0	4.764
ɡ	ɡ	0.585	4.764
ɡ	ʒ	1.585	4.764
ɣ	ɣ	0.485	4.764
ɣ	ˈɛ	1.807	4.764
ɣ_u_#>	k_#>	0.0	4.764
ɣ_ɛ	w	0.0	4.764
ɣ_ɛ_#>	j_#>	0.0	4.764
ɲ	ɲ	0.0	4.764
ɾ	ɾ	0.974	4.764
ɾ	l	2.459	4.764
ɾ	r	2.611	4.764
ɾ	-	2.781	4.764
ɾ_b	β	0.0	4.764
ɾ_t	r_t	0.0	4.764
ɾ_u	ɾ_ə	0.0	4.764
ɾ_ɛ	ə	0.0	4.764
ɾ_ʦ	l_s	0.0	4.764
ʣ	ʒ	0.807	4.764
ʣ	ʎ	1.222	4.764
ʦ	s	0.0	4.764
ˈa	ˈa	0.059	4.764
ˈa	-	4.644	4.764
ˈa_n	ˈa	0.0	4.764
ˈa_ɾ_ɛ_#>	ˈa_#>	0.0	4.764
ˈe	ˈe	1.392	4.764
ˈe	ˈɛ	1.392	4.764
ˈe	ˈi	2.807	4.764
ˈe	ɾ_ˈe	3.392	4.764
ˈi	ˈi	0.967	4.764
ˈi	ˈɛ	2.104	4.764
ˈi	ˈe	2.619	4.764
ˈi	-	4.426	4.764
ˈi	ə	4.426	4.764
ˈi_n_ɛ_#>	ˈi_#>	0.0	4.764
ˈi_ɾ	ˈi	0.0	4.764
ˈi_ʣ	ˈi_ʎ	0.0	4.764
ˈo	ˈɔ	0.392	4.764
ˈo	ˈo	2.07	4.764
ˈu	ˈu	1.047	4.764
ˈu	ˈo	1.495	4.764
ˈu	ˈɔ	3.369	4.764
ˈu	ˈu_j	3.954	4.764
ˈɔ	ˈɔ	0.893	4.764
ˈɔ	ˈo	2.379	4.764
ˈɔ	ˈu	2.379	4.764
ˈɔ	u	3.7	4.764
ˈɔ_n_ɛ_#>	ˈo_#>	0.0	4.764
ˈɔ_ɾ	ˈɔ_r	0.0	4.764
ˈɛ	ˈe	0.885	4.764
ˈɛ	ˈɛ	1.126	4.764
ˈɛ_n	ˈɛ_n	0.0	4.764
β	β	0.0	4.764
