Logudorese	Friulian	probability
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_i	<#	1.0
<#_j	<#	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_ɡ	<#	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈu	<#_ˈo	1.0
a_#>	e_#>	1.0
a_l	a_l	1.0
ă	-	1.0
d	t	1.0
e_#>	#>	1.0
ĕ_#>	#>	1.0
i_#>	#>	1.0
i_ɣ	i_ʧ	1.0
j	j	1.0
k_r	l_i	1.0
l	l	1.0
m_b	ŋ_k	1.0
n_e	ŋ_#>	1.0
n_u	ŋ_#>	1.0
n_ɖ	n	1.0
n_ʣ	ɲ	1.0
o_#>	#>	1.0
ŏ	-	1.0
ŏ_#>	i_#>	1.0
p	p	1.0
rː	r	1.0
s_t	s_t	1.0
t_r	t_r_i	1.0
u_#>	#>	1.0
w	w	1.0
z_ŭ	#>	1.0
ð	d	1.0
ð_u	t_#>	1.0
ŋ	ŋ	1.0
ɖː	l	1.0
ɡ_ˈi	ʤ_ˈi	1.0
ɣ_e	s_#>	1.0
ɲ	ɲ	1.0
ʦ_u	ʧ_#>	1.0
ˈa_n	ˈa_n	1.0
ˈa_r	ˈaː	1.0
ˈa_t	ˈa_t	1.0
ˈa_ð	ˈaː_t	1.0
ˈe_n	ˈi_n	1.0
ˈe_r	ˈe_r	1.0
ˈi_n	ˈi_ŋ	1.0
ˈi_ð	ˈeː_t	1.0
ˈi_ʣ	ˈi	1.0
ˈo_ɣ	ˈuː_k	1.0
β	f	1.0
<#_l	<#	0.111
a	a	0.571
ˈe	ˈi	0.071
ˈe	-	0.071
ˈo	ˈoː	0.1
ˈo	ˈuː	0.1
ˈo	ˈo	0.1
ˈu	ˈoː	0.1
<#_k	<#	0.162
e	i	0.182
e	e	0.182
i	-	0.2
i	ʧ_i	0.2
i	ʧ_e	0.2
k	k	0.182
z	s	0.222
z	s_#>	0.222
z	j	0.222
ɣ	i	0.2
ɣ	ˈaː	0.2
ˈi	ˈi	0.412
ˈu	ˈuː	0.2
<#	ˈa	0.333
b	<#_z_v	0.333
e_r	a_r	0.333
m	ŋ	0.133
o	-	0.333
r	r	0.683
s	-	0.13
t	d	0.083
z	-	0.333
ɣ	-	0.3
ɣ	ɡ	0.3
ˈa	ˈaː	0.303
ˈe	ˈɛ	0.143
ˈu	ˈu	0.333
i	i	0.4
k	-	0.364
r_ˈa	l_ˈa	0.4
ˈi	ˈe	0.294
<#_a	<#	0.5
<#_a	<#_a	0.5
<#_k	<#_ʧ	0.135
<#_k	<#_k	0.405
k	c	0.455
n	ɲ	0.095
nː	n	0.5
nː	-	0.5
o	o	0.5
u	u	0.5
u	-	0.5
ˈo	ˈu	0.075
ˈo	w	0.075
ˈo	w_ˈɛ	0.125
ˈo	w_ˈa	0.15
ˈo	ˈɔ	0.225
ˈo_n	w_ˈi_n	0.5
ˈo_n	ˈo_ŋ	0.5
<#_b	<#_b	0.286
<#_b	<#_v	0.486
e	-	0.636
r_ˈa	r_ˈa	0.6
<#	<#_v	0.667
<#_k	<#_c	0.297
b	b	0.667
e_r	i	0.667
m	m	0.867
n	n	0.667
o	u	0.167
r	-	0.127
s	s	0.87
t	t	0.917
ˈa	ˈa	0.697
ˈe	ˈe	0.167
ˈu	ˈo	0.367
n	-	0.238
ˈi	ˈiː	0.088
ˈi	ˈeː	0.088
ˈi	-	0.118
<#_b	<#	0.229
<#_l	<#_l	0.889
a	-	0.429
r	l	0.159
ˈe	ˈiː	0.119
ˈe	j_ˈɛ	0.429
