Phone1	Phone2	Surprisal	OOV_Smoothed
<#	<#_w	0.737	4.789
<#	<#_j	1.322	4.789
<#_k	<#_k	0.0	4.789
<#_l	<#_l	0.0	4.789
<#_n	<#_n	0.0	4.789
<#_t	<#_t	0.0	4.789
<#_ɾ	<#_r	0.0	4.789
<#_ˈa	<#_ˈa	0.0	4.789
<#_ˈu	<#_ˈu	0.0	4.789
a	ə	0.206	4.789
a	-	3.907	4.789
a	u	3.907	4.789
b	b	1.415	4.789
b	v	1.585	4.789
b	z	3.0	4.789
b	p	3.585	4.789
b	ɡ	3.585	4.789
d	d	0.415	4.789
d	z	2.0	4.789
e	i	0.0	4.789
f	f	0.0	4.789
f_ˈi	ˈi	0.0	4.789
i	-	0.363	4.789
i	i	2.17	4.789
j	k_ʎ	0.0	4.789
k	ʦ	0.807	4.789
k	k	1.222	4.789
l	r	0.585	4.789
l	ʎ	1.585	4.789
l_u	r	0.0	4.789
m	m	0.17	4.789
m	n	3.17	4.789
n	n	0.497	4.789
n	-	2.263	4.789
n	j_n	3.585	4.789
nː	n	0.0	4.789
p	p	0.241	4.789
p	kʲ	2.7	4.789
r	r	0.0	4.789
s	s	0.28	4.789
s	ʃ	2.503	4.789
t	t	0.485	4.789
t	p_t	1.807	4.789
u	u	0.628	4.789
u	-	3.087	4.789
u	i	3.087	4.789
u	ə	3.087	4.789
u_#>	#>	0.1	4.789
u_#>	l_#>	3.907	4.789
ŭ	-	0.0	4.789
z	-	0.485	4.789
z	s	1.807	4.789
ð	t	0.0	4.789
ŋ	ŋ	0.0	4.789
ɔ	-	0.0	4.789
ɖː_u	l	0.0	4.789
ɛ	i	0.5	4.789
ɛ	-	2.55	4.789
ɛ	w_ə	3.773	4.789
ɛ	ə	4.358	4.789
ɡ	ɡ	0.0	4.789
ɣ	k	0.415	4.789
ɣ	ʦ	2.0	4.789
ɾ	r	0.429	4.789
ɾ	l	2.807	4.789
ɾ	-	4.129	4.789
ɾ	ʎ	4.129	4.789
ʣ	ʎ	0.485	4.789
ʣ	ʒ	1.807	4.789
ˈa	ˈa	0.459	4.789
ˈa	ˈɔ	1.874	4.789
ˈe	ˈe	0.585	4.789
ˈe	ˈi	1.585	4.789
ˈi	ˈi	1.193	4.789
ˈi	e̯ˈa	1.678	4.789
ˈi	ˈe	2.0	4.789
ˈo	ˈo	0.263	4.789
ˈo	ˈu	2.585	4.789
ˈu	ˈu	0.541	4.789
ˈu	ˈo	1.678	4.789
ˈɔ	o̯ˈa	0.459	4.789
ˈɔ	ˈu	1.874	4.789
ˈɛ	ˈa	0.807	4.789
ˈɛ	ˈe	2.222	4.789
ˈɛ	ˈi	2.222	4.789
