Phone1	PhonEnv	Phone2	Surprisal
a	#|S|	a	0.263
a	#|S|>	a	0.3
a	#|S|>_F	a	0.0
a	#|S|>_N	a	0.0
a	#|S|F	a	0.0
a	#|S|N	a	0.0
a	<|S|	a	0.0
a	<|S|#	a	0.0
a	<|S|>	a	0.0
a	<|S|>_N	a	0.0
a	<|S|>_R	a	0.0
a	<|S|N	a	0.0
a	<|S|R	a	0.0
a	F_<|S|	a	0.0
a	F_<|S|>	a	0.0
a	F_<|S|>_N	a	0.0
a	F_<|S|N	a	0.0
a	F|S|	a	0.0
a	F|S|>	a	0.0
a	F|S|>_N	a	0.0
a	F|S|N	a	0.0
a	|S|#	a	0.0
a	|S|>	a	0.061
a	|S|>_F	a	0.0
a	|S|>_N	a	0.0
a	|S|>_R	a	0.0
a	|S|F	a	0.0
a	|S|N	a	0.0
a	|S|R	a	0.0
a_t	<|S|	a_t	0.0
a_t	<|S|<	a_t	0.0
a_t	<|S|<_F	a_t	0.0
a_t	<|S|F	a_t	0.0
a_t	|S|<	a_t	0.0
a_t	|S|<_F	a_t	0.0
a_t	|S|F	a_t	0.0
b	#|S|	b	0.0
b	#|S|<	b	0.0
b	#|S|<_F	b	0.0
b	#|S|F	b	0.0
b	>|S|	b	0.0
b	>|S|<	b	0.0
b	>|S|<_F	b	0.0
b	>|S|F	b	0.0
b	|S|<	b	0.0
b	|S|<_F	b	0.0
b	|S|F	b	0.0
b_w	#|S|	b	0.0
b_w	#|S|<	b	0.0
b_w	|S|<	b	0.0
bː	>|S|	bː	0.0
bː	>|S|<	bː	0.0
bː	F_>|S|	bː	0.0
bː	F_>|S|<	bː	0.0
bː	F|S|	bː	0.0
bː	F|S|<	bː	0.0
bː	|S|<	bː	0.0
d	#|S|	d	0.1
d	#|S|<	d	0.112
d	#|S|<_F	d	0.0
d	#|S|<_R	d	0.0
d	#|S|F	d	0.0
d	#|S|R	d	0.0
d	>|S|	d	0.0
d	>|S|<	d	0.0
d	|S|<	d	0.082
d	|S|<_F	d	0.0
d	|S|<_R	d	0.0
d	|S|F	d	0.0
d	|S|R	d	0.0
dː	>|S|	tː	0.0
dː	>|S|<	tː	0.0
dː	F_>|S|	tː	0.0
dː	F_>|S|<	tː	0.0
dː	F|S|	tː	0.0
dː	F|S|<	tː	0.0
dː	|S|<	tː	0.0
e	<|S|	i	0.737
e	<|S|	-	1.322
e	<|S|#	i	0.152
e	<|S|#	-	3.322
e	<|S|=	-	0.234
e	<|S|=	i	2.737
e	<|S|>	i	0.621
e	<|S|>	-	1.515
e	<|S|>_R	i	0.12
e	<|S|>_R	-	3.644
e	<|S|R	i	0.152
e	<|S|R	-	3.322
e	|S|#	i	0.206
e	|S|#	-	2.907
e	|S|=	-	0.322
e	|S|=	i	2.322
e	|S|>	i	0.634
e	|S|>	-	1.492
e	|S|>_R	i	0.152
e	|S|>_R	-	3.322
e	|S|R	i	0.206
e	|S|R	-	2.907
f	#|S|	f	0.0
f	#|S|<	f	0.0
f	#|S|<_F	f	0.0
f	#|S|<_R	f	0.0
f	#|S|F	f	0.0
f	#|S|R	f	0.0
f	|S|<	f	0.0
f	|S|<_F	f	0.0
f	|S|<_R	f	0.0
f	|S|F	f	0.0
f	|S|R	f	0.0
fː	>|S|	fː	0.0
fː	>|S|<	fː	0.0
fː	>|S|<_R	fː	0.0
fː	>|S|R	fː	0.0
fː	|S|<	fː	0.0
fː	|S|<_R	fː	0.0
fː	|S|R	fː	0.0
i	<|S|	i	0.357
i	<|S|	ˈi	2.473
i	<|S|#	i	0.069
i	<|S|#	ˈi	4.415
i	<|S|<	i	0.069
i	<|S|<	ˈi	4.415
i	<|S|>	i	0.508
i	<|S|>	ˈi	2.093
i	<|S|>_N	i	0.83
i	<|S|>_N	ˈi	2.074
i	<|S|>_R	i	0.055
i	<|S|>_R	ˈi	4.737
i	<|S|N	i	0.791
i	<|S|N	ˈi	2.093
i	<|S|R	i	0.069
i	<|S|R	ˈi	4.415
i	|S|#	i	0.093
i	|S|#	ˈi	4.0
i	|S|<	i	0.093
i	|S|<	ˈi	4.0
i	|S|>	i	0.483
i	|S|>	ˈi	2.126
i	|S|>_N	i	0.791
i	|S|>_N	ˈi	2.093
i	|S|>_R	i	0.069
i	|S|>_R	ˈi	4.415
i	|S|N	i	0.727
i	|S|N	ˈi	2.126
i	|S|R	i	0.093
i	|S|R	ˈi	4.0
j	#|S|	j	1.684
j	#|S|	ɟː	2.907
j	#|S|<	j	1.737
j	#|S|<	ɟː	3.322
j	#|S|<_F	j	1.644
j	#|S|<_F	ɟː	3.644
j	#|S|=	j	2.737
j	#|S|=	ɟː	3.322
j	#|S|F	j	1.567
j	#|S|F	ɟː	3.322
j	<|S|	j	0.907
j	<|S|	ɟː	1.737
j	<|S|<	j	0.93
j	<|S|<	ɟː	1.798
j	<|S|<_F	j	0.943
j	<|S|<_F	ɟː	1.837
j	<|S|F	j	0.93
j	<|S|F	ɟː	1.798
j	>|S|	ɟː	0.322
j	>|S|	j	2.322
j	>|S|<	ɟː	0.234
j	>|S|<	j	2.737
j	F_>|S|	ɟː	0.234
j	F_>|S|	j	2.737
j	F_>|S|<	ɟː	0.184
j	F_>|S|<	j	3.059
j	F|S|	ɟː	0.322
j	F|S|	j	2.322
j	F|S|<	ɟː	0.234
j	F|S|<	j	2.737
j	|S|<	j	1.322
j	|S|<	ɟː	1.907
j	|S|<_F	j	1.213
j	|S|<_F	ɟː	2.368
j	|S|=	j	2.322
j	|S|=	ɟː	2.907
j	|S|F	j	1.152
j	|S|F	ɟː	2.206
j_ə	<|S|	j	1.585
j_ə	<|S|#	j	2.0
j_ə	>|S|	j	0.0
j_ə	>|S|#	j	0.0
j_ə	F_>|S|	j	0.0
j_ə	F_>|S|#	j	0.0
j_ə	F|S|	j	0.0
j_ə	F|S|#	j	0.0
j_ə	|S|#	j	0.447
j_ˈɛ	<|S|	ˈɛ	0.0
j_ˈɛ	<|S|>	ˈɛ	0.0
j_ˈɛ	<|S|>_N	ˈɛ	0.0
j_ˈɛ	<|S|>_R	ˈɛ	0.0
j_ˈɛ	<|S|N	ˈɛ	0.0
j_ˈɛ	<|S|R	ˈɛ	0.0
j_ˈɛ	|S|>	ˈɛ	0.0
j_ˈɛ	|S|>_N	ˈɛ	0.0
j_ˈɛ	|S|>_R	ˈɛ	0.0
j_ˈɛ	|S|N	ˈɛ	0.0
j_ˈɛ	|S|R	ˈɛ	0.0
k	#|S|	k	0.133
k	#|S|	p	3.919
k	#|S|<	k	0.129
k	#|S|<	p	3.861
k	#|S|<_F	k	0.199
k	#|S|<_F	p	3.113
k	#|S|<_R	k	0.032
k	#|S|F	k	0.197
k	#|S|F	p	3.17
k	#|S|R	k	0.041
k	>|S|	k	0.269
k	>|S|	ɡ	3.032
k	>|S|<	k	0.282
k	>|S|<	ɡ	2.953
k	>|S|<_F	k	0.791
k	>|S|<_F	ɡ	1.275
k	>|S|<_R	k	0.791
k	>|S|<_R	ɡ	1.275
k	>|S|F	k	0.744
k	>|S|F	ɡ	1.352
k	>|S|R	k	0.744
k	>|S|R	ɡ	1.352
k	F_>|S|	k	0.744
k	F_>|S|	ɡ	1.747
k	F_>|S|<	k	0.791
k	F_>|S|<	ɡ	1.674
k	F_>|S|<_F	ɡ	0.244
k	F_>|S|<_F	k	2.755
k	F_>|S|<_R	ɡ	0.244
k	F_>|S|<_R	k	2.755
k	F_>|S|F	ɡ	0.298
k	F_>|S|F	k	2.492
k	F_>|S|R	ɡ	0.298
k	F_>|S|R	k	2.492
k	F|S|	k	0.667
k	F|S|	ɡ	1.877
k	F|S|<	k	0.744
k	F|S|<	ɡ	1.747
k	F|S|<_F	ɡ	0.298
k	F|S|<_F	k	2.492
k	F|S|<_R	ɡ	0.298
k	F|S|<_R	k	2.492
k	F|S|F	ɡ	0.383
k	F|S|F	k	2.17
k	F|S|R	ɡ	0.383
k	F|S|R	k	2.17
k	|S|<	k	0.191
k	|S|<	ɡ	3.928
k	|S|<	p	4.513
k	|S|<_F	k	0.252
k	|S|<_F	p	3.331
k	|S|<_F	ɡ	4.04
k	|S|<_R	k	0.35
k	|S|<_R	ɡ	2.292
k	|S|F	k	0.242
k	|S|F	p	3.423
k	|S|F	ɡ	4.025
k	|S|R	k	0.329
k	|S|R	ɡ	2.404
k_j	#|S|	c	0.0
k_j	#|S|<	c	0.0
k_j	#|S|<_F	c	0.0
k_j	#|S|F	c	0.0
k_j	|S|<	c	0.0
k_j	|S|<_F	c	0.0
k_j	|S|F	c	0.0
k_w	#|S|	k	0.0
k_w	#|S|<	k	0.0
k_w	#|S|<_F	k	0.0
k_w	#|S|F	k	0.0
k_w	>|S|	k	0.0
k_w	>|S|<	k	0.0
k_w	>|S|<_F	k	0.0
k_w	>|S|F	k	0.0
k_w	|S|<	k	0.0
k_w	|S|<_F	k	0.0
k_w	|S|F	k	0.0
kː	>|S|	cː	1.0
kː	>|S|	kː	1.0
kː	>|S|<	cː	1.0
kː	>|S|<	kː	1.0
kː	>|S|<_F	cː	0.152
kː	>|S|<_F	kː	3.322
kː	>|S|F	cː	0.193
kː	>|S|F	kː	3.0
kː	F_>|S|	cː	1.0
kː	F_>|S|	kː	1.0
kː	F_>|S|<	cː	1.0
kː	F_>|S|<	kː	1.0
kː	F_>|S|<_F	cː	0.126
kː	F_>|S|<_F	kː	3.585
kː	F_>|S|F	cː	0.152
kː	F_>|S|F	kː	3.322
kː	F|S|	cː	1.0
kː	F|S|	kː	1.0
kː	F|S|<	cː	1.0
kː	F|S|<	kː	1.0
kː	F|S|<_F	cː	0.152
kː	F|S|<_F	kː	3.322
kː	F|S|F	cː	0.193
kː	F|S|F	kː	3.0
kː	|S|<	cː	1.0
kː	|S|<	kː	1.0
kː	|S|<_F	cː	0.193
kː	|S|<_F	kː	3.0
kː	|S|F	cː	0.263
kː	|S|F	kː	2.585
kː_j	>|S|	cː	0.0
kː_j	>|S|<	cː	0.0
kː_j	F_>|S|	cː	0.0
kː_j	F_>|S|<	cː	0.0
kː_j	F|S|	cː	0.0
kː_j	F|S|<	cː	0.0
kː_j	|S|<	cː	0.0
l	#|S|	l	1.585
l	#|S|<	l	2.0
l	#|S|<_F	l	2.322
l	#|S|F	l	2.0
l	>|S|	l	0.0
l	>|S|<	l	0.0
l	>|S|<_F	l	0.0
l	>|S|F	l	0.0
l	F_>|S|	l	0.0
l	F_>|S|<	l	0.0
l	F_>|S|<_F	l	0.0
l	F_>|S|F	l	0.0
l	F|S|	l	0.0
l	F|S|<	l	0.0
l	F|S|<_F	l	0.0
l	F|S|F	l	0.0
l	|S|<	l	0.771
l	|S|<_F	l	1.193
l	|S|F	l	1.0
l_ə	>|S|	l_u	0.0
l_ə	>|S|#	l_u	0.0
l_ə	F_>|S|	l_u	0.0
l_ə	F_>|S|#	l_u	0.0
l_ə	F|S|	l_u	0.0
l_ə	F|S|#	l_u	0.0
l_ə	|S|#	l_u	0.0
lː	>|S|	ɖː	0.082
lː	>|S|<	ɖː	0.093
lː	>|S|<_F	ɖː	0.0
lː	>|S|F	ɖː	0.0
lː	F_>|S|	ɖː	0.102
lː	F_>|S|<	ɖː	0.109
lː	F_>|S|<_F	ɖː	0.0
lː	F_>|S|F	ɖː	0.0
lː	F|S|	ɖː	0.09
lː	F|S|<	ɖː	0.102
lː	F|S|<_F	ɖː	0.0
lː	F|S|F	ɖː	0.0
lː	|S|<	ɖː	0.082
lː	|S|<_F	ɖː	0.0
lː	|S|F	ɖː	0.0
m	#|S|	m	0.0
m	#|S|<	m	0.0
m	#|S|<_F	m	0.0
m	#|S|F	m	0.0
m	>|S|	m	0.111
m	>|S|<	m	0.142
m	>|S|<_F	m	0.322
m	>|S|>	m	0.0
m	>|S|F	m	0.3
m	F_>|S|	m	0.0
m	F_>|S|<	m	0.0
m	F_>|S|<_F	m	0.0
m	F_>|S|>	m	0.0
m	F_>|S|F	m	0.0
m	F|S|	m	0.0
m	F|S|<	m	0.0
m	F|S|<_F	m	0.0
m	F|S|>	m	0.0
m	F|S|F	m	0.0
m	|S|<	m	0.058
m	|S|<_F	m	0.163
m	|S|>	m	0.0
m	|S|F	m	0.144
m_j	#|S|	m	0.0
m_j	#|S|<	m	0.0
m_j	#|S|<_F	m	0.0
m_j	#|S|F	m	0.0
m_j	|S|<	m	0.0
m_j	|S|<_F	m	0.0
m_j	|S|F	m	0.0
mː	>|S|	m	0.737
mː	>|S|	mː	1.322
mː	>|S|<	m	0.737
mː	>|S|<	mː	1.322
mː	F_>|S|	m	0.152
mː	F_>|S|	mː	3.322
mː	F_>|S|<	m	0.12
mː	F_>|S|<	mː	3.644
mː	F|S|	m	0.206
mː	F|S|	mː	2.907
mː	F|S|<	m	0.152
mː	F|S|<	mː	3.322
mː	|S|<	m	0.737
mː	|S|<	mː	1.322
n	#|S|	n	1.654
n	#|S|<	n	2.069
n	#|S|<_F	n	2.391
n	#|S|F	n	2.069
n	>|S|	n	0.091
n	>|S|	-	4.448
n	>|S|<	n	0.092
n	>|S|<	-	4.771
n	>|S|<_F	n	0.013
n	>|S|>	n	0.097
n	>|S|>	-	3.939
n	>|S|F	n	0.017
n	F_>|S|	n	0.061
n	F_>|S|	-	4.586
n	F_>|S|<	n	0.013
n	F_>|S|<_F	n	0.011
n	F_>|S|>	n	0.123
n	F_>|S|>	-	3.608
n	F_>|S|F	n	0.013
n	F|S|	n	0.062
n	F|S|	-	4.568
n	F|S|<	n	0.017
n	F|S|<_F	n	0.013
n	F|S|>	n	0.12
n	F|S|>	-	3.647
n	F|S|F	n	0.017
n	|S|<	n	0.371
n	|S|<_F	n	1.034
n	|S|>	n	0.094
n	|S|>	-	3.986
n	|S|F	n	0.889
nː	>|S|	nː	0.737
nː	>|S|	n_d	1.322
nː	>|S|<	nː	0.737
nː	>|S|<	n_d	1.322
nː	F_>|S|	nː	0.489
nː	F_>|S|	n_d	1.798
nː	F_>|S|<	nː	0.474
nː	F_>|S|<	n_d	1.837
nː	F|S|	nː	0.515
nː	F|S|	n_d	1.737
nː	F|S|<	nː	0.489
nː	F|S|<	n_d	1.798
nː	|S|<	nː	0.737
nː	|S|<	n_d	1.322
o	<|S|	u	0.263
o	<|S|#	u	0.0
o	<|S|>	u	0.678
o	<|S|>_N	u	0.0
o	<|S|>_R	u	2.322
o	<|S|N	u	0.0
o	<|S|R	u	2.0
o	|S|#	u	0.0
o	|S|>	u	0.585
o	|S|>_N	u	0.0
o	|S|>_R	u	2.0
o	|S|N	u	0.0
o	|S|R	u	1.585
p	#|S|	p	0.015
p	#|S|<	p	0.011
p	#|S|<_F	p	0.009
p	#|S|<_R	p	0.009
p	#|S|F	p	0.011
p	#|S|R	p	0.011
