Phone1	Phone2	PMI
a_ɾ	a_ɾ	10.608
ɾ_k	ʀ_k	10.273
t_a	d_ɔ	10.006
k_ɾ	k_l	9.729
<#_ʣ	<#_ʤ	9.689
<#_ˈa	<#_ˈa	9.5
p_ɾ	p_l	9.484
<#_t	<#_t	9.093
<#_i	<#_e	8.753
<#_ɾ	<#_ʀ	8.701
<#_m	<#_m	8.347
ʣ	<#_ʤ	8.346
<#_n	<#_n	8.301
<#_l	<#_l	7.777
i	<#_e	7.475
<#_s	<#_s	7.457
a_l	a_l	7.225
s_p	s_p	7.189
a_t	a_d	6.923
l	<#_l	6.896
m	<#_m	6.873
<#_ʣ	ʤ	6.826
s_ˈɛ	s_ˈe	6.816
ˈɛ_s	ˈɛ_s	6.801
m_ˈe	m_j	6.762
<#_a	<#_a	6.663
t_ˈa	t_ˈa	6.661
β_ˈa	v_ˈa	6.655
ɾ_m	ʀ_m	6.387
t	<#_t	6.357
d	d	6.17
s	<#_s	6.157
ɡ	ɡ	6.141
ˈa	<#_ˈa	6.134
f	f	6.115
ɾ_a	ɾ_ɔ	6.086
n	<#_n	6.045
<#_ˈa	<#_ˈã	5.97
ɾ_ˈa	ɾ_ˈa	5.923
ɔ	u	5.916
<#_r	<#_ʀ	5.828
<#_n	n	5.815
<#_t	t	5.756
ˈu	ˈy	5.658
<#_m	m	5.655
m	m	5.534
ˈi	ˈĩ	5.519
ʣ	ʤ	5.483
p	p	5.47
ˈi	ˈi	5.256
ˈɛ	ˈɛ	5.25
r	<#_ʀ	5.174
<#_l	l	5.133
<#_ɾ	ʀ	5.124
ˈe	ˈɛ	4.967
r	ʀ	4.95
<#_k	<#_k	4.9
l	l	4.858
β	v	4.829
ˈu	ˈu	4.806
b	b	4.804
ɾ_u	ɾ_e	4.799
<#_i	e	4.739
t	t	4.67
ɛ_#>	ˈi_#>	4.631
ɛ	ˈi_#>	4.629
<#_s	s	4.619
ˈe	ˈẽ	4.582
b	v	4.571
s	s	4.54
ˈɔ_n	w_ˈẽ	4.497
n	n	4.478
k	k	4.43
ˈo	ˈɔ	4.39
ˈa	ˈa	4.386
i	e	4.348
<#_ˈa	ˈa	4.331
ɾ_t	ˈe_ʀ	4.295
ˈɔ	ɥ	4.293
<#_a	a	4.286
u_#>	ˈe_#>	4.26
t	ʧ	4.158
ˈa	ˈã	4.114
o	u	4.031
a	a	4.031
a	ɔ	4.009
ɾ	<#_ʀ	3.99
ˈo	ˈe	3.941
ˈɛ	ˈẽ	3.918
ˈu	ˈũ	3.84
ˈa	<#_ˈã	3.788
ˈo	w	3.781
ˈɔ	ˈu	3.729
n	ŋ	3.724
k	<#_k	3.623
ˈa_k	ˈa_k	3.612
p_ˈi	p_ˈe	3.6
ɔ_l	u_l	3.552
a	<#_a	3.55
ɾ	ɾ	3.539
<#_r	ʀ	3.515
ˈu	ˈỹ	3.512
k	s_#>	3.483
u	ˈe_#>	3.457
ð	ʤ	3.453
k_a	k_a	3.419
<#_k	k	3.413
ˈɔ	ˈe	3.409
z	z	3.407
l_ˈi	l_ˈe	3.403
k_a	k_ã	3.403
k_ɔ	k_u	3.393
s_k	s_k	3.382
n_ˈe	n_ˈɛ	3.369
p	p_l	3.357
ŋ	ŋ	3.35
<#_ˈo	<#_w	3.335
ˈu_ɾ	ˈy	3.281
ˈu_t	ˈy	3.281
ɾ_ˈi	ɾ_ˈi	3.28
p_ˈu	p_ˈũ	3.234
ˈɛ_n	ˈe_n	3.23
b_i	v_e	3.221
ˈɔ	ɥ_ˈe	3.207
ð_i	ʤ_e	3.107
<#_ɡ	<#_ɡ	3.083
ˈo	w_ˈe	3.057
<#_ˈa	ˈã	3.052
t	d	3.02
p	b	2.979
ʦ_a	s_ɔ	2.947
k_ɛ_#>	s_#>	2.934
ˈo	ɥ	2.917
ˈi	ˈe	2.908
ɛ_#>	w_#>	2.881
ʦ	s	2.878
a_ɾ	a	2.87
ʣ_a	j_ɔ	2.843
u	y	2.803
nː	ŋ	2.786
j_z	w_t	2.763
ɡ	<#_ɡ	2.75
ˈɔ	ˈũ	2.719
ˈo	ɥ_ˈɔ	2.71
ˈɔ	w	2.676
β	v_ˈa	2.66
k	ʀ_k	2.654
k	k_l	2.654
<#	<#	2.651
#>	#>	2.651
ɾ	ʀ	2.641
ɡ	ʤ	2.562
k_ˈi	s_ˈi	2.54
t	d_ɔ	2.525
t_a	d	2.476
ˈo	<#_w	2.435
m	ŋ_k	2.404
t_ɾ	j_ɾ	2.388
j	w_t	2.382
ɛ	e	2.353
ˈi	ˈi_#>	2.299
ɛ_#>	ˈi	2.293
<#_ɡ	ɡ	2.22
r	ɾ	2.189
z	t	2.137
ˈe	m_j	2.126
z	w_t	2.118
ˈɛ	s_ˈe	2.072
p_ɾ	p	2.069
ˈe	j	2.059
a	a_ɾ	2.033
ɔ̆	e	2.027
nː	ɲ	1.991
nː	n	1.932
a	d_ɔ	1.915
ɾ	a_ɾ	1.907
p	s_p	1.905
m	m_j	1.904
ɾ	p_l	1.89
ɾ	k_l	1.89
l	a_l	1.89
ˈɛ	ˈe	1.842
j	w	1.837
ˈɛ	ˈɛ_s	1.836
s	s_p	1.819
<#	<#_ˈa	1.781
<#	<#_t	1.781
k	z	1.727
ˈɔ	ˈẽ	1.698
<#	<#_e	1.674
<#	<#_n	1.647
e	e	1.626
<#	<#_l	1.624
ˈɔ	w_ˈe	1.585
ɾ	ʀ_k	1.572
m_ɛ	ŋ_k	1.529
ɾ_k	k	1.528
k_u	k	1.528
ɾ_t	ʀ	1.524
ɾ_k	ʀ	1.524
m	ʀ_m	1.514
<#	<#_m	1.489
a_t	a	1.486
ɾ	l	1.48
a_l	a	1.478
a	j_ɔ	1.468
j	u	1.46
t_ɾ	ɾ	1.43
a_ɾ	ɾ	1.43
#>	ˈi_#>	1.374
<#	<#_ʀ	1.373
u	w	1.359
s	ˈɛ_s	1.359
ˈɔ	u	1.341
s	s_ˈe	1.327
p_ɾ	l	1.322
<#_ˈo	w	1.296
ˈi_ɾ	ˈi	1.278
ˈɔ_n	ˈẽ	1.266
k	s	1.251
u_#>	ˈe	1.238
ˈo	ˈu	1.208
a_t	d	1.206
s	ˈe_s	1.189
ʣ_a	j	1.186
ˈa_ɾ	ˈa	1.171
