Phone1	Phone2	Surprisal	OOV_Smoothed
#>	u_#>	0.927068477546149	4.705879174207445
#>	e_#>	1.0768155970508309	4.705879174207445
<#_a	<#_a	-0.0	4.705879174207445
<#_b	<#_b	-0.0	4.705879174207445
<#_d	<#_d	-0.0	4.705879174207445
<#_e	<#_i	0.2895066171949848	4.705879174207445
<#_e	a	2.4594316186372973	4.705879174207445
<#_f	<#_f	-0.0	4.705879174207445
<#_k	<#_k	-0.0	4.705879174207445
<#_l	<#_l	-0.0	4.705879174207445
<#_m	<#_m	-0.0	4.705879174207445
<#_n	<#_n	-0.0	4.705879174207445
<#_p	<#_p	-0.0	4.705879174207445
<#_r	<#_r	-0.0	4.705879174207445
<#_s	<#_s	0.506959988719883	4.705879174207445
<#_s	<#_k	1.7548875021634687	4.705879174207445
<#_t	<#_t	-0.0	4.705879174207445
<#_v	<#_b	-0.0	4.705879174207445
<#_ɡ	<#_b	0.5849625007211563	4.705879174207445
<#_ɡ	<#_ɡ	1.5849625007211563	4.705879174207445
<#_ɥ	<#_ˈo	-0.0	4.705879174207445
<#_ʤ	<#_b	0.4854268271702417	4.705879174207445
<#_ʤ	<#_j	1.8073549220576042	4.705879174207445
<#_ˈa	<#_ˈa	-0.0	4.705879174207445
<#_ˈe	<#_ˈi	-0.0	4.705879174207445
<#_ˈy	<#_ˈu	-0.0	4.705879174207445
<#_ˈɔ	<#_ˈo	-0.0	4.705879174207445
a	a	0.36257007938470825	4.705879174207445
a	-	2.1699250014423126	4.705879174207445
a_m	a_m	-0.0	4.705879174207445
a_s	a_s	-0.0	4.705879174207445
a_ð	a_ð	-0.0	4.705879174207445
a_ɾ	a_r	-0.0	4.705879174207445
b	-	-0.0	4.705879174207445
d_ɾ	e_r	-0.0	4.705879174207445
e	i	1.0780025120012733	4.705879174207445
e	-	2.2479275134435857	4.705879174207445
e	e	2.6629650127224296	4.705879174207445
e	ˈe	2.6629650127224296	4.705879174207445
e_#>	e_#>	1.137503523749935	4.705879174207445
e_#>	u_#>	1.2895066171949847	4.705879174207445
e_#>	r_e_#>	2.8744691179161412	4.705879174207445
e_l	e_l	-0.0	4.705879174207445
i	i	-0.0	4.705879174207445
j	-	-0.0	4.705879174207445
j_#>	ˈe_#>	-0.0	4.705879174207445
j_s	s_k	-0.0	4.705879174207445
j_ɾ	ð_e	-0.0	4.705879174207445
j_ˈɛ	ˈe	-0.0	4.705879174207445
k	k	0.5849625007211563	4.705879174207445
k	ɣ	1.5849625007211563	4.705879174207445
k_#>	u_#>	-0.0	4.705879174207445
l	l	1.074000581443777	4.705879174207445
l	r	1.8624964762500649	4.705879174207445
l	ɖː	3.0	4.705879174207445
l	-	3.7369655941662066	4.705879174207445
l	s	4.321928094887363	4.705879174207445
m	m	-0.0	4.705879174207445
n	n	0.4694852833012203	4.705879174207445
n	nː	2.584962500721156	4.705879174207445
n	ŋ	3.1699250014423126	4.705879174207445
r	r	0.1604646721932461	4.705879174207445
r	rː	3.2479275134435857	4.705879174207445
r_k	r_k	-0.0	4.705879174207445
s	s	1.1699250014423124	4.705879174207445
s	-	2.584962500721156	4.705879174207445
s	o_z	2.584962500721156	4.705879174207445
s	k	3.1699250014423126	4.705879174207445
s	p_u_z_ŭ	3.1699250014423126	4.705879174207445
s_#>	z	-0.0	4.705879174207445
s_k	s_k	-0.0	4.705879174207445
s_p	s_p	-0.0	4.705879174207445
s_t	s_t	-0.0	4.705879174207445
t	t	0.20645087746742632	4.705879174207445
t	d	2.9068905956085187	4.705879174207445
u	o	1.5849625007211563	4.705879174207445
u	u	1.5849625007211563	4.705879174207445
u	-	2.584962500721156	4.705879174207445
u	ˈo	2.584962500721156	4.705879174207445
u_l	o_l	-0.0	4.705879174207445
w	β	0.5849625007211563	4.705879174207445
w	-	1.5849625007211563	4.705879174207445
w_#>	e_#>	0.5849625007211563	4.705879174207445
w_#>	u_#>	1.5849625007211563	4.705879174207445
w_t	t	-0.0	4.705879174207445
z	ɣ	-0.0	4.705879174207445
ð	ð	-0.0	4.705879174207445
ŋ	ŋ_ɡ	-0.0	4.705879174207445
ŋ_k	m_b	-0.0	4.705879174207445
ɔ	-	-0.0	4.705879174207445
ɔ_#>	a_#>	-0.0	4.705879174207445
ɡ	-	-0.0	4.705879174207445
ɣ	ɣ	-0.0	4.705879174207445
ɥ_ˈɔ	ˈo_ɣ	-0.0	4.705879174207445
ɥ_ˈɛ	ˈo	-0.0	4.705879174207445
ɲ	n_ʣ	-0.0	4.705879174207445
ɾ	r	0.7548875021634686	4.705879174207445
ɾ	e_r	1.2954558835261714	4.705879174207445
ɾ_ˈa	r_ˈa	-0.0	4.705879174207445
ɾ_ˈe	r_ˈe	-0.0	4.705879174207445
ʎ	ʣ	-0.0	4.705879174207445
ʤ	i_ɣ	1.5849625007211563	4.705879174207445
ʤ	j	1.5849625007211563	4.705879174207445
ʤ	ɡ	1.5849625007211563	4.705879174207445
ʤ_e	ɣ	-0.0	4.705879174207445
ʦ	ʦ	-0.0	4.705879174207445
ʦ_#>	ɣ_e_#>	-0.0	4.705879174207445
ʧ	t	-0.0	4.705879174207445
ˈa	ˈa	0.6835263352047458	4.705879174207445
ˈa	ˈa_r	1.9205655325055953	4.705879174207445
ˈa	ˈa_n	3.1429579538420436	4.705879174207445
ˈa_n	ˈa_n	-0.0	4.705879174207445
ˈa_t	ˈa_ð	-0.0	4.705879174207445
ˈa_w	ˈa_ɣ	-0.0	4.705879174207445
ˈa_ɲ	ˈa_ɲ	-0.0	4.705879174207445
ˈe	ˈi	0.8845227825800641	4.705879174207445
ˈe	ˈe	1.4150374992788437	4.705879174207445
ˈe	-	3.5849625007211565	4.705879174207445
ˈe_t	ˈi_ð	-0.0	4.705879174207445
ˈi	ˈi	0.5849625007211563	4.705879174207445
ˈi	ˈi_n	3.1699250014423126	4.705879174207445
ˈi	ˈi_r	3.1699250014423126	4.705879174207445
ˈi	ˈu	3.1699250014423126	4.705879174207445
ˈi_l	ˈi_ʣ	-0.0	4.705879174207445
ˈu	ˈu	0.8744691179161412	4.705879174207445
ˈu	ˈo	1.4594316186372973	4.705879174207445
ˈu	ˈo_n	3.4594316186372978	4.705879174207445
ˈu_n	ˈo_n	-0.0	4.705879174207445
ˈy	ˈu	-0.0	4.705879174207445
ˈɔ	ˈo	0.1604646721932461	4.705879174207445
ˈɔ	ˈo_l	3.2479275134435857	4.705879174207445
ˈɛ	ˈe	-0.0	4.705879174207445
