Old French	Western Lombard	probability
ˈɛ_w	ˈøː_k	1.0
ˈỹ	ˈyː	1.0
ˈũ_n	ˈũ	1.0
ˈi_s	ˈeː_s	1.0
ˈi_r	ˈi	1.0
ˈẽ_n	ˈẽ	1.0
ˈã_n	ˈã	1.0
ˈã_j	ˈɑː	1.0
ʧ_j	k	1.0
ʧ	k	1.0
ɲ	ɲ	1.0
ɡ_l	ʤ	1.0
ɡ	ɡ	1.0
ɛ	e	1.0
ə_#>	#>	1.0
ɔ	u	1.0
ŋ_k	k	1.0
ŋ	-	1.0
w_ˈɛ	ˈøː	1.0
v	v	1.0
ũ	ũ	1.0
s_ˈɛ	s_ˈɛ	1.0
s_#>	#>	1.0
s	s	1.0
r_t	r_t	1.0
r_#>	#>	1.0
p	p	1.0
o	-	1.0
n_#>	#>	1.0
m_#>	m_#>	1.0
l_ə	l_a	1.0
k_r	k_r	1.0
k_l	ʧ	1.0
k	k	1.0
j_r_#>	ˈɛ_#>	1.0
j_#>	k_#>	1.0
f_r	f_r	1.0
f_#>	f_#>	1.0
f	f	1.0
e_s	s	1.0
e	-	1.0
d	d	1.0
b	b	1.0
ã	-	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_ʧ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_ã	<#_a	1.0
m	m	0.938
t	t	0.919
r	r	0.902
l_#>	l_#>	0.895
ˈy	ˈyː	0.8
ə	a	0.8
r_ə	e_r	0.8
ˈĩ	ˈĩ	0.75
ʦ	s	0.75
ʤ	ʒ	0.714
n	n	0.692
u	u	0.667
j	-	0.615
ˈã	ˈã	0.6
ˈɔ	ˈɔ	0.571
ˈa	ˈa	0.545
ˈɛ	ˈɛ	0.531
l	j	0.526
ˈẽ	ˈẽ	0.5
ˈẽ	ˈeː	0.5
ˈe	ˈa	0.5
z	ʒ	0.5
z	z	0.5
l	l	0.474
ˈu	ˈu	0.455
ʎ	ʧ	0.444
ˈu	ˈuː	0.364
ˈa	ˈɑː	0.364
w	w	0.364
ˈũ	ˈũ	0.333
ˈi	ˈɛ	0.333
ˈi	ˈi	0.333
ʎ	j	0.333
u	y	0.333
ˈɔ_j	ˈɛ	0.308
ˈɔ_j	ˈeː	0.308
ʤ	d	0.286
w	l	0.273
#>	n_#>	0.273
#>	k_#>	0.273
#>	a_#>	0.273
ˈã	ˈa	0.267
ˈĩ	ˈiː	0.25
ʦ	ʧ	0.25
ˈɔ_j	ˈiː	0.231
n	-	0.231
ˈe	-	0.227
ˈũ	ˈɔ	0.222
ˈũ	ˈu	0.222
ˈũ	-	0.222
ʎ	ˈøː_l	0.222
ˈy	-	0.2
ˈi	ˈiː	0.2
r_ə	ʧ	0.2
ˈɔ	ˈoː	0.19
ˈu	ˈyː	0.182
w	ˈœ	0.182
w	-	0.182
#>	s_#>	0.182
ˈɛ	ˈɑː	0.156
ˈɛ	-	0.156
ˈɔ_j	ˈuː	0.154
ˈɔ	-	0.143
ˈe	ˈɑː	0.136
ˈe	ˈe	0.136
ˈi	j	0.133
ˈã	ˈɑː	0.133
ə	e	0.129
l_#>	#>	0.105
j	e	0.103
ˈɔ	ˈi	0.095
ˈɛ	ˈe	0.094
ˈa	-	0.091
t	ʧ	0.081
n	ã	0.077
j	ˈu	0.077
ˈɛ	ˈɑː_d	0.062
m	-	0.062
r	-	0.059
j	ˈɑː	0.051
j	ˈeː	0.051
j	ɡ	0.051
j	j	0.051
