Piedmontese	Bellunese	probability
ˈə	ˈe	1.0
ˈy	ˈu	1.0
ˈu_r	ˈo_r	1.0
ˈe_j	ˈe	1.0
ˈa	ˈa	1.0
y	u	1.0
w	w	1.0
u	o	1.0
t	t	1.0
s_ˈi	θ_ˈe	1.0
s_ˈa	s_ˈa	1.0
r_ˈa	r_ˈa	1.0
r_t	r_t	1.0
r_s	r_θ	1.0
r_a	r_a	1.0
p	p	1.0
l_a	l_a	1.0
l	l	1.0
k_u	k_o	1.0
j_a	a	1.0
f	f	1.0
dː	d	1.0
b	b	1.0
v	v	0.941
ˈi	ˈi	0.916
k	k	0.913
a	a	0.904
r	r	0.847
n	n	0.806
m	m	0.801
ɡ	ɡ	0.79
d	d	0.748
ˈu	ˈo	0.724
ˈɔ	ˈɔ	0.715
s	s	0.629
ŋ	ŋ	0.628
ɲ	ɲ	0.615
z	z	0.615
j	j	0.597
ʤ	-	0.555
ˈɛ	ˈɛ	0.549
i	i	0.531
ˈɛ_j	ˈe	0.524
ə	e	0.514
ʧ	θ	0.5
ʧ	ʧ	0.5
ˈø	ˈo	0.496
ə	-	0.486
ˈɛ_j	ˈe_l	0.476
i	-	0.469
ˈe	ˈa_r	0.402
ˈɛ	ˈe	0.386
ɲ	-	0.385
z	ð	0.385
ʤ	ð	0.375
ŋ	n	0.372
s	θ	0.371
ˈø	ˈɔ	0.346
e	e_r	0.33
ˈe	ˈe	0.329
d	-	0.252
e	e	0.223
ɡ	ɡ_w	0.21
ˈu	-	0.197
n	ŋ	0.194
e	r	0.174
j	-	0.173
j	ˈe	0.168
e	-	0.159
ˈø	o	0.158
ˈɔ	ˈo	0.152
ˈɔ	-	0.133
ˈe	ˈɛ	0.126
m	-	0.115
e	ˈi_r	0.114
ˈe	j_ˈe	0.09
k	ɡ	0.087
ˈi	-	0.084
r	e	0.084
m	ŋ	0.083
ˈu	d	0.079
ʤ	ʤ	0.07
r	o	0.069
ˈɛ	j_ˈe	0.065
j	r	0.062
v	-	0.059
a	-	0.055
ˈe	-	0.053
