Piedmontese	Gascon	probability
ˈɛ_j	ˈe	1.0
ˈə	ˈe	1.0
ˈe_j	ˈe	1.0
ˈa_t	ˈa_t	1.0
ɲ	ɲ	1.0
ə	-	1.0
ŋ_a	ɔ	1.0
y_f	f	1.0
v_a	ɔ	1.0
s_ˈi	s_ˈe	1.0
s_ˈa	s_ˈa	1.0
s_k	s_k	1.0
s_e	ʃ_e	1.0
p	p	1.0
l	l	1.0
k	k	1.0
j_ˈa	ˈa	1.0
f	h	1.0
dː	ð	1.0
ˈa	ˈa	0.973
m	m	0.955
ˈy	ˈy	0.883
ˈi	ˈi	0.867
t	t	0.864
n	n	0.851
e	e	0.842
w	w	0.788
s	s	0.778
u	u	0.758
a	ɔ	0.725
ˈu	ˈu	0.708
ɡ	ɡ	0.624
ŋ	ŋ	0.612
b	b	0.602
r	ɾ	0.593
v	β	0.548
ʤ	ʒ	0.537
d	d	0.519
ˈø	w_ˈe	0.511
ˈɛ	ˈɛ	0.506
ʧ	s	0.5
ʧ	k_l	0.5
ˈɛ	ˈe	0.494
ˈe	ˈe	0.46
v	b	0.452
ˈɔ	ˈɔ	0.446
i	e	0.401
ɡ	ɣ	0.376
r	r	0.366
i	i	0.363
z	ʦ	0.344
ˈe	ˈɛ	0.338
d	ð	0.338
j	ʎ	0.337
z	z	0.33
z	-	0.326
ŋ	n	0.319
ʤ	-	0.318
j	l	0.272
ˈɔ	ˈa_w	0.27
b	β	0.264
a	a	0.247
i	ˈe	0.236
ˈø	-	0.219
w	-	0.212
ˈø	ˈɔ	0.196
j	-	0.18
ˈu	ˈy	0.174
j	j	0.156
n	-	0.149
ˈɔ	-	0.147
ʤ	ɡ_l	0.145
d	ʤ	0.143
ˈɔ	ˈu	0.137
b	-	0.134
s	ʃ	0.131
ˈe	ˈe_j	0.129
u	a	0.121
u	-	0.12
ˈy	ˈu	0.117
ˈi	ˈe	0.092
s	-	0.091
ˈu	ˈɔ	0.087
e	s	0.081
e	-	0.076
t	-	0.075
ˈø	ˈa	0.074
ˈe	ˈi	0.073
ŋ	-	0.069
t	j_t	0.061
j	w	0.055
