Phone1	Phone2	PMI
v_ˈa	v_ˈa	10.798
ˈa_ɲ	ˈɐ_ɲ	10.676
a_v	ɐ_β	10.425
r_t	ɾ_t	10.391
r_d	ɾ_ð	10.19
<#_ˈa	<#_ˈa	9.993
e_#>	j_#>	9.475
s_t	ʃ_t	9.363
<#_ˈø	<#_ˈo	9.363
<#_t	<#_t	9.283
ˈɔ_r	ˈo_ɾ	9.261
<#_u	ɔ	9.26
k_u	k_u	9.121
ˈɛ_j	ˈe_l	8.784
<#_n	<#_n	8.221
<#_l	<#_l	7.995
ˈø	<#_ˈo	7.862
z_#>	ʃ_#>	7.858
ŋ_#>	w̃_#>	7.749
m_#>	m_ɨ_#>	7.562
u	ɔ	7.48
n	<#_n	7.46
ˈa_t	ˈa_t	7.342
ˈɛ_k	ˈe_k	7.296
z	ʃ_#>	7.261
ɲ	ɲ	6.999
l	<#_l	6.892
v_a	v_ɐ	6.828
ʤ	ʒ	6.812
ˈu_s	ˈo_ʃ	6.805
ɡ	ɡ	6.742
t	<#_t	6.736
a_r	ɐ_ɾ	6.691
r_b	ɾ_v	6.683
b	b	6.682
<#_r	<#_ʁ	6.672
s_a	s_ɐ	6.472
f	f	6.415
s_#>	s_u_#>	6.381
ˈy	ˈu	6.367
ˈa	<#_ˈa	6.258
ŋ_#>	w̃	6.256
d	d	6.214
e	j_#>	6.154
a_d	ɐ_ð	6.119
e_r	ɨ_ɾ	6.055
<#_n	n	5.998
w	w	5.944
m_#>	m	5.918
m	m	5.918
ˈa_ŋ	ˈɐ_n	5.82
l_#>	ɫ_#>	5.802
r_#>	ɾ_u_#>	5.799
p	p	5.726
<#_l	l	5.659
ˈu	ˈõ	5.582
ɲ	ˈɐ_ɲ	5.539
n	n	5.519
ˈi	ˈi	5.45
ŋ	w̃_#>	5.417
ˈi	ˈĩ	5.395
e_#>	j	5.391
v	v	5.333
<#_ˈø	ˈo	5.314
<#_t	t	5.281
w	ɫ	5.272
k	k	5.27
s_#>	s	5.267
<#_ˈa	ˈa	5.267
ɡ	ɣ	5.149
l	l	5.141
t	t	5.111
z_#>	ʃ	5.07
ˈɛ	ˈɛ	5.042
v	β	4.97
j	ʎ	4.907
ˈø	ˈo	4.823
ˈɛ	ˈẽ	4.776
s	s	4.7
ˈɔ	ˈo	4.689
m	m_ɨ_#>	4.681
<#_r	ʁ	4.66
ˈɔ	ˈɔ	4.619
ˈu	ˈɔ	4.603
z	ʃ	4.594
l	ɫ	4.443
ˈø	ˈɔ	4.378
ˈa	ˈa	4.378
ˈe	ˈa	4.308
ˈɛ	ˈe	4.294
ˈa	ˈɐ̃	4.27
ˈu_ŋ	ˈõ	4.218
k_#>	k_u_#>	4.2
l	ɫ_#>	4.106
j_#>	ʎ	4.093
i	i	4.047
ˈɔ	ˈo_ɾ	4.015
ŋ	ˈõ	4.005
l_#>	ɫ	3.981
ˈe	ˈɛ	3.971
ŋ	ɲ	3.944
a_v	β	3.942
a	ɐ	3.93
ŋ	w̃	3.925
r	<#_ʁ	3.875
e	ˈe	3.851
j_#>	ʎ_u_#>	3.848
r_#>	ɾ	3.842
d	ð	3.84
e	ˈi_ɾ	3.826
ˈu	ˈo	3.819
ˈɛ_ŋ	ˈẽ	3.787
e_r	ɾ_ɨ	3.769
r	ɾ	3.68
d_ˈi	d_ˈe	3.637
u	ɐ̃	3.588
d	ɾ_ð	3.585
ˈu_l	ˈɔ_ɫ	3.572
l_#>	u_#>	3.558
f_r	f_ɾ	3.547
u	k_u	3.546
j	j	3.544
s	ʃ	3.508
ˈe_#>	ɾ_#>	3.485
s_ˈi	s_ˈĩ	3.479
k_#>	k	3.472
ˈe	ˈa_ɾ	3.451
p	<#_ʃ	3.439
ˈa_ɲ	ɲ	3.399
ŋ	ˈẽ	3.363
v	v_ˈa	3.357
r_ˈɛ	ɾ_ˈe	3.352
k_r	k_ɾ	3.352
ˈu_z	ˈɔ_ʃ	3.335
k_ˈɔ	k_ˈɔ	3.331
j_t	j_t	3.331
u	u	3.318
ˈe	ˈa_ɣ	3.255
ˈe	ˈɐ	3.241
ˈɛ	ˈe_l	3.237
ˈɛ_r	ˈɛ_ɾ	3.2
e	ɨ	3.169
<#_ˈɔ	<#_ˈo	3.124
v	ɐ_β	3.108
ʧ	<#_ʃ	3.072
ʤ	<#_ʒ	3.052
r_a	ɾ_ɐ	3.05
r	ɾ_u_#>	2.992
s	s_u_#>	2.982
j	ˈe_l	2.982
n_ˈa	n_ɐ	2.979
j	ˈe	2.931
ˈu	ˈɔ_ʃ	2.925
ʧ	ʃ	2.92
<#_m	<#_m	2.904
ˈa	v_ˈa	2.878
t	ɾ_t	2.853
ˈa	ˈɐ	2.807
<#_v	<#_v	2.778
ˈa	ˈɐ_ɲ	2.756
t	ʃ_t	2.715
<#	<#	2.682
#>	#>	2.682
ˈa_ɲ	ˈɐ	2.665
e	ˈe_ɾ	2.617
m	<#_m	2.57
e	ˈi	2.546
r_#>	u	2.532
r	ɾ_ð	2.513
ˈi_ŋ	ˈĩ	2.474
s	i_ʃ	2.431
<#	<#_l	2.419
<#	<#_ʁ	2.415
ˈu	ˈu	2.405
