Phone1	Phone2	Surprisal	OOV_Smoothed
#>	e_#>	1.563	4.801
#>	r_e_#>	1.563	4.801
#>	ə_#>	2.437	4.801
#>	w_#>	4.437	4.801
<#_a	<#	0.0	4.801
<#_l	<#_l	0.0	4.801
<#_m	<#_m	0.0	4.801
<#_n	<#_n	0.0	4.801
<#_r	<#_r	0.0	4.801
<#_t	<#_t	0.415	4.801
<#_t	<#_ʦ	2.0	4.801
<#_ˈa	<#_ˈa	0.0	4.801
<#_ˈø	<#_ˈo	0.0	4.801
a	ə	0.382	4.801
a	e	2.619	4.801
a	-	3.841	4.801
a_#>	#>	0.0	4.801
a_n	i_n	0.0	4.801
b	b	0.222	4.801
b	f_r	2.807	4.801
d	d	0.585	4.801
d	z	2.263	4.801
d	-	3.0	4.801
dː	d_ˈe	0.0	4.801
e	e	0.759	4.801
e	-	2.459	4.801
e	ˈi	2.874	4.801
e	r_e	3.459	4.801
f	f	0.138	4.801
f	-	3.459	4.801
i	-	0.585	4.801
i	i	1.585	4.801
j	j	2.222	4.801
j	l	2.222	4.801
j	r	2.222	4.801
j	-	2.807	4.801
j	kʲ	2.807	4.801
j	e	3.807	4.801
j_a	e	0.0	4.801
j_t	p_t	0.0	4.801
k	k	0.147	4.801
k	ʧ	3.369	4.801
l	l	0.415	4.801
l	e	2.0	4.801
l_#>	r_#>	0.585	4.801
l_#>	r_e_#>	1.585	4.801
m	m	0.263	4.801
m	-	2.585	4.801
m_#>	m_e_#>	0.0	4.801
n	n	0.341	4.801
n	-	3.248	4.801
n	i	3.248	4.801
n_#>	n_e_#>	0.0	4.801
p	p	0.0	4.801
r	r	0.282	4.801
r	r_u	4.492	4.801
r	r_ə	4.492	4.801
r	u	4.492	4.801
r	ə	4.492	4.801
r_a	r_ə	0.0	4.801
s	s	1.0	4.801
s	ʧ	2.585	4.801
s	ʃ	3.263	4.801
s	ʦ	3.263	4.801
s	ʃ_t	3.585	4.801
s	t	4.585	4.801
s_#>	s_#>	0.0	4.801
t	t	0.337	4.801
t	p_t	2.263	4.801
t_#>	t_#>	0.0	4.801
u	u	0.807	4.801
u	-	1.807	4.801
u	o	2.807	4.801
v	v	1.115	4.801
v	-	2.115	4.801
v	p	2.7	4.801
v	e	3.7	4.801
v	z_b	3.7	4.801
v_#>	w_#>	0.0	4.801
w	l	0.737	4.801
w	-	1.322	4.801
y	u	0.0	4.801
z	-	1.0	4.801
z	ʤ	1.0	4.801
z_#>	ʧ_e_#>	0.585	4.801
z_#>	#>	1.585	4.801
ŋ	n	0.202	4.801
ŋ	ŋ	3.524	4.801
ŋ	nʲ	4.524	4.801
ŋ_#>	n_#>	0.0	4.801
ə	-	0.0	4.801
ɡ	ɡ	0.678	4.801
ɡ	-	1.415	4.801
ɲ	m_n	0.0	4.801
ʤ	ʤ	1.0	4.801
ʤ	ɡ	2.0	4.801
ʤ	ʒ	2.0	4.801
ʧ	-	0.0	4.801
ˈa	ˈa	0.962	4.801
ˈa	ˈɨ	2.04	4.801
ˈa	-	3.209	4.801
ˈa	ˈɨ_j	3.624	4.801
ˈa	ˈa_t	4.209	4.801
ˈe	ˈa	1.051	4.801
ˈe	ˈe	1.688	4.801
ˈe	e̯ˈa	2.858	4.801
ˈe	ˈi	3.858	4.801
ˈi	ˈi	0.72	4.801
ˈi	-	3.222	4.801
ˈi	ˈe	3.222	4.801
ˈi	ˈi_k	3.222	4.801
ˈi	e	3.807	4.801
ˈu	ˈu	0.784	4.801
ˈu	o̯ˈa	2.369	4.801
ˈu	ˈo	2.632	4.801
ˈu	ˈo_j	3.954	4.801
ˈy	ˈu	0.241	4.801
ˈy	-	2.7	4.801
ˈø	o̯ˈa	1.415	4.801
ˈø	ˈo	1.415	4.801
ˈø	-	2.0	4.801
ˈø_#>	ˈo_k_#>	0.0	4.801
ˈɔ	ˈo	1.248	4.801
ˈɔ	o̯ˈa	1.663	4.801
ˈɔ	ˈu	2.663	4.801
ˈɔ	ˈau̯	3.248	4.801
ˈɛ	ˈe	1.585	4.801
ˈɛ	j_ˈe	2.1	4.801
ˈɛ	ˈi	2.907	4.801
ˈɛ	j_ˈa	3.322	4.801
ˈɛ	-	3.907	4.801
ˈɛ	e̯ˈa	3.907	4.801
ˈɛ	ˈa	3.907	4.801
ˈɛ_l	u_m	0.0	4.801
ˈɛ_ŋ	ˈi	0.0	4.801
