Phone1	Phone2	PMI
ˈi_ɐ	ˈi_ɐ	11.303
ɾ_ˈa	ɾ_ˈa	11.303
u_s	u_s	11.303
u_m	u_m	11.303
p_ɾ	p_ɾ	11.303
j_ˈa	j_ˈa	11.303
j_u	j_u	10.97
ˈo_ɐ	ˈo_ɐ	10.913
p_u	p_u	10.913
k_ɾ	k_ɾ	10.913
j_ɐ	j_ɐ	10.913
ˈɨ	ˈɨ	10.787
ˈi_ɾ	ˈi_ɾ	10.718
ˈi_u	ˈi_u	10.718
ɾ_m	ɾ_m	10.718
t_ɐ	t_ɐ	10.472
ĩ	ĩ	10.453
ʃ_u	ʃ_u	10.441
ɾ_t	ɾ_t	10.441
v_ɐ	v_ɐ	10.441
ẽ	ẽ	10.12
ɐ_ʃ	ɐ_ʃ	10.088
ɾ_ɨ	ɾ_ɨ	9.893
ɾ_ɐ	ɾ_ɐ	9.718
u_ɾ	u_ɾ	9.657
ɐ_ɾ	ɐ_ɾ	9.644
ˈũ	ˈũ	9.592
ɔ	ɔ	9.063
ˈĩ	ˈĩ	8.818
ɾ_u	ɾ_u	8.686
ɐ̃	ɐ̃	8.572
j̃	j̃	8.29
z	z	8.128
ˈẽ	ˈẽ	8.063
ˈõ	ˈõ	7.851
ɫ	ɫ	7.623
ɡ	ɡ	7.577
ˈu_ɐ	ˈu_ɐ	7.539
ɨ_v	ɨ_v	7.539
ɐ_m	ɐ_m	7.539
p_ɨ	p_ɨ	7.539
ɐ_ˈi	ɐ_ˈi	7.535
u_ʃ	u_ʃ	7.535
ɾ_v	ɾ_v	7.532
ɣ_ɾ	ɣ_ɾ	7.532
j_ɾ	j_ɾ	7.532
w̃	w̃	7.52
β	β	7.428
ɾ_ˈɐ̃	ɾ_ˈɐ̃	7.344
ɨ_ɾ	ɨ_ɾ	7.344
ɾ_k	ɾ_k	7.34
v_ˈa	v_ˈa	7.337
ʁ	ʁ	7.331
b	b	7.323
ʒ	ʒ	7.249
õ	õ	7.188
ʃ_ɐ	ʃ_ɐ	7.145
ʃ_ˈa	ʃ_ˈa	7.142
w	w	7.02
ʎ	ʎ	7.015
v_u	v_u	7.01
i	i	6.946
t_ɾ	t_ɾ	6.899
ɲ	ɲ	6.882
d	d	6.825
ɣ	ɣ	6.73
f	f	6.618
ˈɐ̃	ˈɐ̃	6.554
ˈɛ	ˈɛ	6.54
o	o	6.521
ˈu	ˈu	6.43
ð	ð	6.398
ˈɔ	ˈɔ	6.352
n	n	6.287
ˈɐ	ˈɐ	6.23
ˈi	ˈi	5.964
ˈe	ˈe	5.949
p	p	5.834
m	m	5.728
l	l	5.705
j	j	5.674
ˈo	ˈo	5.55
v	v	5.528
t	t	5.361
ʃ	ʃ	5.317
ɨ	ɨ	5.298
k	k	5.295
