Phone1	Phone2	PMI
ˈɐ_ɲ	ˈa_ɲ	10.613
ˈɛ_ʃ	ˈɛ_s	10.213
ɐ_ð	a_d	10.019
ʃ_k	s_k	9.829
ɾ_m	ʀ_m	9.815
ɾ_ɐ	ɾ_ɔ	9.669
<#_ˈa	<#_ˈa	9.608
<#_ˈo	<#_ɥ	9.511
<#_ɡ	<#_ɡ	9.447
<#_ɐ	<#_a	9.416
ʎ_ɐ	j_ɔ	9.373
s_ɨ	s_e	9.309
ɡ	<#_ɡ	9.002
i	<#_e	8.755
<#_i	<#_e	8.755
<#_t	<#_t	8.71
<#_d	<#_d	8.475
d	<#_d	8.183
<#_l	<#_l	7.844
ˈo_w	ˈa_w	7.828
z	z	7.673
ɾ_ɨ	ɾ_e	7.659
<#_ʁ	<#_ʀ	7.636
ʃ_#>	s_#>	7.587
<#_s	<#_s	7.368
ʁ	<#_ʀ	7.359
v_ˈɔ	v_ˈu	7.258
ɔ	<#_u	7.23
<#_ɔ	<#_u	7.23
l	<#_l	7.073
k_u	k_u	7.071
ˈi_ɲ	ˈi_n	7.056
n_ɐ	n_ˈa	6.99
ˈẽ	ˈẽ	6.941
p_ˈe	p_ˈe	6.903
ɾ_k	ʀ_k	6.881
ˈe_k	ˈe_k	6.876
ɲ	ɲ	6.829
ʃ_p	s_p	6.809
v_ɐ	b_ɔ	6.785
ɾ_ˈa	ɾ_ˈa	6.764
s_ˈa	s_ˈa	6.764
ˈu	ˈy	6.655
ʒ	ʤ	6.647
<#_ɡ	ɡ	6.617
ð_ɐ	d_ɔ	6.611
ɾ_ˈe	ɾ_ˈe	6.599
ˈo	<#_ɥ	6.586
t	<#_t	6.571
ˈa	<#_ˈa	6.533
<#_ˈo	ɥ	6.365
f	f	6.363
s	<#_s	6.338
j_t	ˈe_ʧ	6.291
ˈɐ̃	ˈã	6.27
ˈõ	ˈũ	6.269
ˈa	ˈa_#>	6.209
ɡ	ɡ	6.172
<#_ɐ	a	6.151
ʃ	s_#>	6.089
b	b	6.082
p	p	5.916
<#_d	d	5.906
ˈi	ˈi	5.874
ˈɛ	ˈɛ	5.808
<#_m	<#_m	5.708
m	m	5.702
<#_t	t	5.699
v	v	5.633
ˈũ	ˈỹ	5.632
w_ɐ	ɡ_ɔ	5.622
n	n	5.622
d	d	5.615
β	b	5.527
ɣ	ɡ	5.51
<#_l	l	5.304
ˈĩ	ˈĩ	5.219
ɲ	ˈa_ɲ	5.217
ʎ	j_ɔ	5.153
k	k	5.053
t	t	5.025
l	l	5.01
ɐ	<#_a	4.962
w	ɡ_ɔ	4.921
m	<#_m	4.886
ð	d	4.856
ˈo	ɥ	4.848
ˈɐ	ˈa_ɲ	4.786
ˈa	ˈa	4.781
<#_ˈa	ˈa	4.781
ɾ_u	ɾ_e	4.703
i	e	4.684
<#_i	e	4.684
s	s	4.58
<#_s	s	4.58
ˈi	ˈi_#>	4.523
ʎ	j	4.516
ˈũ	ˈỹ_ŋ	4.474
t	ʧ	4.432
ˈo	ˈu	4.426
ɔ	u	4.394
<#_ɔ	u	4.394
u	y	4.34
ˈa_ɾ_#>	ˈa_#>	4.332
ɐ	ɔ	4.137
ʁ	ʀ	4.136
<#_ʁ	ʀ	4.136
ð	a_d	4.115
ˈu	ˈỹ	4.096
ˈe	ˈe	4.096
ʃ	s	4.077
ˈɐ_ɲ	ɲ	4.073
ˈõ	ˈẽ	4.026
