Provençal	Asturian	probability
ˈɛ_j	ˈe_j	1.0
ˈỹ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈe_n	n	1.0
ˈe_#>	u_#>	1.0
ˈã	ˈa	1.0
ˈa_w	ˈo	1.0
ʧ	ʧ	1.0
ʤ	ʃ	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_ɔ	ɾ_a	1.0
ɾ_e	ˈe_ɾ	1.0
ɾ	ɾ	1.0
ɲ	ɲ	1.0
z_ˈa	s	1.0
z	θ	1.0
y	u	1.0
w_#>	u_#>	1.0
v_ˈa	β_ˈa	1.0
s_ˈe	s_ˈe	1.0
s_k	s_k	1.0
s_#>	θ_#>	1.0
p_l	ʎ	1.0
p_e	p_j	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l_e	ʎ_e	1.0
k_ɾ	k_ɾ	1.0
k_l	ʎ	1.0
j_ɾ	ð_ɾ	1.0
i	e	1.0
f	f	1.0
ẽ	e	1.0
b_ˈɛ	f_e	1.0
b_w	b_ˈo	1.0
ã	a	1.0
a	a	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_e	<#_e	1.0
<#_a	<#_a	1.0
<#	<#_ɡ	1.0
ɔ	a	0.964
ˈa	ˈa	0.911
ˈi	ˈi	0.909
t	t	0.905
ˈu	ˈo	0.9
ˈe	ˈe	0.889
k	k	0.86
v	b	0.81
ˈy	ˈu	0.8
s	s	0.783
e_#>	#>	0.75
u	o	0.733
<#_ˈa	<#_ˈa	0.667
<#_s	<#_s	0.667
ˈɛ	j_ˈe	0.65
l	ʎ	0.625
e	e	0.615
ˈũ	ˈo	0.556
b	β	0.526
ɡ	ɣ	0.5
ɡ	ɡ	0.5
j_#>	ʝ_u_#>	0.5
j_#>	s_#>	0.5
b	b	0.474
ˈẽ	j_ˈe	0.462
d	d	0.458
#>	u_#>	0.455
ˈũ	ˈu	0.444
ɥ	w	0.444
d	ð	0.417
j	ʝ	0.375
ŋ	ŋ	0.341
w	w	0.34
ɥ	ɡ_w	0.333
<#_ˈa	<#	0.333
<#_s	<#_θ	0.333
#>	ɾ_#>	0.325
ʀ	ɾ	0.318
ˈẽ	ˈe	0.308
u	u	0.267
l	l	0.25
j	ˈe	0.25
e_#>	ɾ_#>	0.25
ˈẽ	n	0.231
ɥ	ˈu	0.222
ŋ	n_t	0.22
s	θ	0.217
w	ˈo	0.208
e	u	0.205
ˈɛ	ˈe	0.2
ˈy	-	0.2
v	β	0.19
j	j	0.188
j	-	0.188
#>	e_#>	0.182
ŋ	n_u	0.171
ŋ	n	0.171
w	l	0.151
ˈɛ	j	0.15
ʀ	ɾ_t	0.136
d	-	0.125
ˈu	l	0.1
t	-	0.095
ˈi	ɾ	0.091
ʀ	ˈe_ɾ	0.091
ʀ	ˈe	0.091
ʀ	ɾ_u	0.091
ʀ	ɾ_n	0.091
ʀ	u	0.091
ʀ	r	0.091
e	o	0.077
k	ɣ_u	0.07
k	ɡ	0.07
ˈe	-	0.067
l	ˈe	0.062
l	-	0.062
w	β_u	0.057
w	β_e	0.057
w	ʎ_u	0.057
w	l_u	0.057
e	ˈe	0.051
e	o_s	0.051
