Québécois French	Québécois French	probability
ʦ	t	1.0
ʣ	d	1.0
ʏ	ˈu	1.0
ʊ	ˈɔ	1.0
ʁ_æɛ̯	r_ˈa	1.0
ɲ	ɲ	1.0
ɪ	ˈi	1.0
ɡ	ɡ	1.0
ɛɪ̯	ˈe_s	1.0
ɛ_ʁ	d_e	1.0
ɛ_z	ʧ	1.0
ɛ_t	ˈe_tː	1.0
ɛ_#>	#>	1.0
ɑɔ̯_ʁ	r	1.0
ɑɔ̯	ˈɔ	1.0
ɑ	-	1.0
œ̃ʏ̯̃	ˈu_n	1.0
œ_f	ˈɔ_v	1.0
y	ˈu	1.0
w_ɛ	ˈɛ	1.0
u_f	fː	1.0
p	p	1.0
n_#>	n_a_#>	1.0
m_#>	m_a_#>	1.0
k_l	c	1.0
i_ʁ	e	1.0
f	f	1.0
e_k	s_k	1.0
e_#>	ˈa_#>	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
m	m	0.962
b	b	0.941
k	k	0.875
v	v	0.852
d	d	0.833
ʒ	ɟ	0.75
n	n	0.714
ʁ	r	0.658
ʃ	k	0.619
ɥ	ˈo	0.6
t	t	0.6
aœ̯	ˈɔ	0.6
s	s	0.564
a	a	0.526
u	ˈɔ	0.5
o	ˈɔ_sː	0.5
o	ˈɔ	0.5
<#	<#_ˈo	0.5
<#	<#_o	0.5
#>	u_#>	0.497
j	-	0.474
ɒ̃ʊ̯̃	ˈo_n	0.455
i	ˈi	0.444
ã	ˈɛ_n	0.438
w	ˈɛ	0.435
l	l	0.424
ɥ	ˈu	0.4
ɔ	ˈɔ	0.4
øʏ̯	u	0.4
aœ̯	ˈo	0.4
æɛ̯	ˈa	0.387
ẽɪ̯̃	ˈa_n	0.368
a	ˈa	0.368
ɒ̃ʊ̯̃	ˈɔ_n	0.364
oʊ̯	ˈa_l	0.357
e	ˈa	0.308
ɔ	ˈo	0.3
ɔ	u	0.3
œ	-	0.286
oʊ̯	ˈe_lː	0.286
n	-	0.286
l	j	0.273
t	s_t	0.267
j	ʎ	0.263
ẽɪ̯̃	ˈi_n	0.263
#>	e_#>	0.254
ʒ	-	0.25
ʃ	k_a	0.238
ɛ	ˈɛ	0.238
ɛ	e	0.238
e	e	0.231
œ	ˈɛ	0.214
œ	a	0.214
oʊ̯	ˈɛ_lː	0.214
ẽɪ̯̃	ɲ_u	0.211
s	ʧ	0.205
#>	a_#>	0.201
øʏ̯	ˈɔ_k	0.2
øʏ̯	ˈɔ_d	0.2
øʏ̯	ˈo_k	0.2
æɛ̯	ˈɛ	0.194
ɛ	ˈe	0.19
ã	ˈa_n	0.188
ɒ̃ʊ̯̃	u_n	0.182
l	lː_a	0.182
w	ˈu	0.174
w	-	0.174
i	tː_u	0.167
i	i	0.167
d	-	0.167
j	ˈe	0.158
ẽɪ̯̃	n	0.158
e	ˈa_z	0.154
e	u	0.154
e	s	0.154
v	p	0.148
ʃ	kː_a	0.143
œ	ˈɔ	0.143
œ	ˈo	0.143
oʊ̯	ˈɔ	0.143
t	tː	0.133
w	ˈɔ_ʧ	0.13
u	ˈɔ_j	0.125
u	ˈɔ_c	0.125
u	ˈu_tː	0.125
u	u	0.125
k	k_w	0.125
ã	ˈa_ŋ	0.125
ã	ˈa	0.125
ã	n	0.125
l	lː	0.121
i	ʦː_u	0.111
i	-	0.111
j	c	0.105
a	w_ˈa	0.105
æɛ̯	e	0.097
ɛ	k_a	0.095
ɛ	a	0.095
ɛ	-	0.095
w	i	0.087
s	-	0.077
æɛ̯	ˈɛ_rː	0.065
æɛ̯	ˈa_t	0.065
æɛ̯	r	0.065
æɛ̯	i	0.065
æɛ̯	a	0.065
ʁ	e_r	0.063
ʁ	e	0.063
b	bː	0.059
ʁ	-	0.051
s	ʧː	0.051
s	ʦ	0.051
s	a	0.051
