Phone1	Phone2	Surprisal	OOV_Smoothed
#>	u_#>	1.214	5.109
#>	ɐ_#>	1.667	5.109
#>	ɨ_#>	2.5	5.109
#>	ʃ_#>	3.692	5.109
<#_a	<#	1.0	5.109
<#_a	<#_ɐ	1.0	5.109
<#_b	<#_b	0.0	5.109
<#_d	<#_d	0.0	5.109
<#_e	<#_i	0.0	5.109
<#_f	<#_f	0.126	5.109
<#_f	<#	3.585	5.109
<#_k	<#_k	0.0	5.109
<#_l	<#_l	0.0	5.109
<#_m	<#_m	0.0	5.109
<#_n	<#_n	0.0	5.109
<#_oʊ̯	<#_ˈa	0.0	5.109
<#_p	<#_p	0.111	5.109
<#_p	<#	3.755	5.109
<#_s	<#_s	0.0	5.109
<#_t	<#_t	0.0	5.109
<#_v	<#_v	0.0	5.109
<#_æɛ̯	<#_ɐ_ʒ	0.0	5.109
<#_œ	<#_ˈo	0.0	5.109
<#_ɡ	<#_ɡ	0.0	5.109
<#_ʁ	<#_ʁ	0.0	5.109
<#_ʃ	<#_k	0.0	5.109
<#_ʒ	<#_ʒ	0.379	5.109
<#_ʒ	<#	2.115	5.109
<#_ʣ	<#_d	0.0	5.109
a	ɐ	1.152	5.109
a	ˈa	1.737	5.109
a	ˈɐ	2.737	5.109
a	w_ˈa	3.322	5.109
aœ̯	ˈɔ	0.0	5.109
ã	ˈẽ_t	0.848	5.109
ã	ɐ̃	2.17	5.109
ã	ɡ	2.17	5.109
ã_t	ˈẽ_t	0.0	5.109
d	ð	0.0	5.109
e	ˈa_ð	0.737	5.109
e	ˈi	1.322	5.109
e_#>	ˈa_ɾ_#>	0.0	5.109
ẽɪ̯̃	ɲ	1.441	5.109
ẽɪ̯̃	ˈɐ̃_w̃	1.441	5.109
ẽɪ̯̃	t	2.663	5.109
ẽɪ̯̃	ˈĩ	3.248	5.109
ẽɪ̯̃_#>	#>	0.0	5.109
f	v	0.0	5.109
i	ˈɐ_j	2.0	5.109
i	i	2.737	5.109
i	j_t	2.737	5.109
i	ˈi_ɣ	2.737	5.109
i	s	3.322	5.109
i	v	3.322	5.109
i	ˈi	3.322	5.109
i_v	ˈi_v	0.0	5.109
i_ʁ	ˈe_ɾ	0.0	5.109
j	ʎ	1.17	5.109
j	-	2.585	5.109
j	j_ʎ	2.585	5.109
j	j	3.17	5.109
j	ˈɛ	3.17	5.109
j_ɛ	ˈɛ	0.0	5.109
k	k	0.0	5.109
l	l	0.766	5.109
l	ʃ	2.087	5.109
l	-	2.503	5.109
l_#>	ɫ_#>	0.585	5.109
l_#>	#>	1.585	5.109
l_aœ̯	ˈo	0.0	5.109
m	m	0.0	5.109
n	-	1.322	5.109
n	n	1.322	5.109
n	ɲ	2.322	5.109
n_#>	ɐ_#>	0.0	5.109
o	ˈɔ	0.0	5.109
oʊ̯	ˈɛ_l	0.848	5.109
oʊ̯	ˈa_ɫ	2.17	5.109
oʊ̯	ˈo_w	2.17	5.109
p	ʃ_p	0.0	5.109
s	s	0.515	5.109
s	-	1.737	5.109
s_#>	ɐ_#>	0.0	5.109
t	t	1.263	5.109
t	ʃ_t	1.585	5.109
t	s	2.0	5.109
t_#>	t_ɐ_#>	0.0	5.109
t_ʁ	t_ɾ	0.0	5.109
u	ˈo	0.737	5.109
u	u	1.322	5.109
u_#>	ˈɔ_ʃ_#>	0.0	5.109
v	v	0.0	5.109
v_ʁ	β_ɾ	0.0	5.109
w	ˈi	2.503	5.109
w	ˈu	2.503	5.109
w	ˈɐ	2.503	5.109
w	-	3.087	5.109
w	t	3.087	5.109
w	ˈɔ	3.087	5.109
w	ˈɨ	3.087	5.109
w_ɛ	ˈe	0.322	5.109
w_ɛ	ˈe_ð	2.322	5.109
y	ˈu	0.0	5.109
z	z	0.0	5.109
æɛ̯	ˈa	1.766	5.109
æɛ̯	ˈɛ	1.766	5.109
æɛ̯	ˈɐ_j	2.503	5.109
æɛ̯	ɨ	3.087	5.109
æɛ̯	ˈe	3.087	5.109
æɛ̯_n_#>	ˈɐ̃_#>	0.0	5.109
æɛ̯_ʁ	ɨ_ɾ	1.0	5.109
æɛ̯_ʁ	ˈa_ɾ	1.0	5.109
øʏ̯	ˈo_ɣ	0.0	5.109
œ	ˈɔ	1.322	5.109
œ	-	2.322	5.109
œ	ɨ	2.322	5.109
œ	ˈo	2.322	5.109
œ_#>	#>	0.0	5.109
œ_m	ɨ_m	0.0	5.109
ɑɔ̯_ʁ	ˈo_ɾ	1.17	5.109
ɑɔ̯_ʁ	u_ɾ	1.585	5.109
ɑɔ̯_ʁ	ˈɔ_ɾ_t	2.17	5.109
ɒ̃ʊ̯̃	ˈɐ̃_w̃	0.0	5.109
ɒ̃ʊ̯̃_#>	ˈõ_#>	0.0	5.109
ɔ	ˈo	0.485	5.109
ɔ	u	1.807	5.109
ɛ	ˈa	1.459	5.109
ɛ	ˈe	1.459	5.109
ɛ	ˈɛ	1.874	5.109
ɛ_#>	ʃ_#>	1.17	5.109
ɛ_#>	#>	1.585	5.109
ɛ_#>	j_#>	2.17	5.109
ɛɪ̯	ˈɛ_ʃ	0.0	5.109
ɡ	ɣ	0.0	5.109
ɥ	ˈo	0.848	5.109
ɥ	ˈu	1.17	5.109
ɪ	ˈi	0.0	5.109
ɪ_n	ˈi_ɲ	0.0	5.109
ɲ	ɲ	0.0	5.109
ʁ	ɾ	0.165	5.109
ʁ	ʁ	3.209	5.109
ʁ_#>	ɾ_#>	0.617	5.109
ʁ_#>	ˈe_ɾ_#>	1.939	5.109
ʁ_#>	#>	3.524	5.109
ʁ_b	ɾ_v	0.0	5.109
ʁ_æɛ̯	ɾ_ˈɐ	0.0	5.109
ʃ	k_ɐ	0.0	5.109
ʊ	ˈo	0.0	5.109
