Phone1	Phone2	PMI
<#_e	<#_e	9.737
<#_w	<#_o	9.285
ɛ_#>	j_#>	9.227
y_ʁ	ˈu_r	9.177
w_ẽɪ̯̃	ˈu_n	9.023
<#_t	<#_t	8.813
ɒ̃ʊ̯̃_#>	ˈo_#>	8.734
<#_n	<#_n	8.706
l_#>	l_#>	8.496
ɛɪ̯	ˈe_s	7.983
i_ʁ	ˈi_r	7.796
ẽɪ̯̃_#>	ˈa_#>	7.771
ɒ̃ʊ̯̃	ˈo_#>	7.642
<#_l	<#_ʎ	7.639
<#_ʁ	<#_r	7.564
ẽɪ̯̃_#>	ˈi_#>	7.538
o	ˈɒ_s	7.505
ɛ_ʁ	w_ɾ	7.497
n	<#_n	7.399
e	<#_e	7.355
a_l	a_l	7.194
t	<#_t	7.183
ɡ	ɡ	7.066
æɛ̯_ʁ	ˈæ_r	7.029
ẽɪ̯̃	ˈa_#>	6.989
b	b	6.852
v_a	v_ˈa	6.804
ɛ	j_#>	6.786
ẽɪ̯̃	ˈi_#>	6.756
ɛ_#>	w_#>	6.641
ʣ	d	6.577
d	d	6.577
œ_f	ˈɒ_w	6.516
øʏ̯	ˈɒ_k	6.389
<#_a	<#_a	6.347
y	ˈu_r	6.267
ɛ_#>	j	6.224
ʒ	ʤ	6.181
ʊ	ˈo	6.116
s_ɛ	s_ˈæ	6.108
m	mː	5.925
l	l_#>	5.913
l	<#_ʎ	5.899
<#_w	o	5.899
w	<#_o	5.875
l_a	l_ˈa	5.845
f	f	5.781
y	ˈu	5.767
<#_e	e	5.592
v	v	5.584
æɛ̯_j	ˈæ_ʎ	5.583
p	p	5.558
m	m	5.525
ɔ	o	5.456
<#_ã	<#_ˈa_ɲ	5.422
o	ˈɒ	5.413
ɒ̃ʊ̯̃_#>	ˈo	5.406
œ	ˈɒ_w	5.405
u	ˈo_t	5.383
ʃ_œ	k_a	5.374
l_#>	l	5.325
ɲ	ɲ	5.296
u	ˈo	5.289
aœ̯_ʁ	ˈo_r	5.261
ɛɪ̯	ˈe	5.221
a	a	5.214
ɡ	ɣ	5.192
v	β	5.191
ɥ	ˈu	5.147
ɪ	ˈi	5.124
n	n	5.049
<#_n	n	5.049
k	k	5.003
u	o	4.978
<#_t	t	4.968
<#_s	<#_s	4.888
t	t	4.874
oʊ̯	ˈa_l	4.864
ã	ˈæ_n	4.842
<#_l	ʎ	4.842
z	z	4.808
ɑɔ̯	ˈɒ	4.734
oʊ̯	ˈe_ʎ	4.721
ɒ̃ʊ̯̃	ˈɒ_n	4.694
i	ˈi	4.623
l	l	4.586
i	ˈi_r	4.583
a	<#_a	4.541
e	ˈa_r	4.528
ɛ_#>	w	4.504
s	s	4.447
ʁ_w	ɾ_ˈæ	4.32
ɒ̃ʊ̯̃	ˈo	4.314
w	ˈu_n	4.304
s	<#_s	4.238
ɛ	w_#>	4.2
z	z_ɞ	4.152
ʁ	<#_r	4.102
ẽɪ̯̃	ˈu_n	4.085
oʊ̯	ˈe	4.067
øʏ̯	ˈɒ	4.02
aœ̯	ˈo_r	4.007
<#_a	a	3.994
j	ʎ	3.98
ʃ	k	3.951
œ	e	3.926
e	ˈa	3.914
<#_ã	ɲ	3.909
ɛ	ˈæ	3.884
œ	ˈɒ	3.861
ɒ̃ʊ̯̃	ˈɒ	3.786
ɛ	j	3.783
ɔ	ˈɒ	3.775
ɛ	w_ɾ	3.755
w	ˈæ	3.741
æɛ̯	ˈæ_r	3.718
<#_æɛ̯	a	3.678
ã	<#_ˈa_ɲ	3.66
oʊ̯	ʎ	3.603
y_ʁ	ˈu	3.595
œ	w	3.593
l	ʎ	3.585
#>	ˈo_#>	3.535
#>	ˈa_#>	3.535
#>	j_#>	3.535
æɛ̯	ˈa_w	3.505
<#	<#_r	3.488
<#	<#_n	3.488
<#	<#_e	3.488
#>	l_#>	3.439
a	ˈa	3.437
ɪ_l	ˈi_l	3.402
ã	ˈe	3.38
w_ẽɪ̯̃	ˈu	3.333
<#	<#_t	3.295
#>	ˈi_#>	3.29
ɛ	w	3.244
e	e	3.21
ã	ˈe_n	3.185
#>	m_#>	3.182
<#	<#_ʎ	3.167
ã	ˈa	3.142
aœ̯	ˈo	3.141
<#_ʁ	r	3.139
<#_ɔ	<#_o	3.139
t	ʃ	3.124
æɛ̯	ˈæ	3.12
ã	n	3.117
ʦ	t	3.097
a	a_l	3.082
ẽɪ̯̃_#>	ˈi	3.078
œ_f	w	3.062
