Phone1	Phone2	PMI
<#_r	<#_ʀ	8.462
r_θ	ˈa_s	8.414
<#_t	<#_t	8.351
ˈɛ_l	ˈɛ_j	8.159
<#_n	<#_n	7.897
<#_ɡ	ɡ	7.692
<#_l	<#_l	7.651
j̃	ˈẽ	7.63
z	ʒ	7.446
ɲ	ɲ	7.261
ð	ʤ	6.889
ˈẽ	ˈẽ	6.473
ˈõũ̯	ˈɔ̃	6.467
ɡ	ɡ	6.366
b	b	6.335
ˈo	ˈu	6.282
u	ɔ	6.179
<#_ɐ	<#_a	6.06
n	<#_n	6.044
l	<#_l	5.95
k_r	k_ʀ	5.931
ˈi	ˈi	5.881
f_j	f_l	5.809
t	<#_t	5.801
m	m	5.799
ˈo	ˈɔ	5.621
d	d	5.595
ˈi_#>	ˈi_#>	5.416
r_t	ˈa_ʀ	5.382
l_#>	ˈa_#>	5.373
p	p	5.345
f	f	5.303
<#_n	n	5.303
<#_t	t	5.287
v	v	5.265
<#_l	l	5.135
p_j	p_l	5.095
ˈʌ̃	ˈɑ̃	5.082
r	<#_ʀ	5.026
ˈou̯	ˈøː	5.006
ˈẽ	ˈɛ̃	4.867
ˈa	ˈa	4.748
θ	s	4.733
ˈʌ̃	ˈɛ̃	4.727
ˈeə̯_#>	ˈe_#>	4.726
k	k	4.715
n	n	4.675
s	s	4.648
ˈɛə̯	j	4.609
ˈeə̯	ˈe	4.585
ˈi_#>	ˈi	4.521
b	p_#>	4.512
t	t	4.495
ˈẽ_j̃	ˈẽ	4.445
ˈɔə̯	ˈoː	4.401
<#_d	d	4.375
ˈɛ	ˈɛ	4.357
ˈu	ˈøː	4.297
<#_ɐ	a	4.22
<#_r	ʀ	4.161
θ	ˈa_s	4.118
i	i	4.039
l	l	4.017
ˈi	ˈeː	3.946
ˈi	ˈi_#>	3.919
s	ʃ	3.879
<#_v	v	3.866
ˈeə̯_#>	ˈe	3.862
l	ˈa_#>	3.722
ˈɔə̯	w	3.707
r	ʀ	3.686
ˈɔ	ˈuː	3.528
k	ʧ	3.488
z	ʃ	3.477
ˈɔ	ˈɔ	3.42
ˈeə̯	ˈe_#>	3.395
ˈeə̯	ˈiː	3.383
ˈa	ˈɔː	3.346
ˈʌ̃	w_ˈɛ̃	3.327
s_ˈɛ	s_ˈɛ	3.315
l_#>	ˈa	3.256
j	l	3.235
f_r	f_ʀ	3.15
f_ˈɔə̯	f_w	2.971
ˈi	ˈiː	2.964
ˈẽ_n	ˈɛ_n	2.959
p_ˈɔə̯	p_ˈoː	2.947
ˈɛ	ˈɛ̃	2.929
ˈɔ	ˈyː	2.92
ˈeə̯_v	ˈiː_f	2.771
ɐ	a	2.754
ˈɛ	ˈɛ_j	2.722
ɐ	<#_a	2.714
v	f	2.714
ˈeə̯	ˈoː	2.683
ˈeə̯	ˈɔː	2.633
ˈou̯	ˈuː	2.627
k_v	k_w	2.604
<#_ˈɔə̯	<#_ˈuː	2.598
ˈɛ_k	ˈɛ_ʧ	2.593
ˈʌ̃	ˈa	2.592
r_ˈɛ	ʀ_w	2.573
ˈɔə̯	ˈuː	2.497
r_ˈɔə̯	ʀ_ˈɔ	2.42
ˈeə̯_#>	ˈiː_#>	2.402
ʤ	ʤ	2.393
<#	<#	2.388
#>	#>	2.388
ˈeː	ˈoː	2.307
u	uː	2.248
<#_ð	ʤ	2.235
k_ˈeə̯	ʧ_ˈiː	2.227
ˈou̯	ˈɔ̃	2.202
ˈɛ	w	2.194
ˈou̯	ˈɔ	2.165
ˈɛ_n	ˈɛ̃	2.099
ˈu	ˈuː	2.082
ˈʌ̃_n	ˈɑ̃	2.033
ˈẽ	ˈɛ	2.016
ˈɛ	ˈiː	2.004
ˈɔə̯	<#_ˈuː	1.996
ˈeː	ˈɔ	1.961
ˈou̯	w	1.932
f	f_l	1.887
l	l_#>	1.834
ˈɛ	j	1.825
ˈʌ̃	w	1.821
<#	<#_n	1.761
n	n_#>	1.721
ˈɛ_#>	ˈɛ	1.697
j	f_l	1.675
<#	<#_ʀ	1.653
<#_ˈɔə̯	ˈuː	1.652
<#_θ	s	1.636
ˈeə̯_#>	ˈiː	1.617
l	ˈa	1.605
ˈeə̯	ˈiː_#>	1.597
<#	<#_l	1.572
b	p	1.553
<#	<#_t	1.515
ˈɛ_l	ˈɛ	1.512
ˈu_ɡ	ˈøː	1.497
t	t_#>	1.418
r_θ	s	1.35
ˈeː	j	1.34
r	ˈa_ʀ	1.338
ɐ	ɛ	1.286
ˈɛ_#>	w	1.255
ˈẽ_n	ˈɛ̃	1.239
n_#>	ʀ_#>	1.21
n	i_n	1.18
ʧ	k	1.172
ɐ_#>	j_#>	1.147
l_ɐ_#>	l_#>	1.12
r	p_#>	1.116
n	ˈɛ̃	1.076
k_r	k	1.071
k_v	k	1.067
ˈeə̯_l	ˈɔː	1.057
k	k_ʀ	1.04
p	p_l	1.039
ˈou̯_n	ˈɔ̃	1.037
