Phone1	Phone2	Surprisal	OOV_Smoothed
<#	<#_ɒ	1.0	5.202379886465118
<#	j	1.0	5.202379886465118
<#_b	<#_b	-0.0	5.202379886465118
<#_d	<#_d	-0.0	5.202379886465118
<#_f	<#_f	-0.0	5.202379886465118
<#_k	<#_k	-0.0	5.202379886465118
<#_l	<#_l	-0.0	5.202379886465118
<#_m	<#_m	0.24100809950379493	5.202379886465118
<#_m	<#	2.700439718141092	5.202379886465118
<#_n	<#_n	-0.0	5.202379886465118
<#_p	<#_p	-0.0	5.202379886465118
<#_r	<#_ʀ	-0.0	5.202379886465118
<#_s	<#_s	-0.0	5.202379886465118
<#_t	<#_t	-0.0	5.202379886465118
<#_u	<#_œ	-0.0	5.202379886465118
<#_v	<#_v	0.5849625007211563	5.202379886465118
<#_v	<#_vʲ	1.5849625007211563	5.202379886465118
<#_ə	<#_ɒ	-0.0	5.202379886465118
<#_ɡ	<#_ɡ	-0.0	5.202379886465118
<#_ʃ	<#_ɪ	0.5849625007211563	5.202379886465118
<#_ʃ	<#_ʤ	1.5849625007211563	5.202379886465118
<#_ʎ	<#_ʎ	-0.0	5.202379886465118
<#_ʒ	<#_v	-0.0	5.202379886465118
<#_ʥ	<#_ʤ	-0.0	5.202379886465118
<#_ʧ	<#_s	-0.0	5.202379886465118
<#_ʨ	<#_ʧ	-0.0	5.202379886465118
<#_ˈa	<#_ˈa	-0.0	5.202379886465118
<#_ˈe	<#_z	1.0	5.202379886465118
<#_ˈe	<#_ˈɪ	1.0	5.202379886465118
<#_ˈɔ	<#_ˈã	-0.0	5.202379886465118
<#_ˈɛ	<#_ˈœ	-0.0	5.202379886465118
b	b	-0.0	5.202379886465118
d	d	0.5849625007211563	5.202379886465118
d	dʲ	2.321928094887362	5.202379886465118
d	-	2.9068905956085187	5.202379886465118
d_ə	d_ʀ	-0.0	5.202379886465118
e	-	-0.0	5.202379886465118
f	fʲ	-0.0	5.202379886465118
f_#>	w_#>	-0.0	5.202379886465118
i	-	-0.0	5.202379886465118
j	-	1.84799690655495	5.202379886465118
j	ˈe	1.84799690655495	5.202379886465118
j	ʀ	2.584962500721156	5.202379886465118
j	ˈɪ	2.584962500721156	5.202379886465118
j	ˈɪ̃	3.1699250014423126	5.202379886465118
j_ˈɛ	w_ˈɔ	-0.0	5.202379886465118
k	k	-0.0	5.202379886465118
l	l	0.6166713604484944	5.202379886465118
l	-	2.938599455335857	5.202379886465118
l	w	2.938599455335857	5.202379886465118
l	<#_ʎ	3.523561956057013	5.202379886465118
l_#>	l_#>	0.20645087746742632	5.202379886465118
l_#>	#>	2.9068905956085187	5.202379886465118
m	m	0.45943161863729726	5.202379886465118
m	mʲ	1.8744691179161412	5.202379886465118
m_#>	m_#>	-0.0	5.202379886465118
n	n	1.0	5.202379886465118
n	ŋ	1.0	5.202379886465118
n_#>	ŋ_#>	0.5145731728297583	5.202379886465118
n_#>	#>	1.7369655941662063	5.202379886465118
o	u	-0.0	5.202379886465118
p_ˈiː	p_ˈi	-0.0	5.202379886465118
r	ʀ	0.09310940439148148	5.202379886465118
r	-	4.0	5.202379886465118
r_#>	#>	0.8541491335365452	5.202379886465118
r_#>	ə_#>	1.384663850235325	5.202379886465118
r_#>	ʀ_#>	3.969626350956481	5.202379886465118
r_ˈa	ʀ_ˈe_j	-0.0	5.202379886465118
s	-	0.6520766965796932	5.202379886465118
