Sassarese	Romansch	probability
β_i	f	1.0
ˈɛ_dː	ˈɛː	1.0
ˈɔ_ɡː	j_ˈɛ	1.0
ˈa_ɡ	ˈaː	1.0
ʧː	ʎ	1.0
ʧ	k_l	1.0
ʦ	ʃ	1.0
ʣ	ʦ	1.0
ʒ	ʃ	1.0
ʎː	ʎ	1.0
ʃː	ʃ	1.0
ɮ	w	1.0
ɡː	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
z	s	1.0
xː	r_ʨ	1.0
x	k	1.0
v	v	1.0
u_d	u_d	1.0
r_u	w_r	1.0
r_a	r_ə	1.0
pː	p	1.0
p	p	1.0
o	-	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	ʎ	1.0
kː	ʨ	1.0
k_w	k	1.0
k_u	k_o	1.0
f	f	1.0
e	ə	1.0
dː_a	l_ə	1.0
d_u	t	1.0
bː	-	1.0
a_r	r	1.0
a	ə	0.942
n	n	0.902
s	s	0.839
β	v	0.831
t	t	0.829
ʦː	-	0.733
k	ʨ	0.726
ɡ	ɡ	0.702
b	b	0.687
ˈo	ˈu	0.671
tː	t	0.611
r	r	0.6
d	d	0.599
sː	s	0.564
rː	r_n	0.549
ʤ	ʥ	0.537
ʤː	ʥ	0.5
ʤː	-	0.5
ɲː	ɲ	0.5
ˈɛ	ˈɛ	0.48
ʤ	ʃ	0.463
ˈa	ˈa	0.452
ɬ	s	0.452
rː	r	0.451
ˈe	ˈa_j	0.443
sː	r_s	0.436
ˈu	ˈu	0.412
d	-	0.401
tː	ʨ	0.389
u	w	0.382
ˈi	ˈiː	0.373
ˈi	ˈi	0.371
i	-	0.37
ɬ	ʃ	0.357
r	l	0.355
dː	t	0.342
j	l	0.341
ɲː	ŋ_ɡ	0.336
ˈa	ˈaː	0.334
dː	d	0.304
ɡ	-	0.298
ˈu	ˈiː	0.296
ˈu	ˈi	0.292
k	k	0.274
u	u	0.273
ʦː	ʦ	0.267
j	r	0.265
ˈɔ	ˈɔ	0.264
ˈɔ	ˈu	0.264
j	-	0.26
i	ə	0.258
b	v	0.235
ˈɛ	ˈɛː	0.203
ˈɔ	ˈɔː	0.194
ɬ	r	0.19
ˈe	j	0.189
ˈo	ˈuː	0.185
dː	l	0.177
dː	-	0.177
t	-	0.171
β	f	0.169
ɲː	n	0.164
s	s_ˈa	0.161
i	i	0.157
i	e	0.151
u	i	0.145
ˈɛ	ˈa_j	0.143
ˈɔ	-	0.143
j	s	0.134
u	-	0.12
ˈa	ˈɔ	0.111
ˈi	ˈɛ	0.107
ˈi	ə_r	0.106
ˈa	ˈa_w	0.104
ˈɛ	-	0.102
n	-	0.098
ˈɔ	ˈuː	0.089
ˈe	ˈe	0.087
ˈo	-	0.085
ˈe	ˈɛ	0.082
u	k	0.08
b	-	0.079
ˈe	ˈiə̯	0.074
ˈe	-	0.073
ˈɛ	ˈe	0.072
i	s	0.064
ˈo	ˈɔː	0.058
ˈe	ˈeː	0.051
a	-	0.05
