Phone1	Phone2	Surprisal	OOV_Smoothed
#>	s_#>	0.0	5.0
<#	<#_a	0.0	5.0
<#_n	<#_n	0.0	5.0
<#_t	<#_t	0.0	5.0
<#_ˈa	<#_ˈa	0.0	5.0
<#_ˈi	<#_ˈe	0.0	5.0
<#_ˈɔ	<#_w	0.0	5.0
a	ɔ	0.322	5.0
a	a	2.544	5.0
a_#>	#>	0.0	5.0
a_s	e_s	0.0	5.0
a_t	a_ð	0.0	5.0
b	b	0.241	5.0
b	β	2.7	5.0
c	p_l	0.0	5.0
cː	ʎ	0.585	5.0
cː	ˈe_ʎ	1.585	5.0
d	d	0.322	5.0
d	t	2.322	5.0
f	h	0.0	5.0
i	e	0.692	5.0
i	-	2.07	5.0
i	i	2.807	5.0
j	ʒ	0.0	5.0
j_#>	s_#>	0.0	5.0
k	k	0.147	5.0
k	ɣ	3.369	5.0
k_a	k_a	0.0	5.0
k_ʊ_#>	k_#>	0.0	5.0
kː	k	0.0	5.0
l	l	0.31	5.0
l	w	2.954	5.0
l	ʎ	3.954	5.0
l_ʊ_#>	w_#>	0.0	5.0
m	m	0.0	5.0
mː	m	0.0	5.0
n	n	1.051	5.0
n	ŋ	1.273	5.0
n	-	3.273	5.0
n_a	ɔ	0.0	5.0
n_t_ɪ_#>	n_#>	0.0	5.0
n_t_ʊ_#>	n_#>	0.0	5.0
n_ɪ	ŋ	0.0	5.0
nː	n_d	1.0	5.0
nː	ŋ	1.0	5.0
o	u	0.0	5.0
p	p	0.368	5.0
p	β	2.515	5.0
p	s	4.322	5.0
r	r	0.778	5.0
r	ɾ	1.263	5.0
r_ɪ_#>	#>	0.0	5.0
s	s	0.0	5.0
sː	s	0.0	5.0
t	t	0.474	5.0
t	ð	1.837	5.0
tː	t	0.415	5.0
tː	j_t	2.0	5.0
u	u	0.0	5.0
v	b	0.507	5.0
v	β	1.755	5.0
v_ɪ_#>	w_#>	0.0	5.0
w	w	0.29	5.0
w	ɣ	2.459	5.0
w_ˈa	ˈa	0.0	5.0
z	z	0.0	5.0
ç	e_h	0.0	5.0
ŋ	ŋ	0.0	5.0
ɕ	s	0.322	5.0
ɕ	z	2.322	5.0
ɕ_i	s_e	0.0	5.0
ɕ_ɪ	ʦ	0.0	5.0
ɖː	t	0.263	5.0
ɖː	l	2.585	5.0
ɖː_a	l_ɔ	1.0	5.0
ɖː_a	ɾ_ɔ	1.0	5.0
ɟː	ʎ	0.0	5.0
ɡ	ɡ	0.737	5.0
ɡ	ɣ	1.322	5.0
ɡ_ʊ	k	0.0	5.0
ɪ	e	0.893	5.0
ɪ	w	2.7	5.0
ɪ	ˈi	2.7	5.0
ɪ	-	3.7	5.0
ɪ	d	3.7	5.0
ɪ_#>	#>	0.163	5.0
ɪ_#>	s_#>	3.222	5.0
ɪ_ɾ	ɾ	0.0	5.0
ɲː	ɲ	0.0	5.0
ɽ_ɪ	r	0.0	5.0
ɽ_ʊ	e	0.0	5.0
ɾ	ɾ	0.819	5.0
ɾ	r	1.907	5.0
ɾ	-	3.322	5.0
ɾ	ʤ	3.907	5.0
ɾ_n	r	0.0	5.0
ɾ_ɪ_#>	#>	0.0	5.0
ɾ_ʊ	e	0.0	5.0
ʃ	e_s	0.0	5.0
ʃː	ʃ	0.0	5.0
ʊ	e	1.585	5.0
ʊ	j	1.585	5.0
ʊ	i	2.585	5.0
ʊ	w	2.585	5.0
ʊ_#>	#>	0.0	5.0
ʊ_l	l	0.0	5.0
ʐ	a_r	0.0	5.0
ʤ	ʒ	0.0	5.0
ʦː	ʦ	0.0	5.0
ˈa	ˈa	0.193	5.0
ˈa	a	5.0	5.0
ˈa	j	5.0	5.0
ˈa	ˈa_t	5.0	5.0
ˈa	ˈɛ_j	5.0	5.0
ˈa_ʈ	ˈa_j	0.0	5.0
ˈe	ˈe	0.0	5.0
ˈi	ˈe	1.0	5.0
ˈi	ˈi	1.138	5.0
ˈi	-	4.459	5.0
ˈi_n	ˈi	0.0	5.0
ˈi_ɾ	ˈe_ð	0.0	5.0
ˈo	ˈu	0.0	5.0
ˈu	ˈy	0.903	5.0
ˈu	ˈu	1.519	5.0
ˈu	-	3.841	5.0
ˈu	u	4.426	5.0
ˈu_ɾ	ˈu	0.0	5.0
ˈɔ	ˈɔ	1.459	5.0
ˈɔ	ˈu	1.722	5.0
ˈɔ	w_ˈe	3.044	5.0
ˈɔ	ˈa_w	3.459	5.0
ˈɔ	w	4.044	5.0
ˈɔ	ˈa	4.044	5.0
ˈɔ_ɾ	ˈɔ	0.0	5.0
ˈɛ	ˈɛ	0.478	5.0
ˈɛ	ˈe	2.115	5.0
ˈɛ	j_ˈe	4.285	5.0
