Phone1	Phone2	Surprisal	OOV_Smoothed
<#	<#_f	0.4150374992788438	4.79113581626312
<#	<#_ɡ	2.0	4.79113581626312
<#_a	<#_a	-0.0	4.79113581626312
<#_b	<#_b	-0.0	4.79113581626312
<#_d	<#_d	-0.0	4.79113581626312
<#_e	<#_e	-0.0	4.79113581626312
<#_f	<#_f	-0.0	4.79113581626312
<#_i	<#_i	-0.0	4.79113581626312
<#_k	<#_k	-0.0	4.79113581626312
<#_l	<#_ʎ	-0.0	4.79113581626312
<#_m	<#_m	-0.0	4.79113581626312
<#_n	<#_n	-0.0	4.79113581626312
<#_o	<#_o	-0.0	4.79113581626312
<#_p	<#_p	-0.0	4.79113581626312
<#_r	<#_r	-0.0	4.79113581626312
<#_s	<#_s	-0.0	4.79113581626312
<#_t	<#_t	-0.0	4.79113581626312
<#_x	<#_ʃ	-0.0	4.79113581626312
<#_ɟ͡ʝ	<#_ʎ	0.36257007938470825	4.79113581626312
<#_ɟ͡ʝ	<#_ʃ	2.1699250014423126	4.79113581626312
<#_ɡ	<#_ɡ	-0.0	4.79113581626312
<#_ˈa	<#_ˈa	-0.0	4.79113581626312
<#_ˈe	<#_ˈe	-0.0	4.79113581626312
<#_ˈo	<#_ˈo	-0.0	4.79113581626312
<#_ˈu	<#_ˈu	-0.0	4.79113581626312
<#_θ	<#_θ	-0.0	4.79113581626312
a	a	-0.0	4.79113581626312
a_#>	a	-0.0	4.79113581626312
a_ð	a_ð	-0.0	4.79113581626312
a_ɾ	a_ɾ	-0.0	4.79113581626312
a_θ	a_θ	-0.0	4.79113581626312
b	-	-0.0	4.79113581626312
d_o	d_u	-0.0	4.79113581626312
e	e	0.1926450779423959	4.79113581626312
e	i	3.0	4.79113581626312
e_#>	e_#>	-0.0	4.79113581626312
e_n	e_n	-0.0	4.79113581626312
e_ɾ	e_ɾ	-0.0	4.79113581626312
i	e	-0.0	4.79113581626312
j	j	-0.0	4.79113581626312
j_#>	j_#>	-0.0	4.79113581626312
k_a	k_a	-0.0	4.79113581626312
l	l	0.23446525363702297	4.79113581626312
l	ʎ	2.736965594166206	4.79113581626312
l_#>	l_#>	-0.0	4.79113581626312
m	m	-0.0	4.79113581626312
m_a	m_a	-0.0	4.79113581626312
m_b	m_b	-0.0	4.79113581626312
n	n	0.2895066171949848	4.79113581626312
n	-	2.4594316186372973	4.79113581626312
n_#>	ŋ_#>	-0.0	4.79113581626312
n_a	n_a	-0.0	4.79113581626312
n_o	n_u	-0.0	4.79113581626312
n_t	n_t	-0.0	4.79113581626312
o	o	0.27563444261342734	4.79113581626312
o	-	2.523561956057013	4.79113581626312
o_#>	u	-0.0	4.79113581626312
o_n	o_n	-0.0	4.79113581626312
o_s	o_s	-0.0	4.79113581626312
o_ɾ	o_ɾ	-0.0	4.79113581626312
p_o	p_u	-0.0	4.79113581626312
r	r	-0.0	4.79113581626312
s	s	-0.0	4.79113581626312
s_#>	s_#>	-0.0	4.79113581626312
s_k	s_k	-0.0	4.79113581626312
s_p	s_p	-0.0	4.79113581626312
s_t	s_t	-0.0	4.79113581626312
t_o	t_u	-0.0	4.79113581626312
t_ɾ	t_ɾ	-0.0	4.79113581626312
t_ˈa	t_ˈa	-0.0	4.79113581626312
u	u	-0.0	4.79113581626312
w	w	-0.0	4.79113581626312
w_ˈe	ˈo	-0.0	4.79113581626312
x	-	1.0	4.79113581626312
x	ʝ	1.0	4.79113581626312
x_a	ʝ_a	-0.0	4.79113581626312
x_o	ʝ_u	-0.0	4.79113581626312
ð	ð	0.1926450779423959	4.79113581626312
ð	-	3.0	4.79113581626312
ð_o	u	-0.0	4.79113581626312
ŋ	ŋ	-0.0	4.79113581626312
ŋ_k	ŋ_k	-0.0	4.79113581626312
ɡ	ɡ	-0.0	4.79113581626312
ɣ	ɣ	-0.0	4.79113581626312
ɣ_ˈu	ɣ_ˈu	-0.0	4.79113581626312
ɲ_a	ɲ_a	-0.0	4.79113581626312
ɲ_o	ɲ_u	-0.0	4.79113581626312
ɾ	ɾ	0.6129768768907528	4.79113581626312
ɾ	-	1.893084796083488	4.79113581626312
ɾ	r	3.700439718141092	4.79113581626312
ɾ_#>	ɾ_#>	-0.0	4.79113581626312
ɾ_a	ɾ_a	-0.0	4.79113581626312
