Phone1	Phone2	Surprisal	OOV_Smoothed
#>	ɛ_#>	0.17	4.815
#>	u_#>	3.17	4.815
<#	<#_f	0.193	4.815
<#	<#_a	3.0	4.815
<#_a	<#_a	0.0	4.815
<#_b	<#_b	0.0	4.815
<#_d	<#_d	0.0	4.815
<#_e	<#_i	0.29	4.815
<#_e	<#_ɡ	2.459	4.815
<#_f	<#_f	0.0	4.815
<#_k	<#_k	0.31	4.815
<#_k	<#	2.369	4.815
<#_l	<#_l	0.0	4.815
<#_m	<#_m	0.0	4.815
<#_n	<#_n	0.0	4.815
<#_o	<#_i	0.0	4.815
<#_p	<#_p	0.0	4.815
<#_r	<#_r	0.848	4.815
<#_r	<#_ɾ	1.17	4.815
<#_s	<#_s	0.0	4.815
<#_t	<#_t	0.0	4.815
<#_w	<#_ˈo	0.0	4.815
<#_x	<#_ʣ	0.0	4.815
<#_ɟ͡ʝ	<#_p_ɾ	1.17	4.815
<#_ɟ͡ʝ	<#	1.585	4.815
<#_ɟ͡ʝ	<#_k	2.17	4.815
<#_ɡ	<#_ɡ	0.0	4.815
<#_ˈa	<#_ˈa	0.0	4.815
<#_ˈe	<#_ˈi	0.0	4.815
<#_ˈo	<#_ˈo	1.0	4.815
<#_ˈo	<#_ˈɔ	1.0	4.815
<#_ˈu	<#_ˈu	0.0	4.815
<#_θ	<#_k	0.0	4.815
a	a	0.3	4.815
a	-	2.415	4.815
a_#>	a_#>	0.045	4.815
a_m	a_m	0.0	4.815
b_ɾ	i_n	0.0	4.815
e	ɛ	0.848	4.815
e	i	1.17	4.815
e_#>	ɛ_#>	0.399	4.815
e_#>	#>	2.051	4.815
e_ɾ	ɾ	0.0	4.815
i	i	0.0	4.815
j	-	1.0	4.815
j	j	1.0	4.815
j_ˈe	ˈɛ	0.737	4.815
j_ˈe	ˈe	1.322	4.815
k	k	0.0	4.815
l	l	0.585	4.815
l	ɾ	2.807	4.815
l	ð	3.392	4.815
l	ɖː	3.392	4.815
m	m	0.0	4.815
m_b	m	0.0	4.815
n	n	0.308	4.815
n	nː	2.379	4.815
n_#>	n_ɛ_#>	0.0	4.815
n_d	nː_u	0.0	4.815
n_t	n_t	0.0	4.815
o	ɔ	1.054	4.815
o	-	1.585	4.815
o	ˈɔ	2.433	4.815
o_#>	u_#>	0.069	4.815
o_#>	#>	4.426	4.815
o_ɾ	o	0.0	4.815
p_o_#>	u_z_ŭ_#>	0.0	4.815
r	r	0.0	4.815
s	s	1.0	4.815
s	z	1.585	4.815
s	-	2.585	4.815
s_#>	z_ɔ̆_#>	0.737	4.815
s_#>	ɔ̆_#>	2.322	4.815
s_#>	ɛ̆_#>	2.322	4.815
s_k	s_k	0.0	4.815
s_p	s_p	0.0	4.815
s_t	s_t	0.0	4.815
s_ˈo	o_j	0.0	4.815
t	t	0.0	4.815
t_ɾ	t_ɛ_ɾ	0.0	4.815
u	u	0.0	4.815
w	ˈu	0.737	4.815
w	b	1.322	4.815
w_ˈe	ˈɔ	0.885	4.815
w_ˈe	ˈo	1.126	4.815
x	ʣ	1.115	4.815
x	k_ɾ	1.379	4.815
x	s	2.7	4.815
ð	t	0.16	4.815
ð	ð	3.248	4.815
ŋ	m	0.0	4.815
ŋ_ɡ	m	0.0	4.815
ɣ	k	0.415	4.815
ɣ	ɣ	2.0	4.815
ɲ	n_ʣ	0.585	4.815
ɲ	nː	1.585	4.815
ɾ	ɾ	0.51	4.815
ɾ	-	2.747	4.815
ɾ	ɔ_ɾ	3.97	4.815
ɾ	r	4.555	4.815
ɾ	ɛ_n	4.555	4.815
ɾ_#>	ɾ_ɛ_#>	0.0	4.815
ɾ_n	r	0.0	4.815
ɾ_β	ɾ_b	0.0	4.815
ʝ	ɖː	1.0	4.815
ʝ	ʣ	1.0	4.815
ʧ	t	0.0	4.815
ˈa	ˈa	0.0	4.815
ˈa_l	ˈa_ɾ	0.0	4.815
ˈa_t	ˈa_t	0.0	4.815
ˈe	ˈi	1.051	4.815
ˈe	ɛ	2.858	4.815
ˈe	ˈe	2.858	4.815
ˈe	ˈɛ	3.273	4.815
ˈe	i	3.858	4.815
ˈe	ˈa	3.858	4.815
ˈe_j	ˈɛ_ɣ	0.0	4.815
ˈe_n	ˈɛ_n	0.0	4.815
ˈe_s	s	0.0	4.815
ˈe_ɾ	ɾ	0.0	4.815
ˈe_ʧ	ˈe_t	0.0	4.815
ˈi	ˈi	0.0	4.815
ˈi_ɾ	ɛ_ɾ	0.0	4.815
ˈi_ʝ	ˈe_ɖː	0.0	4.815
ˈo	ˈu	1.3	4.815
ˈo	ˈɔ	1.3	4.815
ˈo	ˈo	2.415	4.815
ˈo_t	ˈɔ_j_z	0.0	4.815
ˈo_β	ˈu_p	0.0	4.815
ˈu	ˈu	0.322	4.815
ˈu	ˈɔ	2.322	4.815
ˈu_n	ˈu_n	0.0	4.815
ˈu_ɾ	ˈu_ɾ	0.0	4.815
β	β	0.621	4.815
β	-	2.737	4.815
β	p	3.322	4.815
β	ɣ	3.322	4.815
β_ɾ	p_ɛ	0.0	4.815
β_ˈe	ˈi	0.0	4.815
θ	k	0.778	4.815
θ	ʦ	2.0	4.815
θ	z	2.585	4.815
θ_#>	k_ɛ_#>	0.0	4.815
