Phone1	Phone2	Surprisal	OOV_Smoothed
#>	o_#>	0.662	4.883
#>	e_#>	1.87	4.883
#>	n_o_#>	4.143	4.883
<#_a	<#_a	0.485	4.883
<#_a	<#_ˈa	1.807	4.883
<#_n	<#_n	0.0	4.883
<#_o	<#_o	0.737	4.883
<#_o	<#_u	1.322	4.883
<#_r	<#_r	0.0	4.883
<#_s	<#_ʧ	0.0	4.883
<#_t	<#_t	0.0	4.883
<#_ʎ	<#_l	0.0	4.883
<#_ˈa	<#_ˈa	0.0	4.883
<#_ˈɒ	<#_ˈɔ	0.0	4.883
a	a	0.0	4.883
a_β	a_p	0.0	4.883
b	b	0.193	4.883
b	-	3.0	4.883
d	d	0.0	4.883
e	e	0.951	4.883
e	-	1.273	4.883
e	i	3.858	4.883
e_r	e_r	0.0	4.883
e_ɣ	i_k	0.0	4.883
f	f	0.0	4.883
i	i	0.778	4.883
i	-	2.0	4.883
i	e	2.585	4.883
j	-	0.0	4.883
j_t	tː	0.0	4.883
k	k	0.12	4.883
k	kː	3.644	4.883
k_#>	ɡ_o_#>	0.0	4.883
k_ɾ	k_r	0.0	4.883
k_ˈu	k_ˈo	0.0	4.883
l	j	1.181	4.883
l	l	1.181	4.883
l	lː	3.087	4.883
l_#>	l_o_#>	0.0	4.883
m	m	0.0	4.883
m_#>	m_e_#>	0.0	4.883
n	n	0.0	4.883
n_d	n_e	0.0	4.883
n_s	n_i	0.0	4.883
o	o	0.348	4.883
o	-	2.222	4.883
o_l	o_l	0.0	4.883
p	p	0.0	4.883
r	r	0.415	4.883
r	e	3.0	4.883
r	rː	3.0	4.883
r_#>	r_e_#>	0.0	4.883
r_k	r_k	0.0	4.883
r_n	r_n	0.0	4.883
r_t	r_t	0.0	4.883
s	s	0.343	4.883
s	ʧː	3.379	4.883
s	sː	3.7	4.883
s	ʦ	4.7	4.883
s_#>	#>	0.363	4.883
s_#>	i_#>	2.17	4.883
t	t	0.642	4.883
t	tː	1.963	4.883
t	-	3.285	4.883
t_ɜ	t_a	0.0	4.883
u	-	0.0	4.883
v	v	0.103	4.883
v	-	3.858	4.883
w	e	2.138	4.883
w	v_e	2.459	4.883
w	ʦː_o	2.874	4.883
w	-	3.459	4.883
w	o	3.459	4.883
w	w	3.459	4.883
w	ˈɔ	3.459	4.883
w	ˈɔ_v	3.459	4.883
w_#>	ʧ_e_#>	0.0	4.883
w_ˈa	w_ˈa	0.0	4.883
z	-	1.0	4.883
z	z	1.0	4.883
z_ˈa	ˈo	0.0	4.883
ð	t	0.0	4.883
ŋ	ŋ	0.0	4.883
ɐ	a	0.0	4.883
ɐ_#>	#>	0.0	4.883
ɜ	a	0.536	4.883
ɜ	e	2.051	4.883
ɜ	-	3.858	4.883
ɞ	a	0.354	4.883
ɞ	-	2.202	4.883
ɡ	ɡ	0.222	4.883
ɡ	-	2.807	4.883
ɣ	ɡ	0.678	4.883
ɣ	-	1.415	4.883
ɲ	ɲː	0.415	4.883
ɲ	-	2.0	4.883
ɾ	r	0.566	4.883
ɾ	-	2.624	4.883
ɾ	e_r	4.209	4.883
ɾ	r_o	4.209	4.883
ɾ	ˈe_r	4.209	4.883
ɾ_e	r_o	0.0	4.883
ɾ_ɜ	r	0.0	4.883
ɾ_ˈa	r_ˈa	0.0	4.883
ʃ	ʃː	0.0	4.883
ʎ	ʎː	1.193	4.883
ʎ	kː_j	2.0	4.883
ʎ	lː	2.415	4.883
ʎ	o	3.0	4.883
ʎ_#>	lː_o_#>	0.0	4.883
ʤ	ʤ	0.585	4.883
ʤ	-	2.807	4.883
ʤ	d_i	3.392	4.883
ʤ	j	3.392	4.883
ʧ	-	0.0	4.883
ˈa	ˈa	0.077	4.883
ˈa	ˈa_d	4.273	4.883
ˈa_#>	ˈa_n_o_#>	0.485	4.883
ˈa_#>	ˈa_n_e_#>	1.807	4.883
ˈa_p	ˈa	0.0	4.883
ˈa_t_#>	ˈa_#>	0.0	4.883
ˈe	ˈɛ	0.907	4.883
ˈe	ˈe	2.1	4.883
ˈe	ˈa	2.907	4.883
ˈe	-	3.322	4.883
ˈe_j	ˈe	0.0	4.883
ˈe_n	ˈɛ_n	0.0	4.883
ˈe_s	ˈɛ_s	0.0	4.883
ˈi	ˈi	0.303	4.883
ˈi	ˈɛ	2.888	4.883
ˈi	-	4.209	4.883
ˈi_#>	ˈi_n_o_#>	0.0	4.883
ˈi_t	tː	0.0	4.883
ˈo	ˈo	0.392	4.883
ˈo	ˈu	2.07	4.883
ˈo_#>	ˈo_n_e_#>	0.0	4.883
ˈu	ˈu	0.415	4.883
ˈu	ˈɔ	2.0	4.883
ˈæ	ˈe	0.888	4.883
ˈæ	ˈɛ	1.888	4.883
ˈæ	ˈo	3.624	4.883
ˈæ	-	4.209	4.883
ˈæ	j_ˈɛ	4.209	4.883
ˈæ_w	e_d	0.0	4.883
ˈɒ	ˈɔ	0.478	4.883
ˈɒ	ˈo	2.115	4.883
ˈɒ	w	4.285	4.883
β	p	1.17	4.883
β	b	1.585	4.883
β	p_e	2.17	4.883
