Valencian	Ligurian	probability
ˈæ_r	ˈɛː_r	1.0
ˈæ_l	ˈeː	1.0
ˈo_r_#>	#>	1.0
ˈo_l	ˈuː	1.0
ˈi_r	ˈiː	1.0
ˈe_j	ˈɛ	1.0
ˈa_ɾ	w	1.0
ˈa_t	ˈɛː	1.0
ˈa_r	ˈaː	1.0
ˈa_l	ˈaː	1.0
ˈa_#>	ˈa_ŋ_#>	1.0
ʃ	ʃ	1.0
ɾ_e	r	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ɐ_#>	#>	1.0
ɐ	a	1.0
ŋ	ŋ	1.0
w_ɾ	d	1.0
w_#>	#>	1.0
u	u	1.0
t_#>	u_#>	1.0
t	t	1.0
s_k	k	1.0
s_e	s_e	1.0
s_#>	#>	1.0
r_s	r_s	1.0
r_k	r_k	1.0
r_#>	#>	1.0
p_l	ʧ	1.0
p	p	1.0
o_ɾ	w	1.0
n_ɐ	ŋ_a	1.0
m_#>	m_e_#>	1.0
l_#>	#>	1.0
k_l	ʧ	1.0
k_#>	ɡ_u_#>	1.0
j	-	1.0
e_r	e	1.0
e_l	j	1.0
d	d	1.0
a_l	a_l	1.0
<#_ˈu	<#_ˈø	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
k	k	0.956
v	v	0.923
f	f	0.913
<#_ʎ	<#_l	0.905
m	m	0.875
ɞ	a	0.857
b	b	0.857
a	a	0.846
<#_ɡ	<#_ɡ	0.818
β	v	0.8
s	s	0.8
r	r	0.75
ɾ	r	0.733
ɜ	a	0.727
ɲ	ɲ	0.7
ˈe	ˈe	0.692
n	ŋ	0.69
i	i	0.667
ʎ	ʤ	0.636
ˈa	ˈa	0.617
z	z	0.6
ˈi	ˈi	0.593
ʤ	z	0.571
#>	u_#>	0.566
ð	-	0.556
ˈo	ˈu	0.55
ʧ	z_u	0.5
ʧ	u	0.5
ʎ_#>	l_u_#>	0.5
ˈæ	ˈe	0.462
ð	t	0.444
o	u	0.444
ʤ	ʤ	0.429
z	j	0.4
ʎ_#>	ʤ_u_#>	0.375
e	e	0.375
ʎ	l	0.364
w	ʒ	0.333
l	l	0.333
l	-	0.333
i	j	0.333
ˈɒ	ˈɔː	0.311
n	n	0.31
ˈu	ˈyː	0.304
ˈu	ˈy	0.304
ɲ	n	0.3
ˈi	ˈiː	0.259
ˈa	ˈaː	0.255
r	u	0.25
#>	e_#>	0.25
ˈɒ	ˈøː	0.244
w	w	0.238
ˈæ	ˈe_j	0.231
o	-	0.222
e	-	0.208
β	r_b	0.2
ˈɒ	ˈu	0.2
ˈo	ˈuː	0.2
ɾ	j	0.2
ˈæ	ˈeː	0.192
ˈe	ˈeː	0.192
w	v	0.19
ɜ	e	0.182
<#_ɡ	<#	0.182
ˈu	ˈu	0.174
l	ˈeː	0.167
l	ʤ	0.167
e	u	0.167
ˈɒ	ˈɔ	0.156
a	-	0.154
ˈo	ˈy	0.15
ˈi	ˈeː	0.148
#>	ŋ_#>	0.145
ɞ	u	0.143
w	v_e	0.143
b	-	0.143
ˈu	ˈø	0.13
ʎ_#>	#>	0.125
ˈæ	ˈuː	0.115
ˈe	ˈɛ	0.115
o	ɔː	0.111
o	w	0.111
o	j	0.111
ˈo	ˈø	0.1
w	-	0.095
<#_ʎ	<#	0.095
ɜ	u	0.091
s	i	0.091
ˈɒ	ˈuː	0.089
ˈu	ˈuː	0.087
f	ʃ	0.087
ˈa	ˈɛː	0.085
e	ˈɛː	0.083
e	s	0.083
e	i	0.083
v	ʒ	0.077
ɾ	e	0.067
m	ŋ	0.062
m	-	0.062
